,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime3,Sa
0,1024,0.0001,32,CLIP,17921.0,34369,0.56771606,4.1988114e-05,0.0001578806,257394.640625,1129.410400390625,0.3708916306495666,0.0740099102258682,1.9899373054504397,96.2389907836914,470.9056701660156,0.0025690314359962,12.446714401245115,1.4528930023516295e-06,3.3514777442178456e-06,6.205031581885123e-07,3.5281602777104126e-06,1.052515798960485e-07,1.5954401533235798e-07,2.694826889637625e-06
1,1024,0.0001,32,CONTROL,,34369,,,0.00010795502,,,,,,,,,,,,,,,,
2,1024,0.0001,32,GMC,819488.0,305377,0.38610402,3.586316e-05,3.8345705e-05,71519.921875,578.7940063476562,0.0949294045567512,0.0108168236911296,0.8534119725227356,18.595911026000977,70.15880584716797,0.0001272154040634,1.047594428062439,2.230125573987607e-06,1.5305975011870032e-06,1.5333017699958873e-06,1.564795411468367e-06,1.1358490326074389e-07,1.1550314127362073e-07,2.516084805392893e-06
3,1024,0.0001,32,ICEH,305441.0,321889,0.26952118,3.8650112e-05,3.34435e-05,73620.7890625,746.8302001953125,0.1567775160074234,0.002264937153086,1.1984590291976929,60.04716873168945,117.3836441040039,0.0011706824880093,1.0439622402191162,1.694166599008895e-06,2.416352117506904e-06,1.3020754749959451e-06,1.4176257536746562e-06,1.400628946157667e-07,1.4490565547475853e-07,1.7813048316384084e-06
4,1024,0.0001,32,MCN,21184.0,34369,0.56669235,4.1945405e-05,0.00017271804,133750.671875,1378.443359375,0.52365642786026,0.1435194909572601,6.912264347076416,55.8553466796875,382.6336364746094,0.0015563867054879,8.394009590148926,3.5283960642118477e-06,3.1830029456614284e-06,1.9653300569189014e-06,2.3178615720098605e-06,1.0544025741410225e-07,1.2311321029301325e-07,6.28003192559845e-07
5,1024,0.0001,32,SCARF,35392.0,34369,0.2874212,4.0904175e-05,0.0002583504,,,,,,,,,,,,,,,,
6,1024,0.0001,32,SUBTAB,26176.0,34369,0.53178686,4.1629588e-05,0.00015838558,,,,,,,,,,,,,,,,
7,1024,0.0001,64,CLIP,68609.0,134273,0.52645916,4.5457662e-05,0.00018983739,580310.3125,2051.15869140625,0.2671594321727752,0.0088734272867441,1.273474931716919,18.783018112182617,320.5204467773437,0.0001872279826784,6.97404146194458,6.054402774680057e-07,6.645283292527893e-07,6.153931053631823e-07,1.4114150417299245e-06,1.0577044662340997e-07,1.1484276285500529e-07,7.51430775380868e-07
8,1024,0.0001,64,CONTROL,,134273,,,9.5941745e-05,,,,,,,,,,,,,,,,
9,1024,0.0001,64,GMC,823616.0,358721,0.36939007,3.6000845e-05,3.7361075e-05,71630.265625,595.1021728515625,0.0960048735141754,0.0114294029772281,0.8260534405708313,19.283018112182617,73.67767333984375,0.0001433380384696,1.041242241859436,1.944449650181923e-06,1.9134431568090804e-06,2.5125157208094606e-06,1.6476101336593274e-06,1.347484186453585e-07,1.1479559702820553e-07,1.5945124687277712e-06
10,1024,0.0001,64,ICEH,309569.0,375233,0.24173184,3.816404e-05,3.533311e-05,75020.078125,663.3474731445312,0.1125474870204925,0.0017976416274905,1.021304965019226,70.57704162597656,113.15723419189452,0.0017229828517884,1.0715723037719729,1.0171382882617763e-06,1.2186005733383354e-06,1.140157223744609e-06,1.841241896727297e-06,1.404559810680439e-07,9.74685576693446e-08,1.606776663720666e-06
11,1024,0.0001,64,MCN,75136.0,134273,0.49695575,4.1605927e-05,0.000117533535,128122.0,628.6446533203125,0.4411801993846893,0.0896130427718162,9.184985160827637,122.32704162597656,153.51100158691406,0.0018713538302108,3.1899685859680176,1.959213932423154e-06,2.261194822494872e-06,1.8130504031432797e-06,1.817075485632813e-06,1.105031515180599e-07,1.279559711520051e-07,2.1248583834676538e-06
12,1024,0.0001,64,SCARF,138368.0,134273,0.36446393,3.917535e-05,0.00018250487,,,,,,,,,,,,,,,,
13,1024,0.0001,64,SUBTAB,101504.0,134273,0.50794214,4.080322e-05,0.0001327668,,,,,,,,,,,,,,,,
