,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,VendorID,store_and_fwd_flag,RatecodeID,extra,mta_tax,improvement_surcharge,trip_type,lpep_pickup_datetime_day,lpep_pickup_datetime_hour,lpep_pickup_datetime_minute,lpep_dropoff_datetime_day,lpep_dropoff_datetime_hour,lpep_dropoff_datetime_minute,passenger_count,tolls_amount,total_amount
18,4096,0.0001,128,MCN,98944.0,344961,0.12511957,0.0059001562185585,0.003277210984379,0.5485123852175875,0.5,0.5,0.9795602117006026,0.825,0.8993932038834951,0.9333333333333332,0.5560733369715354,0.4511350399850403,0.0321868063317955,0.5501929785272788,0.4653805093184417,0.0258273208273208,0.1689254194498062,0.0011993892258033,0.0009663128876127
19,4096,0.0001,128,SCARF,410880.0,394497,0.21274026,0.0057157962583005,0.0030664263758808,,,,,,,,,,,,,,,,
20,4096,0.0001,128,SUBTAB,230400.0,230529,0.16229323,0.006020002067089,0.0040272437036037,,,,,,,,,,,,,,,,
21,4096,0.0001778279410038,32,CLIP,11425.0,27873,0.17503263,0.0060375109314918,0.0031311006750911,0.4945755003558472,0.868421052631579,0.6127899877899878,0.9016052014756538,0.85,0.991504854368932,0.9654530744336568,0.7407233347155895,0.5671789697231576,0.0211578138960693,0.72521718920587,0.5335721666928609,0.0296648959342457,0.1851851940155029,0.0014533515786752,0.0009776788065209
22,4096,0.0001778279410038,32,CONTROL,,27873,,,0.0033169558737426,,,,,,,,,,,,,,,,
23,4096,0.0001778279410038,32,GMC,432576.0,104193,0.20925468,0.0057518919929861,0.0033947275951504,0.5,0.5,0.25,0.6402923588039867,0.5,0.5,0.5,0.5324112418611704,0.4848952603465055,0.0299006765439831,0.532920894233143,0.4347308869575608,0.0388229399244508,0.0129048414528369,9.80003387667222e-05,0.0003218493948224
24,4096,0.0001778279410038,32,ICEH,119713.0,136161,0.20324811,0.0058020269498229,0.0033766608685254,0.506006006006006,0.5376794258373205,0.5592948717948718,0.8616052014756538,0.6929181929181929,0.9775485436893204,0.9235436893203884,0.9862406764174022,0.7519014399708785,0.0398256056808688,0.9861783399707066,0.7432485994503377,0.0419373885918003,0.1436896026134491,0.0057885819114744,0.0067627979442477
25,4096,0.0001778279410038,32,MCN,15520.0,27873,0.1965197,0.0059371567331254,0.0029826418031006,0.5424760020135743,0.4784688995215311,0.7327228327228328,0.9366263330366628,0.925,0.9654530744336568,0.9993932038834952,0.9437813402154538,0.6731537113192814,0.0194907305027274,0.9495323835495766,0.69450319722048,0.0248793866808572,0.2154240161180495,0.001205492648296,0.0009811731288209
26,4096,0.0001778279410038,32,SCARF,373824.0,366561,0.21056515,0.0057585118338465,0.0028176326304674,,,,,,,,,,,,,,,,
27,4096,0.0001778279410038,32,SUBTAB,113376.0,113409,0.27699018,0.0060667134821414,0.0038663286250084,,,,,,,,,,,,,,,,
28,4096,0.0001778279410038,64,CLIP,28993.0,94657,0.13015962,0.0060160877183079,0.0030102208256721,0.5280207953618359,0.6475279106858054,0.7154151404151403,0.9680046561450468,0.9,0.9993932038834952,0.9969660194174756,0.984224547385144,0.7349928477350659,0.0433203277848418,0.9861783399707066,0.7483014953183496,0.0343860503245178,0.137185662984848,0.0003151855198666,0.0007967394776642
29,4096,0.0001778279410038,64,CONTROL,,94657,,,0.0031155615579336,,,,,,,,,,,,,,,,
30,4096,0.0001778279410038,64,GMC,439808.0,160641,0.25186905,0.0059548402205109,0.0033824075944721,0.5,0.5,0.25,0.6121698043558509,0.5,0.5,0.5,0.8040137946539112,0.5746857523235224,0.0549702180954704,0.8126313626484186,0.5663739435376699,0.0423396760979208,0.0129048414528369,9.80003387667222e-05,0.0003211817238479
31,4096,0.0001778279410038,64,ICEH,123841.0,189505,0.17462584,0.0055504473857581,0.0027633074205368,0.5,0.5382775119617225,0.2863858363858363,0.9828485552588848,0.9902319902319904,0.9824029126213591,0.9963592233009708,0.9862406764174022,0.9333904147732336,0.0631650732308626,0.9861783399707066,0.8835143532198638,0.0474248505946076,0.1653938591480254,0.0109055433422326,0.014613770879805
32,4096,0.0001778279410038,64,MCN,37184.0,94657,0.20072559,0.0059598889201879,0.0026913473848253,0.5458478709923796,0.5,0.5621947496947497,0.9793416808774206,0.875,0.964846278317152,0.9975728155339806,0.9701290576875968,0.7088786029148452,0.0566951196092063,0.9711250763429812,0.6948328584563929,0.0354979388802918,0.109698511660099,0.0012351635377854,0.0009295183117501
33,4096,0.0001778279410038,64,SCARF,386176.0,373825,0.1868691,0.0058936574496328,0.002757818205282,,,,,,,,,,,,,,,,
34,4096,0.0001778279410038,64,SUBTAB,148288.0,148353,0.19876575,0.0060430038720369,0.0040866574272513,,,,,,,,,,,,,,,,
35,4096,0.0001778279410038,128,CLIP,82561.0,344961,0.12095251,0.0059536341577768,0.0030340608209371,0.5354762276727595,0.916267942583732,0.6886446886446886,0.9795602117006026,0.9987789987789988,0.9975728155339806,0.9666666666666668,0.9862406764174022,0.7711571175946844,0.0621335924567348,0.9861783399707066,0.760651938878235,0.0575499054465772,0.1440721750259399,0.000403921934776,0.0007406076765619
36,4096,0.0001778279410038,128,CONTROL,,344961,,,0.003365496173501,,,,,,,,,,,,,,,,
37,4096,0.0001778279410038,128,GMC,460416.0,377985,0.3298383,0.0058624506928026,0.0033812115434557,0.5,0.5,0.25,0.5966659283868586,0.5,0.5,0.5,0.9231156730178822,0.6374792718484291,0.0425761085319908,0.928190791965252,0.6285208838134019,0.0543023299370048,0.0129048414528369,9.880100697045976e-05,0.0003270344168413
38,4096,0.0001778279410038,128,ICEH,132097.0,394497,0.14519687,0.0053814435377716,0.0025286790914833,0.4933951292332795,0.5,0.4723443223443223,0.9771607570312092,0.8993894993894994,0.991504854368932,0.995752427184466,0.9862406764174022,0.9759917269488034,0.0718486611558525,0.9861783399707066,0.9282770305188784,0.0646503496503496,0.1895996332168579,0.0120908077806234,0.0126180592924356
39,4096,0.0001778279410038,128,MCN,98944.0,344961,0.13071722,0.0058493698015809,0.0029253582470118,0.5738860247530768,0.4970095693779904,0.483028083028083,0.9775152219255516,1.0,0.9642394822006471,0.9660598705501616,0.9434763658934108,0.6685525963989729,0.0358229284799146,0.944270196197731,0.6821260086052868,0.0416715579312328,0.1301667243242264,0.0009940525051206,0.0009596329182386
