,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,sex,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,age,juv_misd_count,priors_count
86,1024,0.0007,32,GMC,305696.0,84354,0.39662725,0.6055852788586251,0.6746433203631648,0.5,0.6953574223401722,0.7030893811030587,0.608974358974359,0.608974358974359,0.6782178217821782,0.5,0.5,128.68008422851562,0.2072434574365615,21.527162551879883
87,1024,0.0007,32,ICEH,89505.0,100866,0.6975143,0.6454280155642023,0.6760376134889754,0.5,1.0,1.0,1.0,1.0,0.99009900990099,1.0,0.74125,271.1146850585937,0.5613682270050049,42.36016082763672
88,1024,0.0007,32,MCN,7136.0,15234,0.4372078,0.6415531776913099,0.6658803501945525,0.520017133066819,0.8241553536796979,0.8818345752100983,0.8022595683886007,0.6866023761185052,0.8193069306930694,0.7285714285714285,0.56875,435.1549377441406,1.0764588117599487,282.6177062988281
89,1024,0.0007,32,SCARF,16224.0,15234,0.50529045,0.601280804150454,0.6858868352788586,,,,,,,,,,,
90,1024,0.0007,32,SUBTAB,8032.0,15234,0.45788765,0.6276426718547341,0.672697795071336,,,,,,,,,,,
91,1024,0.0007,64,CLIP,13889.0,59138,0.31927016,0.626556420233463,0.6786559662775615,0.5,0.9974226804123713,1.0,0.6070381231671554,0.5,1.0,0.9668367346938777,0.9896907216494846,125.8008041381836,5.197183132171631,456.1549377441406
92,1024,0.0007,64,CONTROL,,59138,,,0.6735246433203632,,,,,,,,,,,
93,1024,0.0007,64,GMC,309824.0,122370,0.4718014,0.5916909857328145,0.6763132295719845,0.5,0.6909257936102888,0.6960804327855465,0.5961538461538461,0.5993589743589743,0.5891089108910891,0.5,0.5,136.6458740234375,0.2072434574365615,24.024145126342773
94,1024,0.0007,64,ICEH,93633.0,138882,0.69926864,0.6250081063553826,0.6771400778210117,0.5140205596801828,1.0,1.0,1.0,1.0,0.5,1.0,0.8162499999999999,463.5734558105469,1.6177061796188354,21.233400344848636
95,1024,0.0007,64,MCN,20416.0,59138,0.42932343,0.6123865110246434,0.6760214007782102,0.5,0.7689683916845292,0.654639175257732,0.5,0.5571001579066095,0.4576690719919449,0.5,0.4567010309278351,360.0221252441406,0.7062374353408813,188.95774841308597
96,1024,0.0007,64,SCARF,63168.0,59138,0.47182325,0.6529345006485084,0.6778291180285343,,,,,,,,,,,
97,1024,0.0007,64,SUBTAB,30400.0,59138,0.48051408,0.6161397535667963,0.6629701686121919,,,,,,,,,,,
98,1024,0.0007,128,CLIP,52353.0,232962,0.40711683,0.6179474708171206,0.6672746433203631,0.5779840091376356,0.5,1.0,0.5,0.5,0.5,0.5,0.51125,122.01609802246094,3.796780586242676,107.29376220703124
99,1024,0.0007,128,CONTROL,,232962,,,0.6715791180285344,,,,,,,,,,,
100,1024,0.0007,128,GMC,318080.0,265986,0.50180066,0.6122162775616083,0.6676880674448769,0.5,0.6804123711340206,0.6804123711340206,0.5897435897435898,0.5897435897435898,0.6435643564356436,0.5,0.5,220.1327972412109,0.2072434574365615,24.275653839111328
101,1024,0.0007,128,ICEH,101889.0,282498,0.74983543,0.6501459143968872,0.6811689364461738,0.5820388349514564,1.0,1.0,1.0,1.0,0.5,1.0,1.0,146.72836303710938,0.8169013857841492,116.058349609375
