,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,time_in_hospital,num_lab_procedures,num_medications,number_outpatient,number_emergency,number_inpatient,number_diagnoses
56,1024,0.0003,128,CLIP,117377.0,232450,0.29209822,0.5675626452033273,0.6091836810614653,12.731606483459473,1161.6258544921875,311.2549133300781,34.51191711425781,21.87564849853516,9.411398887634276,28.059066772460938
57,1024,0.0003,128,CONTROL,,232450,,,0.6082185479065709,,,,,,,
58,1024,0.0003,128,GMC,382592.0,265474,0.11578645,0.5482279257698744,0.6051356782424073,9.194818496704102,473.2124328613281,73.66217803955078,1.5357513427734375,0.6341968774795532,1.8155440092086792,4.810362815856934
59,1024,0.0003,128,ICEH,166913.0,281986,0.3344674,0.5565190792977177,0.6077171234971515,8.490155220031738,635.7575073242188,73.73886108398438,37.28497314453125,90.097412109375,7.639378070831299,11.429015159606934
60,1024,0.0003,128,MCN,130432.0,232450,0.4181719,0.5411038603109956,0.6074562007559279,9.25699520111084,1068.750244140625,85.85491943359375,52.34818649291992,4.389637470245361,2.916062116622925,15.396891593933104
61,1024,0.0003,128,SCARF,248704.0,232450,0.21969119,0.562181098824696,0.6075517761267841,,,,,,,
62,1024,0.0003,128,SUBTAB,150400.0,232450,0.4408373,0.5483011012815568,0.6073813234881599,,,,,,,
63,1024,0.0005,32,CLIP,7841.0,15106,0.32562542,0.5665975120484331,0.6062114255428681,19.83005142211914,1069.9150390625,340.7481994628906,41.792747497558594,35.880828857421875,9.067357063293455,37.81865310668945
64,1024,0.0005,32,CONTROL,,15106,,,0.6102392843189588,,,,,,,
65,1024,0.0005,32,GMC,370208.0,145282,0.115594596,0.5544112762949018,0.6094341162361144,9.423833847045898,596.758544921875,61.758548736572266,1.2694300413131714,0.6341968774795532,1.8466321229934688,5.488082885742188
66,1024,0.0005,32,ICEH,154529.0,161794,0.37425762,0.5604851207946046,0.6064229973576081,7.1108808517456055,372.4259033203125,59.969947814941406,1.2694300413131714,0.795854926109314,2.0611398220062256,3.550259113311768
67,1024,0.0005,32,MCN,11104.0,15106,0.4338858,0.537973341476434,0.6061620746163846,26.468393325805664,778.0217895507812,794.1181640625,9.785491943359377,1.1036269664764404,3.629015445709229,55.67771911621094
68,1024,0.0005,32,SCARF,16096.0,15106,0.20957302,0.56676515481073,0.6076405444732977,,,,,,,
69,1024,0.0005,32,SUBTAB,9952.0,15106,0.42775986,0.5515765464134581,0.6048356151112142,,,,,,,
70,1024,0.0005,64,CLIP,30017.0,58882,0.31344786,0.5648638183543971,0.6080600075605461,15.746113777160645,1308.02587890625,183.2103576660156,38.21450805664063,29.43523406982422,13.804144859313965,30.822797775268555
71,1024,0.0005,64,CONTROL,,58882,,,0.6065778571614012,,,,,,,
72,1024,0.0005,64,GMC,374336.0,171010,0.11154601,0.5502963113526602,0.6056867306083706,10.652850151062012,419.4114074707031,73.25699615478516,1.2611398696899414,0.6300517916679382,1.8549222946166992,5.306735515594482
73,1024,0.0005,64,ICEH,158657.0,187522,0.37168744,0.5661565197679153,0.6068833025909117,8.352331161499023,371.1181335449219,58.73160552978516,1.2694300413131714,249.6000061035156,1.6393781900405884,3.321243524551392
74,1024,0.0005,64,MCN,36544.0,58882,0.43650317,0.5429776916398976,0.6050486116519793,11.13678741455078,1832.2135009765625,110.1274642944336,7.242486953735352,3.2155439853668213,3.852849721908569,13.06632137298584
75,1024,0.0005,64,SCARF,62912.0,58882,0.42156878,0.57034236482991,0.6061467588116138,,,,,,,
76,1024,0.0005,64,SUBTAB,38336.0,58882,0.44174746,0.5395317938693722,0.607482004127273,,,,,,,
77,1024,0.0005,128,CLIP,117377.0,232450,0.30221292,0.5712674869289303,0.6068730920543979,13.127461433410645,1427.4176025390625,378.3336791992188,28.62383460998535,20.18342018127441,8.414507865905762,27.236268997192383
78,1024,0.0005,128,CONTROL,,232450,,,0.6081419688827172,,,,,,,
79,1024,0.0005,128,GMC,382592.0,265474,0.11567442,0.5632914748827134,0.6038174504876046,10.1450777053833,436.3326416015625,64.84248352050781,1.2611398696899414,0.6300517916679382,1.849740982055664,5.327461242675781
80,1024,0.0005,128,ICEH,166913.0,281986,0.31646952,0.5678905300677346,0.6098912949873073,11.42072582244873,632.4207153320312,69.4953384399414,1.2694300413131714,19.133678436279297,1.794818639755249,8.019689559936523
81,1024,0.0005,128,MCN,130432.0,232450,0.40678084,0.5531792444646229,0.6084048704100868,9.718134880065918,525.0870361328125,81.48186492919922,1.607253909111023,9.994818687438965,18.827980041503903,7.240414619445801
82,1024,0.0005,128,SCARF,248704.0,232450,0.15747029,0.5797818475340526,0.6049053871107253,,,,,,,
83,1024,0.0005,128,SUBTAB,150400.0,232450,0.44438547,0.55099035080554,0.6072539688117975,,,,,,,
84,1024,0.0007,32,CLIP,7841.0,15106,0.37761146,0.5743015993024542,0.6079491163849192,14.158549308776855,1333.8114013671875,151.07254028320312,49.53886032104492,19.176166534423828,8.225906372070312,27.29222869873047
85,1024,0.0007,32,CONTROL,,15106,,,0.6061864532617045,,,,,,,
86,1024,0.0007,32,GMC,370208.0,145282,0.111329004,0.5572292260698267,0.6053727763984319,10.595854759216309,880.6176147460938,73.21036529541016,1.2849740982055664,0.6300517916679382,1.8777202367782595,5.431087970733643
87,1024,0.0007,32,ICEH,154529.0,161794,0.34579113,0.5591189272636206,0.6049144499512744,8.472538948059082,357.7948303222656,59.73160552978516,1.2694300413131714,1.7575129270553589,1.6393781900405884,3.3450777530670166
88,1024,0.0007,32,MCN,11104.0,15106,0.38340735,0.5399903973465903,0.606435186680268,10.205181121826172,2025.73681640625,807.6538696289062,5.757513046264648,3.00207257270813,13.564766883850098,46.642486572265625
89,1024,0.0007,32,SCARF,16096.0,15106,0.54009455,0.5626782886317627,0.6074939164198725,,,,,,,
90,1024,0.0007,32,SUBTAB,9952.0,15106,0.46415326,0.5400278359804742,0.606624081605774,,,,,,,
91,1024,0.0007,64,CLIP,30017.0,58882,0.33519962,0.5720366411039157,0.6062304218898706,16.032123565673828,1786.962646484375,367.817626953125,40.20518112182617,18.49222755432129,8.882901191711426,32.35336685180664
92,1024,0.0007,64,CONTROL,,58882,,,0.6079306740980377,,,,,,,
