,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,month,hour,temp,feel_temp,humidity,windspeed
102,1024,0.0007,128,MCN,84736.0,170241,0.26163492,11758.187,10407.161,0.2648318661506385,0.0645077956715346,10.81396198272705,17.318632125854492,0.0678875297307968,78.95965576171875
103,1024,0.0007,128,SCARF,186624.0,170241,0.1940913,10748.426,10352.014,,,,,,
104,1024,0.0007,128,SUBTAB,104704.0,170241,0.35453793,12943.236,10113.413,,,,,,
105,1024,0.001,32,CLIP,5633.0,11841,0.3342785,13020.753,11356.057,0.2797095734883014,0.0713857018227113,4.616393089294434,17.24919319152832,0.0984480381011962,984.7923583984376
106,1024,0.001,32,CONTROL,,11841,,,11035.546,,,,,,
107,1024,0.001,32,GMC,262432.0,98529,0.16071475,11034.024,10654.645,0.2822671449380196,0.0478394626287931,5.297269344329834,9.34305477142334,0.0395844504237175,74.94756317138672
108,1024,0.001,32,ICEH,108833.0,115041,0.3886779,16412.508,10867.666,0.1504761904761904,0.0672807091681197,0.55279940366745,3.184136390686035,0.1344144344329834,268.7702331542969
109,1024,0.001,32,MCN,8896.0,11841,0.30817908,11866.589,11308.546,0.2293681649351565,0.0608635434524755,35.42154693603516,24.46687126159668,0.1297051757574081,562.748779296875
110,1024,0.001,32,SCARF,12864.0,11841,0.19404492,11952.43,10914.127,,,,,,
111,1024,0.001,32,SUBTAB,7744.0,11841,0.37846684,12656.195,11155.966,,,,,,
112,1024,0.001,64,CLIP,19457.0,44161,0.27062193,13185.355,10411.501,0.2640717655480143,0.0740966729523131,5.3217549324035645,17.376523971557617,0.08222296833992,849.5647583007812
113,1024,0.001,64,CONTROL,,44161,,,10258.185,,,,,,
114,1024,0.001,64,GMC,266560.0,121153,0.15788092,11333.477,10758.488,0.2750668218607874,0.0545423018764165,4.507152080535889,8.409404754638672,0.0363407544791698,91.89866638183594
115,1024,0.001,64,ICEH,112961.0,137665,0.37976587,15305.565,10271.716,0.2039373536299766,0.0468281985451433,1.373993754386902,3.156003713607788,0.1203547567129135,53.66475296020508
116,1024,0.001,64,MCN,25984.0,44161,0.31465855,11478.794,10519.867,0.2507118257816473,0.0612977648479402,31.27413749694824,48.607330322265625,0.0666263327002525,241.9571990966797
117,1024,0.001,64,SCARF,48256.0,44161,0.16065158,11313.233,10584.756,,,,,,
118,1024,0.001,64,SUBTAB,27776.0,44161,0.27913383,12173.038,10328.992,,,,,,
119,1024,0.001,128,CLIP,71681.0,170241,0.39349806,13179.205,9954.11,0.2791513135339062,0.0744693707848217,5.090087413787842,13.820501327514648,0.0594387948513031,880.7698974609375
120,1024,0.001,128,CONTROL,,170241,,,10377.026,,,,,,
