,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence
0,1024,0.0001,16,CONTROL,,44273,,,296.13678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1024,0.0001,16,GMC,3962384.0,1363505,0.46256799,116.67416,264.95572,1907.6903076171875,1242.266357421875,1173.8740234375,1335.4315185546875,0.0551029779016971,0.056923534721136,2005.74169921875,589.1889038085938,295.4811096191406,259.1092224121094,52941.8515625,33564.7578125,53441.94140625,37658.83984375,0.0517111532390117,0.0639165341854095,58751.94921875,159144.4375,6340.03662109375,7780.31787109375,2337.290771484375,2680.609619140625,2034.9825439453125,2310.4794921875,0.0522089004516601,0.0630240887403488,2077.227783203125,758.7337646484375,201.8851776123047,206.9447479248047,144825520.0,105157304.0,108184944.0,24228106.0,0.0498449727892875,0.0510311238467693,91543912.0,12221647.0,24442100.0,11338414.0,891.8327026367188,932.1246948242188,805.908447265625,1115.99462890625,0.0454893112182617,0.0456360913813114,1795.7847900390625,952.2890625,245.39329528808597,165.79067993164062,122.78182220458984,300.9087829589844,70.8941879272461,184.92027282714844,0.0725324302911758,0.0729574337601661,614.3681030273438,291.5399475097656,128.8566131591797,76.81365203857422,1260.5736083984375,1927.276123046875,1235.3907470703125,1288.363037109375,0.0841455236077308,0.0822046250104904,12670.92578125,1016.0927734375,1120.171875,1470.98828125,0.5873499512672424,0.4896497130393982,0.6200245022773743,0.4553010761737823,0.0597694367170333,0.0539117828011512,0.5441469550132751,0.16109399497509,0.1034203544259071
2,1024,0.0001,16,ICEH,1359761.0,1380017,0.48193336,111.32236,260.07983,4942.98974609375,5185.9716796875,4149.7451171875,3318.56005859375,0.0593744404613971,0.0612542293965816,5165.44873046875,2687.86376953125,932.5191650390624,713.607177734375,50626.44140625,37418.8828125,51093.72265625,36896.63671875,0.0441848002374172,0.0470271818339824,148919.953125,131932.234375,17804.1875,7855.8076171875,2830.917236328125,1662.1514892578125,2169.887939453125,1942.0465087890625,0.0535234808921813,0.0474189668893814,2646.15185546875,2634.81201171875,868.1106567382812,330.7668762207031,171550048.0,40367624.0,95126856.0,120973224.0,0.0570049881935119,0.072855494916439,89855848.0,19728096.0,21923436.0,14776939.0,2823.8271484375,3542.93505859375,4911.703125,3108.97900390625,0.0837156102061271,0.092876449227333,20432.904296875,3165.064453125,1166.27734375,1191.8594970703125,298.1788330078125,560.0196533203125,60.501953125,349.3527526855469,0.0481826551258564,0.0583685636520385,1942.9537353515625,496.9931335449219,505.0089111328125,108.40155029296876,5071.17724609375,5890.66552734375,6086.1328125,2831.6767578125,0.2606014907360077,0.2645911574363708,35495.2734375,3169.518310546875,4047.18603515625,4920.3076171875,0.7110421657562256,0.4812174439430237,2.167762756347656,1.82992684841156,0.0334917306900024,0.0559931956231594,0.5387481451034546,0.3545048534870147,0.5268429517745972
3,1024,0.0001,16,SCARF,44528.0,44273,0.5543853,305.66043,303.7581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1024,0.0001,16,SUBTAB,32752.0,44273,0.56514585,113.41226,300.6996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1024,0.0001,32,CONTROL,,169441,,,274.43088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1024,0.0001,32,GMC,3964448.0,1426273,0.44527102,111.65236,272.1946,1684.330078125,1211.474853515625,2871.120361328125,1622.6923828125,0.0642903223633766,0.0627054423093795,2170.27099609375,400.0262451171875,327.40826416015625,254.5063018798828,52941.8515625,34377.625,53441.94140625,36837.5234375,0.0617953687906265,0.0549833849072456,40555.54296875,168048.703125,5721.173828125,6252.13916015625,2452.149658203125,2863.598876953125,2009.8951416015625,652.3865966796875,0.0673264265060424,0.0708736106753349,2243.83544921875,751.9022216796875,296.5797424316406,251.0702362060547,107843120.0,111738376.0,103498088.0,18943998.0,0.0496172793209552,0.0482567586004734,86745712.0,19647142.0,24235968.0,12453762.0,1657.6356201171875,878.3006591796875,914.6978149414062,1119.630615234375,0.0414971597492694,0.0445013120770454,1816.7161865234373,737.111572265625,238.6747131347656,165.59515380859375,131.62887573242188,348.5202941894531,84.3440170288086,220.441162109375,0.0784964337944984,0.0781571045517921,612.7559204101562,308.4227905273437,129.90625,75.63259887695312,1289.2066650390625,2021.7210693359373,1416.4873046875,2287.617431640625,0.0830463916063308,0.0833401307463646,5144.765625,1049.7471923828125,1333.2147216796875,836.4655151367188,0.7027674317359924,0.5578243732452393,0.8837307095527649,0.7726826071739197,0.072480022907257,0.0691967383027076,0.727177083492279,0.1840418726205825,0.1018859148025512
7,1024,0.0001,32,ICEH,1361825.0,1442785,0.4371674,102.897804,265.46545,5372.36767578125,4655.64501953125,2585.333251953125,5552.2705078125,0.0369199402630329,0.0665315687656402,4747.0087890625,1818.9034423828125,755.5631713867188,523.8419799804688,55585.234375,37496.92578125,31124.265625,32786.1640625,0.0290422346442937,0.0799034684896469,316546.125,141426.6875,18175.669921875,8612.90234375,2650.318115234375,1496.3533935546875,2333.52099609375,2010.6370849609373,0.0456709563732147,0.0431787632405757,3399.341796875,2378.432861328125,1057.4853515625,535.0502319335938,209103024.0,40017484.0,134647296.0,134226768.0,0.0816180408000946,0.0722970813512802,81608792.0,25341592.0,25782724.0,12861638.0,3154.973388671875,3697.8203125,5513.0810546875,2869.540283203125,0.0712669864296913,0.0832701176404953,20304.421875,3339.648681640625,2273.900634765625,763.76025390625,140.59521484375,323.5014953613281,87.44525146484375,459.74456787109375,0.0758391544222831,0.0421684794127941,1498.14697265625,226.74046325683597,149.55410766601562,191.9949493408203,5954.45556640625,4848.3291015625,8239.4580078125,4886.64501953125,0.1974057257175445,0.1571998596191406,46375.7109375,1861.7296142578125,3594.431884765625,5574.86572265625,1.694852590560913,1.8802727460861208,1.8585017919540403,0.8355544805526733,0.0393410474061965,0.059096336364746,0.7500848770141602,0.2146850973367691,0.3784283399581909
8,1024,0.0001,32,SCARF,170464.0,169441,0.5002859,177.79501,286.84976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1024,0.0001,32,SUBTAB,123360.0,169441,0.5298755,111.02627,285.88504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
