,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,dx_type,sex,localization,age
0,512,0.0001,128,CLIP,25704745.0,25787695,0.27928305,0.6039342353856966,0.940409780827754,0.948969910544863,0.9521296884933248,0.9043532849145284,245.61752319335935
1,512,0.0001,128,CONTROL,,25787695,,,0.9259883455869912,,,,
2,512,0.0001,128,GMC,54328528.0,26755759,0.21206902,0.6506189490721661,0.9086824431265044,0.6764705882352942,0.832581055308328,0.7015246112509702,212.05178833007807
3,512,0.0001,128,ICEH,26935465.0,27018415,0.21159385,0.6017313542332355,0.923963525708791,0.9806858227161832,0.9565479974570884,0.932978748813168,68.02788543701172
4,512,0.0001,128,MCN,25711272.0,25787695,0.45134225,0.5402358256735529,0.91627081180731,0.5361886690159935,0.5,0.0518518518518518,1305.2789306640625
5,512,0.0001,128,SCARF,25803304.0,25787695,0.20743643,0.5133013752764787,0.9453504436600512,,,,
6,512,0.0001,128,SUBTAB,25737768.0,25787695,0.42855632,0.5763734946715005,0.9448502435800192,,,,
7,512,0.0001,256,CLIP,25885225.0,26214959,0.24392313,0.6133063374603572,0.876516890338225,0.988479262672811,0.9455816910362363,0.8897965321853074,180.2788848876953
8,512,0.0001,256,CONTROL,,26214959,,,0.8930254937796015,,,,
9,512,0.0001,256,GMC,54394192.0,27068207,0.20482226,0.5827781560385349,0.946769678020462,0.7205882352941176,0.8240305149396059,0.7056626412871759,258.76495361328125
10,512,0.0001,256,ICEH,27001129.0,27330863,0.18881904,0.5612637841206134,0.9227467056474332,0.9654377880184332,0.9725047679593136,0.9074946100099672,101.39442443847656
11,512,0.0001,256,MCN,25898280.0,26214959,0.42072624,0.5565535368376205,0.9087407898482776,0.527378693412849,0.4593452002542911,0.1333333333333333,1113.6453857421875
12,512,0.0001,256,SCARF,26278952.0,26214959,0.22059737,0.6126561271274679,0.954044264471958,,,,
13,512,0.0001,256,SUBTAB,26016808.0,26214959,0.47115767,0.5787538896155476,0.9278044053442274,,,,
14,512,0.0001,512,CLIP,26344489.0,27659311,0.23921967,0.5844001381647186,0.8847558824524836,0.9535782054757388,0.9796249205340116,0.9204689118966854,295.8167419433594
15,512,0.0001,512,CONTROL,,27659311,,,0.9224265775962126,,,,
16,512,0.0001,512,GMC,54525520.0,28184623,0.21904713,0.5903768024622783,0.9147885422825848,0.6911764705882353,0.8278766687857597,0.6801004719750066,227.0916290283203
17,512,0.0001,512,ICEH,27132457.0,28447279,0.17482422,0.5948222273984219,0.9422932207708954,0.988479262672811,0.9648124602670056,0.932298573437814,73.00796508789062
18,512,0.0001,512,MCN,26370600.0,27659311,0.41366756,0.5280494884520973,0.9398612380275492,0.5838980753591759,0.5018753973299428,0.1215790553211439,385.6573791503906
19,512,0.0001,512,SCARF,27918376.0,27659311,0.27173188,0.5554143000483776,0.942164189058708,,,,
20,512,0.0001,512,SUBTAB,26869800.0,27659311,0.46947932,0.6099022793196881,0.9415342604703574,,,,
21,512,0.00025,128,CLIP,25704745.0,25787695,0.21678232,0.5581469105054958,0.877915086432583,0.965979940363242,0.9509853782581056,0.9059194106615924,108.16732788085938
22,512,0.00025,128,CONTROL,,25787695,,,0.9523859245190616,,,,
23,512,0.00025,128,GMC,54328528.0,26755759,0.20343338,0.5915435427902505,0.9513451748858748,0.7352941176470589,0.861220597584234,0.7439860121263694,219.9203186035156
24,512,0.00025,128,ICEH,26935465.0,27018415,0.24426667,0.5107068847439474,0.5490529047439872,0.9930875576036866,0.9603941513032422,0.93397286833158,154.88047790527344
25,512,0.00025,128,MCN,25711272.0,25787695,0.45400813,0.595540624209883,0.9618637355439688,0.7581322851721334,0.6484106802288621,0.1230587171577491,1057.8685302734375
26,512,0.00025,128,SCARF,25803304.0,25787695,0.24858187,0.5244298565197224,0.944131976173554,,,,
27,512,0.00025,128,SUBTAB,25737768.0,25787695,0.4547566,0.6556960893810261,0.9340229226018766,,,,
28,512,0.00025,256,CLIP,25885225.0,26214959,0.21062088,0.558170626459539,0.9577457550184254,0.9737733803198698,0.9639542275905912,0.9223172057149162,115.637451171875
29,512,0.00025,256,CONTROL,,26214959,,,0.8739764811397197,,,,
30,512,0.00025,256,GMC,54394192.0,27068207,0.18239307,0.6178861693931303,0.9171068128744037,0.7058823529411764,0.8444055944055944,0.7639398832669495,193.9243011474609
31,512,0.00025,256,ICEH,27001129.0,27330863,0.16406195,0.5355448995518606,0.8519743369984809,0.9760775277853077,0.9414494596312778,0.8218209277381838,48.00796890258789
32,512,0.00025,256,MCN,25898280.0,26214959,0.45389104,0.5420418913834191,0.9614505702778624,0.5,0.5082644628099173,0.0778079164155113,585.9561767578125
33,512,0.00025,256,SCARF,26278952.0,26214959,0.39081034,0.5460661378979452,0.9393023378505632,,,,
34,512,0.00025,256,SUBTAB,26016808.0,26214959,0.4722248,0.5939268393924734,0.9368737395455696,,,,
35,512,0.00025,512,CLIP,26344489.0,27659311,0.25680366,0.5297614667757651,0.9223929173659514,0.9682840878286798,0.9506993006993008,0.9043776001961964,131.47410583496094
36,512,0.00025,512,CONTROL,,27659311,,,0.9221201614974348,,,,
37,512,0.00025,512,GMC,54525520.0,28184623,0.20178819,0.5213041435479665,0.9238788450703666,0.7058823529411764,0.8573744437380801,0.7005039111284458,234.76095581054688
38,512,0.00025,512,ICEH,27132457.0,28447279,0.21084473,0.5303381004142951,0.9240662135500968,0.9838709677419356,0.9675143038779404,0.9221409414680076,137.74900817871094
