,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33
0,1024,0.0001,32,CLIP,29121.0,55809,0.19350883,64.333336,470.53995,5503.802734375,732.5630493164062,2399.128173828125,208.0167999267578,127.72479248046876,170.15756225585938,2413.441162109375,1390.70166015625,5532.5712890625,9562.890625,3132.72900390625,3788.724853515625,3967.2080078125,881.5756225585938,1343.5924072265625,587.8445434570312,50.52521133422852,96.7583999633789,1345.2080078125,242.9411773681641,60.61764526367188,383.7920227050781,553.8697509765625,73.91386413574219,25.51890754699707,8.065126419067383
1,1024,0.0001,32,CONTROL,,55809,,,490.2031,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1024,0.0001,32,GMC,1318688.0,483297,0.25489175,42.7,167.93474,1162.9033203125,1403.676513671875,517.3277587890625,238.6659698486328,373.2941284179688,211.22268676757807,478.4432678222656,420.6281433105469,391.6386413574219,423.5294189453125,507.079833984375,383.5651245117188,163.9138641357422,105.89075469970705,125.92227172851562,93.78150939941406,41.563026428222656,43.659664154052734,40.10714340209961,22.52310943603516,46.14075469970703,22.390756607055664,4.455882549285889,4.852941036224365,11.445378303527832,0.7584033608436584
3,1024,0.0001,32,ICEH,473121.0,499809,0.18363887,360.978,78.82877,506.0966491699219,1364.4285888671875,1800.1722412109375,165.5063018798828,3245.10302734375,18.388654708862305,101.73529052734376,18.752099990844727,36.19117736816406,6.527310848236084,10.46218490600586,7.55042028427124,3.888655424118042,2.619747877120972,3.075630187988281,6.483193397521973,5.092436790466309,9.38025188446045,10.191176414489746,3.735294103622437,6.352941036224365,9.76890754699707,2.49369740486145,3.52521014213562,10.014705657958984,0.8235294222831726
4,1024,0.0001,32,MCN,32384.0,55809,0.2073933,69.541336,344.52023,7797.47900390625,732.5630493164062,315.6890869140625,208.0167999267578,46.57352828979492,210.15126037597656,554.6659545898438,518.9306640625,957.2857055664062,682.9453735351562,580.6848754882812,397.2100830078125,161.46218872070312,105.88235473632812,118.32563018798828,93.55672454833984,94.29621887207033,44.78151321411133,40.12604904174805,28.91386604309082,46.2100830078125,29.23109245300293,4.455882549285889,6.619748115539551,11.57563018798828,0.7584033608436584
5,1024,0.0001,32,SCARF,56832.0,55809,0.25542966,62.28889,332.73087,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1024,0.0001,32,SUBTAB,40448.0,55809,0.18323112,78.9625,358.74142,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1024,0.0001,64,CLIP,111489.0,218113,0.17682081,64.066666,159.62387,8385.802734375,695.5462036132812,757.6974487304688,181.8718414306641,2243.22900390625,1217.8067626953125,2255.93896484375,2796.768798828125,2032.4495849609373,316.649169921875,877.90966796875,2010.97900390625,1207.287841796875,381.7983093261719,386.8613586425781,727.9495849609375,187.489501953125,383.0567321777344,234.43067932128903,159.7058868408203,353.489501953125,372.9705810546875,4.947478771209717,23.441177368164062,60.00840377807617,4.5966386795043945
8,1024,0.0001,64,CONTROL,,218113,,,159.68861,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1024,0.0001,64,GMC,1322816.0,567361,0.31348106,49.997334,66.1348,1263.0609130859375,1434.6617431640625,1656.3634033203125,230.7142791748047,813.079833984375,202.7037811279297,472.9180603027344,418.30462646484375,392.7184753417969,443.4369812011719,523.5840454101562,383.5735168457031,163.9159698486328,105.89075469970705,125.73109436035156,93.78150939941406,41.563026428222656,43.659664154052734,40.10714340209961,22.52310943603516,46.14075469970703,22.390756607055664,4.455882549285889,4.852941036224365,11.445378303527832,0.7584033608436584
10,1024,0.0001,64,ICEH,477249.0,583873,0.12677652,183.04355,70.222435,16227.2314453125,1927.6890869140625,444.5441284179688,8129.60693359375,3238.03564453125,15.207983016967772,11.136554718017578,9.909664154052734,13.476890563964844,7.256302356719971,13.644957542419434,14.655462265014648,3.489495754241944,2.00630259513855,1.844537854194641,1.029411792755127,1.1302521228790283,9.506302833557127,15.596638679504396,12.945378303527832,30.764705657958984,16.584033966064453,4.042016983032227,3.7415966987609854,10.493697166442873,0.5840336084365845
