,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,a1,a2,a3,a4,a5,y2
182,1024,0.005,128,CLIP,100609.0,199169,0.46485505,0.0008573303,0.0014008017,0.003791939234361,0.0045028547756373,0.017069973051548,0.0155699513852596,0.006789696868509,0.0555558390915393
183,1024,0.005,128,CONTROL,,199169,,,0.0016216423,,,,,,
184,1024,0.005,128,GMC,332672.0,232193,0.5711058,0.0015249432,0.0012559586,0.0278595015406608,0.028751078993082,0.0827248841524124,0.1407925337553024,0.0416876152157783,0.0223269611597061
185,1024,0.005,128,ICEH,150145.0,248705,0.49288544,0.00066518266,0.0013562667,0.0041824546642601,0.0414544604718685,0.0123556302860379,0.007932218722999,0.005798049736768,0.0037411889061331
186,1024,0.005,128,MCN,113664.0,199169,0.4965608,0.000849184,0.0009327354,0.0073739243671298,0.0077623734250664,0.0326466858386993,0.0143101317808032,0.0122294137254357,0.2629099786281585
187,1024,0.005,128,SCARF,215552.0,199169,0.49719557,0.0021141602,0.0014997382,,,,,,
188,1024,0.005,128,SUBTAB,133632.0,199169,0.4940646,0.0012964153,0.0015090285,,,,,,
189,1024,0.007,32,CLIP,6721.0,12929,0.46006238,0.00062906434,0.0013489992,0.003227554494515,0.0064119854941964,0.0297635719180107,0.020137783139944,0.0050770947709679,0.0223550032824277
190,1024,0.007,32,CONTROL,,12929,,,0.0014072859,,,,,,
191,1024,0.007,32,GMC,320288.0,127457,0.59395725,0.0032300707,0.0018094012,0.0256654061377048,0.02434385381639,0.0346047282218933,0.1440416425466537,0.0445664785802364,0.0129568725824356
192,1024,0.007,32,ICEH,137761.0,143969,0.5499367,0.002243963,0.0013272391,0.0067147864028811,0.0696313306689262,0.013744231313467,0.0418425723910331,0.0370628573000431,0.4286265671253204
193,1024,0.007,32,MCN,9984.0,12929,0.5877508,0.00095399586,0.0013295555,0.0137650622054934,0.0142637034878134,0.098853051662445,0.0568575449287891,0.0467332936823368,0.3295153081417084
194,1024,0.007,32,SCARF,13952.0,12929,0.4465833,0.0026862354,0.0013213834,,,,,,
195,1024,0.007,32,SUBTAB,8832.0,12929,0.4932173,0.0009790709,0.0013875181,,,,,,
196,1024,0.007,64,CLIP,25729.0,50433,0.45692515,0.00042316868,0.0010430244,0.0046535050496459,0.0035558363888412,0.0483290143311023,0.0170914474874734,0.0050623314455151,0.0314138233661651
