,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
0,1024,0.0001,32,CLIP,7937.0,16193,0.8620705,4.711938,8.052613,0.5176111245076763,0.0076788258738815,0.0221287067979574,0.0524374358355999,0.0151239559054374,0.0852426439523696,0.0403253734111785,0.1248273104429245
1,1024,0.0001,32,CONTROL,,16193,,,8.372303,,,,,,,,
2,1024,0.0001,32,GMC,387360.0,146657,0.4856946,7.0421653,6.9442105,0.4968410899445382,0.0012037679553031,0.0007177033112384,0.0004477870243135,0.0281995385885238,0.0087090888991951,0.001378885586746,0.0031317735556513
3,1024,0.0001,32,ICEH,154913.0,163169,0.53711385,5.896664,6.7285876,0.3333333333333333,0.0006029903888702,0.0004083731328137,0.0151565177366137,0.0081356642767786,0.0055334297940135,0.0009003205923363,0.0024013963993638
4,1024,0.0001,32,MCN,11200.0,16193,0.8275458,4.8877516,7.7574635,0.5163893577686681,0.085239291191101,0.0464654304087162,0.093839406967163,1.8924708366394043,0.7539281249046326,0.0696824043989181,0.2559265196323395
5,1024,0.0001,32,SCARF,17216.0,16193,0.51582325,5.3125596,8.162369,,,,,,,,
6,1024,0.0001,32,SUBTAB,12096.0,16193,0.87169784,4.589447,8.6334,,,,,,,,
7,1024,0.0001,64,CLIP,30209.0,63105,0.8083416,4.6325064,7.100322,0.4727031589100554,0.001051495084539,0.0111385164782404,0.070235826075077,0.0230430345982313,0.0067268097773194,0.0012353403726592,0.0035232999362051
8,1024,0.0001,64,CONTROL,,63105,,,7.389097,,,,,,,,
9,1024,0.0001,64,GMC,391488.0,175425,0.48305282,6.3897605,6.7517514,0.4944457841009564,0.0011794854653999,0.0007532296003773,0.0004567583673633,0.0307359620928764,0.0076152649708092,0.0012699114158749,0.0033097579143941
10,1024,0.0001,64,ICEH,159041.0,191937,0.5165096,5.6495953,6.7112904,0.5048147255043807,0.000602392363362,0.0004007774696219,0.0440621338784694,0.0068262969143688,0.0050919814966619,0.0009273128234781,0.0045716492459177
11,1024,0.0001,64,MCN,36736.0,63105,0.6563513,4.9019628,7.115397,0.4815448918897195,0.056652508676052,0.0388732068240642,0.069692812860012,0.819795548915863,0.3525304496288299,0.043245855718851,0.1568183004856109
12,1024,0.0001,64,SCARF,67200.0,63105,0.53165734,5.838716,7.1386514,,,,,,,,
13,1024,0.0001,64,SUBTAB,46720.0,63105,0.8606938,4.4988995,7.220791,,,,,,,,
14,1024,0.0001,128,CLIP,117761.0,249089,0.804427,4.610927,7.365966,0.498762157382847,0.0004873803409282,0.0003536482690833,0.0645042434334755,0.0128369554877281,0.0070849140174686,0.0008648912189528,0.0033400782849639
15,1024,0.0001,128,CONTROL,,249089,,,6.999581,,,,,,,,
16,1024,0.0001,128,GMC,399744.0,282113,0.48849815,5.95043,6.547327,0.4939152801221766,0.001289413892664,0.0007773324032314,0.0004577751096803,0.0301273204386234,0.0080515276640653,0.0013876836746931,0.0033189340028911
17,1024,0.0001,128,ICEH,167297.0,298625,0.5096354,6.146323,6.5645795,0.5025641025641026,0.0006164473597891,0.0004930023569613,0.024504305794835,0.0084643401205539,0.0049539115279912,0.0008594969986006,0.0042660250328481
18,1024,0.0001,128,MCN,130816.0,249089,0.6414505,4.9504066,6.5629444,0.4736757495378185,0.0443217642605304,0.0337007790803909,0.0557662025094032,0.0988526716828346,0.0838034972548484,0.0330022275447845,0.0614571720361709
19,1024,0.0001,128,SCARF,265472.0,249089,0.5389117,5.460078,7.83424,,,,,,,,
20,1024,0.0001,128,SUBTAB,183552.0,249089,0.8275925,4.472952,6.781416,,,,,,,,
21,1024,0.0002,32,CLIP,7937.0,16193,0.80271477,4.9492,6.975347,0.5240495137046861,0.003679365850985,0.0007780502201057,0.0555812753736972,0.0265181511640548,0.0060383141972124,0.0014462864492088,0.0165951009839773
22,1024,0.0002,32,CONTROL,,16193,,,7.3633723,,,,,,,,
23,1024,0.0002,32,GMC,387360.0,146657,0.48997694,6.8773923,6.3466587,0.4915842777911743,0.0011684809578582,0.0006294855265878,0.0004360645252745,0.0292206313461065,0.0085538383573293,0.0011642327299341,0.0031678054947406
24,1024,0.0002,32,ICEH,154913.0,163169,0.56123424,6.1857395,6.4546604,0.4657342657342657,0.0005565191386267,0.0003796649980358,0.0095267929136753,0.0098629221320152,0.0058502661995589,0.0007987625431269,0.0041633686050772
25,1024,0.0002,32,MCN,11200.0,16193,0.8242383,4.7208853,7.5173564,0.4989952576159472,0.057040486484766,0.0452973656356334,0.0828795358538627,2.025097608566284,0.7262595295906067,0.063027836382389,0.2559265196323395
26,1024,0.0002,32,SCARF,17216.0,16193,0.5185149,6.8636365,7.284788,,,,,,,,
27,1024,0.0002,32,SUBTAB,12096.0,16193,0.79346114,4.4826555,7.153682,,,,,,,,
28,1024,0.0002,64,CLIP,30209.0,63105,0.7556335,4.6429186,6.5777245,0.4961015995498753,0.0006291267345659,0.0004636961093638,0.0205346271395683,0.0135402623564004,0.0055358787067234,0.0007866705418564,0.003406640375033
29,1024,0.0002,64,CONTROL,,63105,,,7.9720817,,,,,,,,
30,1024,0.0002,64,GMC,391488.0,175425,0.4897454,6.625598,6.236547,0.4921147817699542,0.0012095692800357,0.0005550239002332,0.0004476076283026,0.0303650125861167,0.008731136098504,0.0011767176911234,0.003298781113699
31,1024,0.0002,64,ICEH,159041.0,191937,0.52210826,6.08114,5.90771,0.4946386946386946,0.0005653109983541,0.0004181817930657,0.0053543057292699,0.0062458445318043,0.0052567827515304,0.0008421548991464,0.0033508578781038
32,1024,0.0002,64,MCN,36736.0,63105,0.5788261,4.834143,6.491985,0.4805079977493771,0.0468629114329814,0.0355300828814506,0.0635021477937698,0.4382191300392151,0.2893801927566528,0.0431226976215839,0.1138071939349174
33,1024,0.0002,64,SCARF,67200.0,63105,0.5196117,5.614689,6.96545,,,,,,,,
34,1024,0.0002,64,SUBTAB,46720.0,63105,0.80606943,4.7476315,6.6459355,,,,,,,,
35,1024,0.0002,128,CLIP,117761.0,249089,0.7759918,4.8297844,5.475483,0.5151193633952255,0.0004680023703258,0.0003581339260563,0.0026088512968271,0.0105724651366472,0.0051628053188323,0.0008282667258754,0.0035399883054196
36,1024,0.0002,128,CONTROL,,249089,,,6.03657,,,,,,,,
37,1024,0.0002,128,GMC,399744.0,282113,0.50119144,6.7580385,4.67608,0.4944457841009564,0.001099222456105,0.0006840310525149,0.0004352870455477,0.0287019163370132,0.0084443558007478,0.0011659121373668,0.0032443874515593
38,1024,0.0002,128,ICEH,167297.0,298625,0.6177192,5.862739,7.0199823,0.5069447793585725,0.000535346858669,0.0003983851056545,0.0143655501306056,0.0056011378765106,0.006090261042118,0.0008103050640784,0.0048706987872719
