,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,cut,color,carat,clarity,depth,table,x,y,z
194,1024,0.007,32,SCARF,18528.0,17505,0.63085836,0.07240315,0.022738116,,,,,,,,,
195,1024,0.007,32,SUBTAB,12384.0,17505,0.34984127,0.045659874,0.017910715,,,,,,,,,
196,1024,0.007,64,CLIP,30785.0,67777,0.337596,0.0397375,0.028561624,0.2097612608261695,0.2229385294169347,0.0014189783250913,7.718977928161621,92.23039245605467,88.57281494140625,0.0057065654546022,0.0113587565720081,0.0204551108181476
197,1024,0.007,64,CONTROL,,67777,,,0.020428995,,,,,,,,,
198,1024,0.007,64,GMC,410176.0,180673,0.5630939,0.291792,0.021227898,0.164039408866995,0.1164214523018509,0.3891966938972473,5.036496162414551,155.9673309326172,119.91223907470705,7.375048160552978,7.106626987457275,2.367260456085205
199,1024,0.007,64,ICEH,160193.0,197185,0.6038404,0.06093763,0.15019992,0.3884155961235068,0.1928090575275397,0.0007686131866648,12.083941459655762,300.3153381347656,249.33045959472656,0.0068967156112194,0.0074014621786773,1.130866527557373
200,1024,0.007,64,MCN,37312.0,67777,0.5445092,0.027894566,0.016492309,0.2729860909881194,0.2257573150299151,0.0015379562973976,7.419708251953125,115.9956512451172,95.02828216552734,0.0498430766165256,0.0361364968121051,0.0228153355419635
201,1024,0.007,64,SCARF,71872.0,67777,0.5420379,0.03627408,0.016381042,,,,,,,,,
202,1024,0.007,64,SUBTAB,47296.0,67777,0.32977763,0.044735488,0.017446345,,,,,,,,,
203,1024,0.007,128,CLIP,118913.0,266625,0.3359527,0.034201723,0.03820719,0.3226947100679352,0.1857173850092192,0.0046773725189268,7.715328693389893,71.9395980834961,30.768430709838867,0.0061281006783246,0.0105708027258515,0.0171419717371463
204,1024,0.007,128,CONTROL,,266625,,,0.023121187,,,,,,,,,
205,1024,0.007,128,GMC,418432.0,299649,0.6260481,0.15609053,0.025214838,0.2,0.1297579496915045,0.3932474553585052,6.197080135345459,28.85492515563965,66.70897674560547,2.2515556812286377,2.8877322673797607,1.346604824066162
206,1024,0.007,128,ICEH,168449.0,316161,0.62693423,0.060317013,19.33016,0.2496265172735761,0.2259129967776584,0.0017883211839944,12.72992706298828,283.02996826171875,244.54579162597656,0.010339044034481,0.0086302878335118,0.0189510937780141
207,1024,0.007,128,MCN,131968.0,266625,0.27143365,0.026888957,0.018293269,0.2213352007469654,0.211655592469546,0.0178846754133701,10.065693855285645,49.54674530029297,81.65894317626953,0.3838855624198913,0.1994915753602981,0.0687613263726234
208,1024,0.007,128,SCARF,283008.0,266625,0.3373779,0.02691892,0.02511577,,,,,,,,,
209,1024,0.007,128,SUBTAB,184704.0,266625,0.40052062,0.038533635,0.025637759,,,,,,,,,
210,1024,0.01,32,CLIP,8225.0,17505,0.31603834,0.03311895,0.022531103,0.3091374480826813,0.1713861064621687,0.0011120438575744,7.339416027069092,91.90032196044922,66.304931640625,0.0054967161267995,0.0108288340270519,0.0204697176814079
211,1024,0.01,32,CONTROL,,17505,,,0.017749391,,,,,,,,,
212,1024,0.01,32,GMC,406048.0,148833,0.6844912,0.17438823,0.02373835,0.1921182266009852,0.1353389934785283,0.2587087452411651,8.32846736907959,153.92196655273438,21.77963638305664,5.494031429290772,4.898337364196777,1.6772841215133667
213,1024,0.01,32,ICEH,156065.0,165345,0.56645525,0.06795325,2.5509286,0.2118934930293956,0.2514769065520945,0.0031459855381399,12.868613243103027,300.3153381347656,249.33045959472656,10.584335327148438,0.0099540101364254,0.0228083953261375
214,1024,0.01,32,MCN,11488.0,17505,0.58852637,0.027497973,0.014705781,0.2709955246466402,0.2335048584917443,0.0055226278491318,8.627737045288086,125.86309814453124,78.40857696533203,0.0721324533224105,0.0410806462168693,0.0347573012113571
215,1024,0.01,32,SCARF,18528.0,17505,0.55641955,0.068923265,0.023353288,,,,,,,,,
216,1024,0.01,32,SUBTAB,12384.0,17505,0.26933232,0.059234142,0.01808605,,,,,,,,,
217,1024,0.01,64,CLIP,30785.0,67777,0.3079231,0.034509063,0.01988724,0.2518649988731124,0.1783998108967509,0.0022091241553425,9.266423225402832,106.37142181396484,123.3115005493164,0.0065040099434554,0.0115397786721587,0.0198375880718231
218,1024,0.01,64,CONTROL,,67777,,,0.02236786,,,,,,,,,
219,1024,0.01,64,GMC,410176.0,180673,0.6900252,0.20143221,0.021854736,0.2,0.1096187312134155,0.5613455772399902,6.5620436668396,145.95108032226562,96.4435043334961,4.767411708831787,4.9571309089660645,1.531147837638855
220,1024,0.01,64,ICEH,160193.0,197185,0.6288005,0.05984795,14.398935,0.4002269873466628,0.1941166361825567,0.0009175183367915,12.405109405517578,300.3153381347656,17.655292510986328,0.0080488994717597,0.0083467150107026,0.0284047592431306
221,1024,0.01,64,MCN,37312.0,67777,0.31048924,0.024836624,0.017417405,0.2520944009787823,0.249750830564784,0.0453967191278934,8.810218811035156,124.59491729736328,82.42171478271484,0.4494023025035858,0.4267496466636657,0.2228258997201919
222,1024,0.01,64,SCARF,71872.0,67777,0.35099828,0.020193757,0.01900493,,,,,,,,,
223,1024,0.01,64,SUBTAB,47296.0,67777,0.3776583,0.05013281,0.018640365,,,,,,,,,
224,1024,0.01,128,CLIP,118913.0,266625,0.32296234,0.033486113,0.022557395,0.204492256672784,0.1980700412900098,0.0071284682489931,7.386861324310303,91.30966186523438,80.08522033691406,0.0057952515780925,0.010844524949789,0.0190514586865901
225,1024,0.01,128,CONTROL,,266625,,,0.02137581,,,,,,,,,
226,1024,0.01,128,GMC,418432.0,299649,0.5316549,0.31079376,0.023084158,0.2,0.1421768707482993,0.9967419505119324,8.040145874023438,4.863941669464111,91.51905822753906,5.243098258972168,5.230592727661133,1.5636569261550903
227,1024,0.01,128,ICEH,168449.0,316161,0.610609,0.062191136,464.84622,0.347449209568885,0.2369628389911656,0.0013135035987943,11.28102207183838,300.3153381347656,249.33045959472656,0.0794182121753692,0.0059562027454376,0.0339233726263046
228,1024,0.01,128,MCN,131968.0,266625,0.55259407,0.030589554,0.015574149,0.3440701567983515,0.2103413295142618,0.0012401459971442,11.653285026550291,89.7977294921875,78.66941833496094,0.0250554699450731,0.0198916085064411,0.0182861313223838
229,1024,0.01,128,SCARF,283008.0,266625,0.4519024,0.03229358,0.048818212,,,,,,,,,
