,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap
0,1024,0.0001,32,CLIP,23521.0,45089,0.28801993,8.767014,144.84729,1.488154411315918,17.14312744140625,1.6897255182266235,4.38231897354126,5.28090763092041,1.309681057929993,0.2980103194713592,9.997269630432127,9.317778587341309,4.883551597595215,0.8749698996543884,1.0964094400405884,1.1770565509796145,0.3914869725704193,2.4820337295532227,0.926805019378662,4.125566959381104,4.098709583282471,16.01255989074707,6.153051853179932,7.494180679321289
1,1024,0.0001,32,CONTROL,,45089,,,221.69974,,,,,,,,,,,,,,,,,,,,,
2,1024,0.0001,32,GMC,1069088.0,394337,0.38414717,12.845732,18.82942,1.2600284814834597,2.469350576400757,0.4101809561252594,0.4402165412902832,0.4026892185211181,0.2851622700691223,0.3809748589992523,1.676793336868286,0.9996373653411864,0.4982282817363739,0.7850711941719055,1.089239239692688,1.6421393156051636,0.4589903950691223,0.7786445617675781,0.9705080986022948,0.5718010663986206,0.5582545399665833,1.1832460165023804,1.1858805418014526,17.602664947509766
3,1024,0.0001,32,ICEH,389281.0,410849,0.20678774,9.580945,15.716548,6.194157123565674,9.04258918762207,1.077142357826233,0.4202980697154999,0.4488949179649353,0.06741663813591,0.8237834572792053,10.437926292419434,5.953333377838135,0.0986494868993759,0.07478928565979,0.4388369917869568,5.068803787231445,4.651494026184082,0.2044959217309951,0.2233621776103973,0.3706810176372528,0.3194321095943451,6.282777786254883,1.3874177932739258,2.010364294052124
4,1024,0.0001,32,MCN,26784.0,45089,0.4289509,8.764784,267.40903,6.819516181945801,4.796215057373047,4.395641803741455,4.380601406097412,6.696500301361084,2.551840305328369,4.090935707092285,11.213019371032717,9.44577693939209,1.3034685850143433,7.332143306732178,2.164288282394409,6.958488941192627,5.864335060119629,4.16633939743042,3.177553415298462,5.708414554595947,3.7255313396453857,1.0424346923828125,4.868357658386231,5.993973731994629
5,1024,0.0001,32,SCARF,46112.0,45089,0.35159522,8.455278,78.08112,,,,,,,,,,,,,,,,,,,,,
6,1024,0.0001,32,SUBTAB,32800.0,45089,0.35004503,8.532281,255.70984,,,,,,,,,,,,,,,,,,,,,
7,1024,0.0001,64,CLIP,90049.0,176193,0.38233018,8.79976,29.270058,0.5258787870407104,5.670985221862793,3.444112539291382,4.205033302307129,5.501206398010254,0.1770495176315307,0.4920701086521148,10.17707061767578,9.530652046203612,0.0732630863785743,0.2570132315158844,0.2453331500291824,3.09203839302063,0.3406709730625152,0.2055976539850235,0.2693159282207489,1.6101709604263306,2.554231882095337,0.8135477304458618,3.49786639213562,71.08509063720703
8,1024,0.0001,64,CONTROL,,176193,,,34.713642,,,,,,,,,,,,,,,,,,,,,
9,1024,0.0001,64,GMC,1073216.0,463041,0.40007934,10.763822,17.853216,1.3041807413101196,2.570067882537842,0.4168587923049927,0.4616092443466186,0.4186866581439972,0.2892741560935974,0.3864955902099609,1.7252161502838137,3.482220411300659,0.4801700115203857,0.8436665534973145,1.1828147172927856,1.8707687854766848,0.4501494765281677,0.7849875688552856,0.9781904220581056,0.5795267224311829,0.5612282752990723,1.1790980100631714,1.2047301530838013,13.217759132385254
10,1024,0.0001,64,ICEH,393409.0,479553,0.20607094,9.704288,15.222773,2.3711390495300293,4.107248783111572,1.117034673690796,0.3704485595226288,0.3279095590114593,0.0463444776833057,0.7725024819374084,8.562129974365234,8.746438980102539,0.1197578832507133,0.1094524413347244,0.2528480291366577,2.761429071426392,7.74495267868042,0.1588429361581802,0.3134708702564239,0.4713647961616516,0.4880276620388031,0.5625531673431396,1.3513675928115845,8.143730163574219
11,1024,0.0001,64,MCN,96576.0,176193,0.36334097,8.178805,43.4698,5.540876388549805,2.613506555557251,2.938043594360352,4.00919771194458,5.129810333251953,0.891017496585846,1.0387154817581177,13.619290351867676,8.345800399780273,0.73023921251297,1.803920865058899,2.036760091781616,4.306972503662109,0.4878498017787933,2.029683828353882,3.1326117515563965,6.778139114379883,4.280411720275879,0.9682477116584778,4.262939453125,26.66184425354004
12,1024,0.0001,64,SCARF,180288.0,176193,0.3636991,9.341013,32.452076,,,,,,,,,,,,,,,,,,,,,
13,1024,0.0001,64,SUBTAB,127040.0,176193,0.33778456,9.181,47.118656,,,,,,,,,,,,,,,,,,,,,
