,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,KWG,KWI,STRM,STRN,SA,SB,Run2,Run3,Run4
87,4096,0.0007,32,ICEH,88993.0,98273,0.8802279,0.00026519274,0.00028826073,0.5,0.5,0.550265733455947,0.5,0.5042780748663102,0.5,526.1885986328125,4530.12060546875,26125.833984375
88,4096,0.0007,32,MCN,16832.0,13025,0.831179,0.000333594,0.0021684074,0.4880792625114868,0.4964457445435503,0.5004307035504093,0.4898319710280818,0.5017992731999882,0.4835409666580511,96025.109375,81980.609375,138450.140625
89,4096,0.0007,32,SCARF,14048.0,13025,0.8435644,0.00038420342,0.004877434,,,,,,,,,
90,4096,0.0007,32,SUBTAB,7904.0,13025,0.8334335,0.0003185656,0.0032371848,,,,,,,,,
91,4096,0.0007,64,CLIP,13633.0,50625,0.8111406,0.00040453466,0.00037365154,0.5,0.5038215572534992,0.5484163373123685,0.5,0.5,0.5146763652475723,7618.44384765625,60165.57421875,29127.849609375
92,4096,0.0007,64,CONTROL,,50625,,,0.0006545405,,,,,,,,,
93,4096,0.0007,64,GMC,276032.0,113601,0.8805125,0.00038228233,0.00037076426,0.568402327017421,0.5333416809642046,0.5420086619269582,0.5004008778545561,0.6419283836085916,0.5776494479932062,32571.0078125,27043.0078125,35078.703125
94,4096,0.0007,64,ICEH,93121.0,130113,0.80861986,0.0002695527,0.00035275889,0.560489811397815,0.5,0.5304081728509651,0.5,0.5090820456761308,0.5035616438356164,24.680776596069336,3921.44482421875,91.34669494628906
95,4096,0.0007,64,MCN,39808.0,50625,0.831145,0.00035441451,0.0017397514,0.4911448381152423,0.5005192107995846,0.4971834410141444,0.4986886537978081,0.5021168788962094,0.5069822397814127,191166.15625,341207.28125,266553.4375
96,4096,0.0007,64,SCARF,54720.0,50625,0.7247893,0.0005011992,0.00084007444,,,,,,,,,
97,4096,0.0007,64,SUBTAB,30144.0,50625,0.8348536,0.00032034446,0.001727417,,,,,,,,,
