,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4
0,1024,0.0001,32,CLIP,17921.0,34369,0.28919208,0.5122323,0.7955221,4.51896333694458,0.0108086429536342,0.0098823988810181,0.0019105048850178,0.0008406187407672,0.0027562608011066,0.0319180786609649,0.0013831666437909,0.0011652412358671,0.0140006281435489,0.0411471091210842,0.0315736792981624,0.0600920058786869,0.0174364820122718,0.0462772995233535,0.1473106890916824
1,1024,0.0001,32,CONTROL,,34369,,,0.793908,,,,,,,,,,,,,,,,
2,1024,0.0001,32,GMC,819488.0,305377,0.26286757,0.51424867,0.60851276,2.4287960529327397,0.0013884999789297,0.0292363818734884,0.004072758834809,0.0022268895991146,0.0069665284827351,0.0051281633786857,0.0048782117664813,0.0005830198642797,0.0008808676502667,0.0120549881830811,0.0255411360412836,0.0107942540198564,0.018548185005784,0.0085330614820122,0.1273583322763443
3,1024,0.0001,32,ICEH,305441.0,321889,0.31439763,0.49678984,0.6079886,1.6045962572097778,0.011636909097433,0.1642467677593231,0.0058082994073629,0.0034841925371438,0.011635173112154,0.1152409240603447,0.0165968146175146,0.0008682570187374,0.0152998156845569,0.3267838656902313,0.1593549102544784,0.4859331250190735,0.1639336198568344,0.1431121677160263,0.2731310129165649
4,1024,0.0001,32,MCN,21184.0,34369,0.2972757,0.51330703,0.8616904,14.418463706970217,0.0526484623551368,0.0382275991141796,0.0336276739835739,0.0131964711472392,0.1498245000839233,0.1304622143507003,0.0519151389598846,0.0001528628199594,0.0170025434345006,0.1205142959952354,0.0253641251474618,0.3159355521202087,0.0891530886292457,0.2191959023475647,0.1683186143636703
5,1024,0.0001,32,SCARF,35392.0,34369,0.26285735,0.5457787,0.92943114,,,,,,,,,,,,,,,,
6,1024,0.0001,32,SUBTAB,26176.0,34369,0.46203312,0.5237963,0.9264957,,,,,,,,,,,,,,,,
7,1024,0.0001,64,CLIP,68609.0,134273,0.26039016,0.5080891,0.78683376,3.05181097984314,0.003956685308367,0.0021991189569234,0.0027190472465008,0.0006745940190739,0.0019781524315476,0.0410766303539276,0.0023852158337831,0.0012079136213287,0.0042334161698818,0.1079387888312339,0.00400604121387,0.0432335771620273,0.0147862983867526,0.0200001150369644,0.150722786784172
8,1024,0.0001,64,CONTROL,,134273,,,0.58455944,,,,,,,,,,,,,,,,
9,1024,0.0001,64,GMC,823616.0,358721,0.25913692,0.53990763,0.5575885,2.4262940883636475,0.0013334486866369,0.0292513389140367,0.0041395178996026,0.0022199836093932,0.0070073809474706,0.005555061623454,0.004877510946244,0.0003591521817725,0.0008867203723639,0.0113851726055145,0.0253184475004673,0.0110977329313755,0.0161794424057006,0.0084150871261954,0.1305440813302993
10,1024,0.0001,64,ICEH,309569.0,375233,0.3186558,0.45761037,0.6041416,1.784679889678955,0.0269587580114603,0.0563065484166145,0.0071236789226531,0.0043926299549639,0.0088827069848775,0.2784094512462616,0.0097806509584188,0.0015704843681305,0.0110418228432536,0.3147399425506592,0.0698634535074234,0.172912910580635,0.0929204747080802,0.139470025897026,0.3216891884803772
11,1024,0.0001,64,MCN,75136.0,134273,0.4155874,0.51034296,0.605042,12.873004913330078,0.0105144893750548,0.0302988290786743,0.0239518769085407,0.0130526516586542,0.0580633580684661,0.0644065141677856,0.0590980425477027,0.0017955950461328,0.0502840466797351,0.1281550675630569,0.0327527970075607,0.3771268427371979,0.0771604999899864,0.0527694188058376,0.1447417587041854
12,1024,0.0001,64,SCARF,138368.0,134273,0.2444202,0.5594863,0.95787156,,,,,,,,,,,,,,,,
13,1024,0.0001,64,SUBTAB,101504.0,134273,0.42776293,0.504728,0.80235654,,,,,,,,,,,,,,,,
14,1024,0.0001,128,CLIP,268289.0,530689,0.27444786,0.49064997,0.9025188,3.188101530075073,0.0006337837548926,0.0014055725187063,0.0024985112249851,0.0006698264041915,0.0018923280294984,0.2228098660707473,0.003339770482853,0.0004532805469352,0.0009006483596749,0.0287526845932006,0.0017625621985644,0.0755999982357025,0.0173059348016977,0.0104870395734906,0.1521521508693695
15,1024,0.0001,128,CONTROL,,530689,,,0.62191594,,,,,,,,,,,,,,,,
16,1024,0.0001,128,GMC,831872.0,563713,0.25413334,0.54112166,0.5559766,2.471050500869751,0.0012870390200987,0.0289386138319969,0.0041413065046072,0.0022849247325211,0.0071688927710056,0.0053189368918538,0.004980563186109,0.0005756567697972,0.0009206446120515,0.0117487264797091,0.024670323356986,0.0109017016366124,0.0166518446058034,0.0083952145650982,0.1380752027034759
17,1024,0.0001,128,ICEH,317825.0,580225,0.3335047,0.48085573,0.5785084,1.98405396938324,0.0275128725916147,0.0406784936785697,0.0077647645957767,0.0059086512774229,0.0283377300947904,0.2128100842237472,0.0186573956161737,0.0014214069815352,0.0142800528556108,0.3030322790145874,0.0685312151908874,0.1351319402456283,0.1298514753580093,0.3164257407188415,0.2959896326065063
18,1024,0.0001,128,MCN,281344.0,530689,0.29721493,0.515135,0.5515266,5.489062309265137,0.0065341615118086,0.0034079605247825,0.0046937661245465,0.0014255264541134,0.0087249297648668,0.0095580825582146,0.0104376338422298,0.0002829963632393,0.0013656985247507,0.0356655456125736,0.002411123830825,0.0561534836888313,0.0407096222043037,0.0430535115301609,0.1669861823320388
19,1024,0.0001,128,SCARF,547072.0,530689,0.5313838,0.5566695,0.8409129,,,,,,,,,,,,,,,,
20,1024,0.0001,128,SUBTAB,399616.0,530689,0.45276025,0.57566303,0.56097,,,,,,,,,,,,,,,,
21,1024,0.0002,32,CLIP,17921.0,34369,0.3487094,0.5293463,1.0042459,2.8076493740081787,0.0069325556978583,0.006732219364494,0.0024100572336465,0.0007532063755206,0.0028449208475649,0.0066743628121912,0.0015492828097194,0.0010200021788477,0.0056708995252847,0.0733836367726326,0.0048460043035447,0.0800659358501434,0.0197637546807527,0.011349830776453,0.1556585729122162
22,1024,0.0002,32,CONTROL,,34369,,,0.80896497,,,,,,,,,,,,,,,,
23,1024,0.0002,32,GMC,819488.0,305377,0.26611713,0.5424683,0.54966706,2.381809949874878,0.0013167248107492,0.0301160477101802,0.0042766542173922,0.0023147361353039,0.0070493221282958,0.0052417935803532,0.0050896969623863,0.0002719045442063,0.0009096218273043,0.0118065793067216,0.0259592626243829,0.0109757408499717,0.0172046907246112,0.0086558796465396,0.1348117887973785
24,1024,0.0002,32,ICEH,305441.0,321889,0.31839332,0.4574152,0.6005147,1.2280879020690918,0.0220057126134634,0.0513365864753723,0.0062709567137062,0.00368307181634,0.010644543915987,0.2331198304891586,0.0098714167252182,0.0016132078599184,0.0071860263124108,0.38001349568367,0.0361777283251285,0.071867935359478,0.2288757264614105,0.0377295389771461,0.3206036686897278
25,1024,0.0002,32,MCN,21184.0,34369,0.26680735,0.5190956,1.0314478,6.829659461975098,0.0232721958309412,0.0054382123053073,0.0078469524160027,0.0104202264919877,0.0484883040189743,0.0230512786656618,0.024443507194519,0.0002389449509792,0.0025409872177988,0.0680827870965004,0.0041344771161675,0.1119430512189865,0.06225361302495,0.0464904233813285,0.2009016424417495
26,1024,0.0002,32,SCARF,35392.0,34369,0.27557006,0.55052435,0.915076,,,,,,,,,,,,,,,,
27,1024,0.0002,32,SUBTAB,26176.0,34369,0.45145223,0.5317396,0.6167685,,,,,,,,,,,,,,,,
28,1024,0.0002,64,CLIP,68609.0,134273,0.30424798,0.5246934,0.88149375,2.3798367977142334,0.0007896448951214,0.0014014665503054,0.0031971144489943,0.0007291755755431,0.0014577165711671,0.0996682271361351,0.0019332435913383,0.0003278467047493,0.001233710325323,0.0286735761910676,0.0018562875920906,0.0773161947727203,0.0187157243490219,0.0133534828200936,0.1411902755498886
29,1024,0.0002,64,CONTROL,,134273,,,0.8078405,,,,,,,,,,,,,,,,
30,1024,0.0002,64,GMC,823616.0,358721,0.2801253,0.5116915,0.5661992,2.433396100997925,0.0013275946257635,0.0285920966416597,0.0040611932054162,0.0021074353717267,0.0068667936138808,0.0055154985748231,0.0048336619511246,9.694910113466904e-05,0.0008689472451806,0.0114910751581192,0.0244426019489765,0.0104434909299016,0.0170702748000621,0.0082289213314652,0.1412253677845001
31,1024,0.0002,64,ICEH,309569.0,375233,0.35831225,0.43889946,0.5913469,4.45784854888916,0.0141032375395298,0.0454979687929153,0.005799523089081,0.0044195735827088,0.0110800769180059,0.0802900046110153,0.0061835530214011,0.0009618203621357,0.0051048337481915,0.3150768876075744,0.0390204563736915,0.410262793302536,0.0798642486333847,0.1567444950342178,0.2950790226459503
32,1024,0.0002,64,MCN,75136.0,134273,0.28297296,0.5071072,0.52790725,4.21865701675415,0.0128642721101641,0.0049382825382053,0.0066704843193292,0.0026947506703436,0.0085822930559515,0.0175159107893705,0.0150237837806344,0.0002152722008759,0.0021105618216097,0.0358247682452201,0.0029363122303038,0.0542780794203281,0.0428597629070282,0.0287828426808118,0.1744789332151413
33,1024,0.0002,64,SCARF,138368.0,134273,0.2490236,0.5438791,0.5962474,,,,,,,,,,,,,,,,
34,1024,0.0002,64,SUBTAB,101504.0,134273,0.43249497,0.5134298,0.7590472,,,,,,,,,,,,,,,,
35,1024,0.0002,128,CLIP,268289.0,530689,0.2870377,0.49885327,0.4856442,1.8835690021514893,0.001301574986428,0.0014446751447394,0.0026043250691145,0.0007351120584644,0.0021185548976063,0.0306023769080638,0.0026551508344709,9.634332673158497e-05,0.0007673412328585,0.0256161112338304,0.001902868039906,0.0730576589703559,0.018263092264533,0.0104908784851431,0.1388341337442398
36,1024,0.0002,128,CONTROL,,530689,,,0.54512596,,,,,,,,,,,,,,,,
37,1024,0.0002,128,GMC,831872.0,563713,0.26493615,0.53089833,0.551253,2.451178312301636,0.0013442924246191,0.0290520414710044,0.0041140089742839,0.0022016291040927,0.0068094655871391,0.0051571358926594,0.0048934109508991,0.0003511526447255,0.0008686346118338,0.0117329787462949,0.02482913993299,0.0104091530665755,0.0163104552775621,0.0084533998742699,0.1238748654723167
38,1024,0.0002,128,ICEH,317825.0,580225,0.33267754,0.46139005,0.50724566,1.5628674030303955,0.0118043795228004,0.0395414344966411,0.0057385466061532,0.0055211135186254,0.0089085735380649,0.1451139450073242,0.0053039891645312,0.0010822977637872,0.0126613304018974,0.3084823191165924,0.059569701552391,0.2951822578907013,0.1289402097463607,0.1336268782615661,0.2977625131607055
39,1024,0.0002,128,MCN,281344.0,530689,0.2624921,0.4914089,0.4894529,3.565103054046631,0.0061085256747901,0.0020699915476143,0.0033615007996559,0.0010180224198848,0.0071243848651647,0.0074703386053442,0.0053031211718916,0.0003331008483655,0.0009250571602024,0.0277678798884153,0.0025565915275365,0.0636666119098663,0.039095614105463,0.0616699904203414,0.1731140464544296
40,1024,0.0002,128,SCARF,547072.0,530689,0.45751107,0.5340357,0.5262304,,,,,,,,,,,,,,,,
41,1024,0.0002,128,SUBTAB,399616.0,530689,0.3865289,0.51287866,0.5786553,,,,,,,,,,,,,,,,
