,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Hour,Month,DayofWeek,Environment_Type,Altitude_m,PM_sub_2_5_sub_particulate_matter_Hourly_measured
37,4096,0.0002,128,GMC,210560.0,171137,0.07231042,0.23441806,0.14301853,0.0458167819470966,0.1303827121491586,0.1765315550181024,0.2914224477540101,1929.2509765625,109.89957427978516
38,4096,0.0002,128,ICEH,89089.0,187649,0.26874346,0.16436017,0.14400548,0.0484990615777481,0.0971125868314706,0.1562036054399877,0.3278945540711688,2590.2607421875,2838.75537109375
39,4096,0.0002,128,MCN,91904.0,138113,0.24675775,0.25925502,0.14387105,0.0480905289232535,0.1165364488976806,0.1536830010720925,0.439723725012045,1942.2042236328125,341.3028564453125
40,4096,0.0002,128,SCARF,154496.0,138113,0.08191459,0.33829117,0.14849609,,,,,,
41,4096,0.0002,128,SUBTAB,72576.0,138113,0.5646884,0.17487349,0.14697137,,,,,,
42,4096,0.0003,32,CLIP,3745.0,9953,0.12693255,0.2833236,0.15266167,0.0543726703661791,0.1366349374906203,0.1718057535245313,0.478174305275454,6974.7919921875,1210.54736328125
43,4096,0.0003,32,CONTROL,,9953,,,0.15803319,,,,,,
44,4096,0.0003,32,GMC,198176.0,66401,0.07351653,0.21484394,0.15072112,0.0437716710781355,0.1188909182342816,0.1568948104275116,0.3212568304809303,2012.22802734375,101.90585327148438
45,4096,0.0003,32,ICEH,76705.0,82913,0.3064824,0.16411677,0.14559394,0.0439890367829197,0.1230405396510552,0.1618315664412263,0.3262195121951219,2545.083740234375,266.5549621582031
46,4096,0.0003,32,MCN,16832.0,9953,0.13790162,0.39685044,0.15296285,0.0452532514602986,0.1246167956976329,0.1515578287497047,0.4772454084552948,8181.421875,674.4417114257812
47,4096,0.0003,32,SCARF,10976.0,9953,0.13603696,0.31210655,0.15729861,,,,,,
48,4096,0.0003,32,SUBTAB,5856.0,9953,0.5026796,0.17206135,0.15568435,,,,,,
49,4096,0.0003,64,CLIP,11585.0,36289,0.121406,0.23379578,0.14789349,0.0456972687822643,0.1400830559228527,0.1632164627666747,0.4721601370869572,3866.916259765625,1206.109619140625
50,4096,0.0003,64,CONTROL,,36289,,,0.14863059,,,,,,
51,4096,0.0003,64,GMC,202304.0,89025,0.07033656,0.22957075,0.15152213,0.0533531136898636,0.1367451210382785,0.1746288719863074,0.3067744623670532,2019.367919921875,120.53018188476562
52,4096,0.0003,64,ICEH,80833.0,105537,0.7961998,0.16209978,0.1465188,0.0507287327592392,0.1234149346503856,0.1663275718761123,0.3384146341463414,2582.09228515625,982.99365234375
53,4096,0.0003,64,MCN,37760.0,36289,0.29142794,0.2572861,0.14773157,0.0434082679253018,0.127261826169878,0.1523838794404942,0.4299922040805425,4928.177734375,166.8354949951172
54,4096,0.0003,64,SCARF,40384.0,36289,0.2483183,0.31771317,0.1475355,,,,,,
55,4096,0.0003,64,SUBTAB,19904.0,36289,0.81750363,0.17434803,0.14780779,,,,,,
56,4096,0.0003,128,CLIP,39553.0,138113,0.13780811,0.218553,0.14470164,0.0448074300490738,0.1408789024314057,0.1830833033264002,0.4744129047098943,3391.745849609375,1319.8427734375
57,4096,0.0003,128,CONTROL,,138113,,,0.14613551,,,,,,
58,4096,0.0003,128,GMC,210560.0,171137,0.07026238,0.22760445,0.14245252,0.0498470911534375,0.1314147169626576,0.1692515113662441,0.3245118859231366,2524.682861328125,121.76593017578124
59,4096,0.0003,128,ICEH,89089.0,187649,0.8237764,0.15926404,0.14259838,0.0500654113179411,0.121046697228963,0.1867259847066134,0.4894722596723455,2660.955078125,1962.44189453125
60,4096,0.0003,128,MCN,91904.0,138113,0.13337347,0.3746809,0.14571671,0.0453772736947788,0.1269058766504248,0.1527948841774233,0.5286115881809833,2829.456298828125,197.8674774169922
61,4096,0.0003,128,SCARF,154496.0,138113,0.10489653,0.38556802,0.14539981,,,,,,
62,4096,0.0003,128,SUBTAB,72576.0,138113,0.8258346,0.17419401,0.14733034,,,,,,
63,4096,0.0005,32,CLIP,3745.0,9953,0.1404536,0.2495691,0.15261836,0.0495239672850558,0.141686906274172,0.1680556733430265,0.4612752630057474,4132.3115234375,1066.851806640625
64,4096,0.0005,32,CONTROL,,9953,,,0.15096031,,,,,,
65,4096,0.0005,32,GMC,198176.0,66401,0.079508185,0.22313255,0.14908537,0.0436376666526061,0.1298372874237341,0.1657848176117336,0.335734042093774,2353.095458984375,124.73650360107422
66,4096,0.0005,32,ICEH,76705.0,82913,0.8524775,0.1638617,0.14506905,0.0399601154470552,0.0994881210672213,0.1608310423791206,0.3262195121951219,2088.9619140625,313.45489501953125
67,4096,0.0005,32,MCN,16832.0,9953,0.15179738,0.4107001,0.15538745,0.0548389679605652,0.1194997514226758,0.1628039901345612,0.4750418494735801,4950.04541015625,350.47607421875
68,4096,0.0005,32,SCARF,10976.0,9953,0.14788641,0.330137,0.15055874,,,,,,
69,4096,0.0005,32,SUBTAB,5856.0,9953,0.4674982,0.17558467,0.15521252,,,,,,
70,4096,0.0005,64,CLIP,11585.0,36289,0.1389831,0.2146686,0.14579782,0.0463685667995138,0.1377427991150373,0.1686431595753644,0.4665554398567849,3618.41357421875,1443.8389892578125
71,4096,0.0005,64,CONTROL,,36289,,,0.14664492,,,,,,
72,4096,0.0005,64,GMC,202304.0,89025,0.08321141,0.23135109,0.14425749,0.0462428671099334,0.1321275368140585,0.1600517304287354,0.3434179902593131,2757.47900390625,125.4111785888672
