,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
66,4096,0.0005623413251903,32,ICEH,204833.0,215170,0.36174542,0.6157355099438317,0.8394674060694066,0.0545675344765186,0.0526595674455165,0.0042706988751888,0.0373422093689441,0.0151941906660795,0.1235255524516105,0.0008976479875855,4.450116466614404e-05,0.0004698346892837,0.1354760974645614
67,4096,0.0005623413251903,32,MCN,15296.0,21538,0.33022907,0.7293460820730422,0.7988083060213091,0.0511752367019653,0.0179195329546928,0.0073870294727384,0.0337461791932582,0.0216494314372539,0.1837195754051208,0.0018531443784013,0.0028456933796405,0.0040895673446357,0.1148093938827514
68,4096,0.0005623413251903,32,SCARF,360640.0,353410,0.43720245,0.5979583391193093,0.8906987706477725,,,,,,,,,,
69,4096,0.0005623413251903,32,SUBTAB,182112.0,182178,0.21589258,0.5996036870035315,0.7334419125573728,,,,,,,,,,
70,4096,0.0005623413251903,64,CLIP,42881.0,84034,0.18931338,0.7985246530222452,0.8187330227679143,0.0276927258819341,0.0434809178113937,0.0071643907576799,0.0232843328267335,0.0096997935324907,0.0930176675319671,0.002375157084316,0.002974827773869,0.0104715907946228,0.0695757940411567
71,4096,0.0005623413251903,64,CONTROL,,84034,,,0.812747802937787,,,,,,,,,,
72,4096,0.0005623413251903,64,GMC,511744.0,221250,0.68391573,0.7145039891123421,0.835794929343409,0.022095451131463,0.0536792762577533,0.006235284730792,0.0190757699310779,0.0052378042601048,0.0819872245192527,0.0048759547062218,0.0038116355426609,0.008849199861288,0.0439158715307712
73,4096,0.0005623413251903,64,ICEH,208961.0,250114,0.4216437,0.6423549951948053,0.864818614371323,0.040894441306591,0.0364193059504032,0.0068501811474561,0.0643474981188774,0.0152407865971326,0.1678708642721176,0.0025438494049012,0.0005979011766612,0.0008489624597132,0.1599631160497665
74,4096,0.0005623413251903,64,MCN,51072.0,84034,0.30176073,0.7005281502612176,0.8189931655282443,0.0408578030765056,0.0198162104934453,0.003333855420351,0.0256211888045072,0.020363938063383,0.1719885319471358,0.0017357582692056,0.0022433539852499,0.0038768465165048,0.1281968355178833
75,4096,0.0005623413251903,64,SCARF,372992.0,360706,0.48661202,0.574722935175902,0.8974298138007534,,,,,,,,,,
76,4096,0.0005623413251903,64,SUBTAB,200640.0,200770,0.23638046,0.5890108454072016,0.7065695402234142,,,,,,,,,,
