,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,oz265,oz260,oz256,oz1,oz2,oz3,oz4,oz5,oz6,oz7,oz8,oz9,oz10,oz11,oz12,oz13,oz14,oz15,oz16,oz17,oz18,oz19,oz20,oz21,oz22,oz23,oz24,oz25,oz26,oz27,oz28,oz29,oz30,oz31,oz32,oz33,oz34,oz35,oz36,oz37,oz38,oz39,oz40,oz41,oz42,oz43,oz44,oz45,oz46,oz47,oz48,oz49,oz50,oz51,oz52,oz53,oz54,oz55,oz56,oz57,oz58,oz59,oz60,oz61,oz62,oz63,oz64,oz65,oz66,oz67,oz68,oz69,oz70,oz71,oz72,oz73,oz74,oz75,oz76,oz77,oz78,oz79,oz80,oz81,oz82,oz83,oz84,oz85,oz86,oz87,oz88,oz89,oz90,oz91,oz92,oz93,oz94,oz95,oz96,oz97,oz98,oz99,oz100,oz101,oz102,oz103,oz104,oz105,oz106,oz107,oz108,oz109,oz110,oz111,oz112,oz113,oz114,oz115,oz116,oz117,oz118,oz119,oz120,oz121,oz122,oz123,oz124,oz125,oz126,oz127,oz128,oz129,oz130,oz131,oz132,oz133,oz134,oz135,oz136,oz137,oz138,oz139,oz140,oz141,oz142,oz143,oz144,oz145,oz146,oz147,oz148,oz149,oz150,oz151,oz152,oz153,oz154,oz155,oz156,oz157,oz158,oz159,oz160,oz161,oz162,oz163,oz164,oz170,oz171,oz172,oz173,oz174,oz175,oz176,oz177,oz178,oz179,oz180,oz181,oz182,oz183,oz184,oz185,oz186,oz187,oz188,oz189,oz190,oz191,oz192,oz193,oz194,oz195,oz196,oz197,oz198,oz199,oz200,oz201,oz202,oz203,oz204,oz205,oz206,oz207,oz208,oz209,oz210,oz211,oz212,oz213,oz214,oz215,oz216,oz217,oz218,oz219,oz220,oz221,oz222,oz223,oz224,oz225,oz226,oz227,oz228,oz229,oz230,oz231,oz232,oz233,oz234,oz235,oz236,oz237,oz238,oz239,oz240,oz241,oz242,oz243,oz244,oz245,oz246,oz248,oz249,oz250,oz252,oz254,oz257,oz258,oz259,oz261,oz262,oz264
0,1024,0.0001,32,CONTROL,,543617,,,0.00087974593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1024,0.0001,32,GMC,12651296.0,4508129,0.55783284,0.00085342105,0.00076699466,1.0,1.0,0.5,0.0064793126657605,0.0047242944128811,0.0727019160985946,0.0051408600993454,0.0052378913387656,0.0052679306827485,0.0058525027707219,0.0049617737531661,0.0048305056989192,0.0153201855719089,0.0088054640218615,0.0012471624650061,0.0052250581793487,0.0052736494690179,0.005290147382766,0.0054566799663007,0.004046288318932,0.0076263253577053,0.0016396249411627,0.0012473692186176,0.0012114755809307,0.0014850216684862,0.0053374445997178,0.0205697752535343,0.0019542139489203,0.0048970249481499,0.0044773956760764,0.0050706234760582,0.0011910026660189,0.0017638354329392,0.0064178523607552,0.0009177150204777,0.0049316878430545,0.0021012977231293,0.0019022793276235,0.0041717137210071,0.0023489515297114,0.025268780067563,0.0020716907456517,0.0019390683155506,0.0009749118471518,0.0011966368183493,0.0019078780896961,0.0097359912469983,0.0022519452031701,0.0021955044940114,0.009041329845786,0.0102716237306594,0.0041495752520859,0.0278540439903736,0.0193108338862657,0.0050411392003297,0.0477077066898345,0.0052719796076416,0.0050911721773445,0.0054523386061191,0.004818252287805,0.0048327976837754,0.0050367168150842,0.0107168536633253,0.0046834838576614,0.0043908944353461,0.0032257793936878,0.0034727703314274,0.0053723100572824,0.0052581937052309,0.0058245440013706,0.0037397637497633,0.0037400384899228,0.0033041581045836,0.0033052039798349,0.0096845654770731,0.0134681444615125,0.0038716285489499,0.0087420223280787,0.0062039541080594,0.0049870233051478,0.0052260225638747,0.0051060579717159,0.0055604348890483,0.0045788567513227,0.0053276903927326,0.0048565473407506,0.0052964063361287,0.0050848857499659,0.0046947486698627,0.0044040321372449,0.005557800643146,0.0056906123645603,0.0068215359933674,0.005254880990833,0.0126587990671396,0.0087929731234908,0.0070543931797146,0.0115010980516672,0.0136000150814652,0.023545641452074,0.0040463195182383,0.0039415750652551,0.0054849670268595,0.0053608142770826,0.0034844896290451,0.0045035434886813,0.0014740334590896,0.0038767147343605,0.0043880064040422,0.0273636393249034,0.0062556257471442,0.006257667671889,0.0041649006307125,0.0058398470282554,0.0045801848173141,0.003210800467059,0.0012620885390788,0.0306101813912391,0.0044254134409129,0.0068069025874137,0.0027976732235401,0.0029354223515838,0.0031328275799751,0.0110742077231407,0.005326809361577,0.0743610709905624,0.0047566331923007,0.0051244180649518,0.0054649324156343,0.0055055343545973,0.0388879403471946,0.0042538614943623,0.0250988714396953,0.0122295441105961,0.0220148041844367,0.0122978752478957,0.0046521457843482,0.0337882190942764,0.014167321845889,0.0282005984336137,0.0066805453971028,0.0046967817470431,0.0429414175450801,0.017417199909687,0.0557419396936893,0.0060416543856263,0.0046685617417097,0.1199782937765121,0.0280289016664028,0.0355187840759754,0.0059777828864753,0.004885695874691,0.0825401470065116,0.0361449383199214,0.0707916393876075,0.0054853684268891,0.0060402280651032,0.0035798198077827,0.0036083818413317,0.0034524658694863,0.003696298925206,0.0032687771599739,0.0077029089443385,0.0074989357963204,0.0077526131644845,0.0059348116628825,0.0045588416978716,0.0058391145430505,0.0030872568022459,7.127707795007154e-05,0.0002684132196009,0.0055089690722525,0.0031276999507099,0.005014051683247,0.0047072269953787,0.0052553862333297,0.0033994584809988,0.005115395411849,0.0051484601572155,0.0051102782599627,0.0034594775643199,0.0051868883892893,0.0052348924800753,0.0054426505230367,0.003134217346087,0.004951715003699,0.0052162720821797,0.0052363169379532,0.003323346376419,0.0051702596247196,0.0049093328416347,0.0052190711721777,0.0034172323066741,0.0052038896828889,0.0050810636021196,0.0051310863345861,0.0052654943428933,0.0045106187462806,0.0042136670090258,0.0037582940421998,0.0030959760770201,0.0023321772459894,0.0019514204468578,0.0013893551658838,0.0040170270949602,0.0039275847375392,0.0039949095807969,0.0040434808470308,0.003447979921475,0.003102503484115,0.0030377868097275,0.0022513365838676,0.0141571070998907,0.0338608026504516,0.0630534887313842,0.0612517818808555,0.0053392904810607,0.0053093214519321,0.0351292453706264,0.0560666397213935,0.0044961250387132,0.0009766098810359,0.015368029475212,0.041058275848627,0.0052191112190485,0.0033835982903838,0.0388127975165843,0.0216325856745243,0.0367863476276397,0.0052347867749631,0.0117218280211091,0.0083275800570845,0.0124506633728742,0.0341077074408531,0.049975823611021,0.0474735610187053,0.0081464545801281,0.0069822953082621,0.0024474870879203,0.0145518342033028,0.0323464907705783,0.0042795208282768,0.0700661614537239,0.0118545023724436,0.0453776903450489,0.0269724931567907,0.0073008020408451,0.0,0.0050358464941382,0.0512794330716133,0.0034973945003002,4.7255166464310605e-06,0.0072252103127539,0.0208450462669134,0.0043165893293917
2,1024,0.0001,32,ICEH,4263457.0,4524641,0.7465137,0.00083522854,0.00076808274,1.0,1.0,0.3507882882882883,0.0103533025830984,0.0032054872717708,0.1633071303367614,0.0006664334796369,0.0212132167071104,0.0019472670974209,0.0110383611172437,0.0300853140652179,0.0004230739141348,0.0775558650493621,0.0704440101981163,0.0192524679005146,0.0005058114184066,0.0256712604314088,0.0034064764622598,0.0008246033103205,0.0005792895681224,0.0302087720483541,0.000226437128731,0.0003625181561801,0.0002172991516999,0.000421126402216,0.0002317966136615,0.027910191565752,0.0005369209684431,0.0211243387311697,0.0004621764819603,0.0003961744369007,0.0002938352699857,0.0027808703016489,0.0983061641454696,0.0007089141290634,0.0003547171072568,0.0006234862958081,0.0037341241259127,0.0433860123157501,0.0015645095845684,0.0214715376496315,0.0002920785918831,0.0014051942853257,0.0003161723143421,0.0003214815515093,0.0004393850686028,0.2446356415748596,0.006534029264003,0.0054597551934421,0.0271965898573398,0.0264812558889389,0.0189008302986621,0.1713811606168747,0.0599267929792404,0.0548197068274021,0.4510113596916199,0.000423105811933,0.0002873264311347,0.0005547071923501,0.0015676181064918,0.0047013880684971,0.0104211084544658,0.0622826367616653,0.0410975031554698,0.0273671615868806,0.0551864318549633,0.0406086593866348,0.0455121882259845,0.0013693604851141,0.0054545933380723,0.0302848648279905,0.035793449729681,0.0402589961886405,0.0205940920859575,0.0131905218586325,0.0732711255550384,0.0536501333117485,0.0091095948591828,0.0042059374973177,0.0233139880001544,0.000828870513942,0.0006154101574793,0.003171959426254,0.0041663120500743,0.009698393754661,0.0099096875637769,0.0006671138107776,0.0007588317384943,0.0005844343104399,0.0017644230974838,0.0039024460129439,0.0786240324378013,0.162864550948143,0.0700020343065261,0.0728389769792556,0.0206020101904869,0.0230232682079076,0.0885300040245056,0.0770507976412773,0.0356957130134105,0.0006731519824825,0.0009074062108993,0.040452241897583,0.0591361671686172,0.0009365191799588,0.0008293355349451,0.0001271395885851,0.0006947148358449,0.0779439732432365,0.3016842901706695,0.0539191104471683,0.0292773861438035,0.0002385473053436,0.0164656434208154,0.0002140855067409,0.0003095750580541,0.0001308913924731,0.1212973892688751,0.0063496232032775,0.0387359373271465,0.0003067158395424,0.0783151909708976,0.0122334640473127,0.0171045046299695,0.0390677526593208,0.19975146651268,0.0029745833016932,0.0377707853913307,0.0408998727798461,0.0411752574145793,0.1114458590745925,0.0029548779129981,0.1019029170274734,0.0813736766576767,0.0892403051257133,0.0403222851455211,0.0044585731811821,0.0901661440730094,0.0824528858065605,0.0708853378891944,0.0268683936446905,0.0038101112004369,0.0782200694084167,0.0982961654663086,0.086956650018692,0.0314392000436782,0.0050085373222827,0.1128726527094841,0.0869377925992012,0.0809289962053299,0.0275688432157039,0.004334875382483,0.1150633543729782,0.0837554857134819,0.0738738104701042,0.0242989137768745,0.0548305623233318,0.0009155356674455,0.0009752153418958,0.0011168303899466,0.0006924901972524,0.0016685550799593,0.0553758926689624,0.0567948333919048,0.0467900298535823,0.0551170408725738,0.0539817027747631,0.0103870388120412,0.000922035833355,3.456210470176302e-05,0.0003993202699348,0.0002207808865932,0.000232780832448,0.0004442197678145,0.0006629510316997,0.0002145315374946,0.0003264305414631,0.0007469971315003,0.0006495215347968,0.0003499090380501,0.0002790576254483,0.0004390489484649,0.0006444035680033,0.0003942570474464,0.0002448311715852,0.0004327286442276,0.0008867805008776,0.0002980486315209,0.0001984639384318,0.0003672897000797,0.0006836043903604,0.0001652190840104,0.0002936617238447,0.000628272711765,0.0010028925025835,0.0014321929775178,0.0081561179831624,0.0187302455306053,0.0166276339441537,0.0082448562607169,0.0327018462121486,0.0230344552546739,0.021983478218317,0.0130041502416133,0.0230821929872035,0.0427803620696067,0.0482346527278423,0.0808841958642005,0.0224722977727651,0.0227821059525012,0.0572539791464805,0.0634742602705955,0.0128225060179829,0.1562975198030471,0.2409669458866119,0.1484890580177307,0.0003774625365622,0.0004539405636023,0.0788710862398147,0.099136509001255,0.0424091219902038,0.0071534682065248,0.1018798798322677,0.0388584807515144,0.0517511181533336,0.0690838992595672,0.1543275713920593,0.0629163458943367,0.0351361781358718,0.0869571939110755,0.0438961125910282,0.008963530883193,0.022899966686964,0.099749207496643,0.1994269788265228,0.1244663372635841,0.0234447214752435,0.0139517085626721,0.003888257779181,0.0136432172730565,0.1497875452041626,0.0075872847810387,0.2809205949306488,0.012640262953937,0.2725895941257477,0.0575850903987884,0.0095062470063567,0.0,0.0060836211778223,0.1053803861141204,0.104699470102787,0.0028589374851435,0.0115301609039306,0.0430430769920349,0.0054856571368873
3,1024,0.0001,32,SCARF,544640.0,543617,0.48746857,0.0008622342,0.00076899846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1024,0.0001,32,SUBTAB,396160.0,543617,0.3909398,0.00083362975,0.0010024633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1024,0.0001,64,CONTROL,,2125569,,,0.0007695092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1024,0.0001,64,GMC,12655424.0,5295681,0.5412428,0.00084205595,0.0011825695,1.0,1.0,0.5,0.0065145106054842,0.0052287140861153,0.0746283829212188,0.0057748476974666,0.0052385642193257,0.0061420644633471,0.0063263811171054,0.0056307357735931,0.0053621437400579,0.0126835508272051,0.0083031896501779,0.0034168525598943,0.0060281967744231,0.0058933622203767,0.0060130474157631,0.0051207989454269,0.0033844448626041,0.0078326119109988,0.0016659825341776,0.0009211428696289,0.0010218654060736,0.0011801391374319,0.0065346360206604,0.0146157573908567,0.0012092721881344,0.0050631663762032,0.004415163770318,0.0055389888584613,0.0009165013907477,0.0014210195513442,0.0064695188775658,0.0045049055479466,0.0053654797375202,0.001484973123297,0.0030957616399973,0.0042663817293941,0.0010714611271396,0.0260759238153696,0.0009498920408077,0.0009891573572531,0.0008855167543515,0.0010446328669786,0.0008733837166801,0.0099468613043427,0.0025334150996059,0.0022507265675812,0.0091442205011844,0.0109086399897933,0.0043680681847035,0.0297336634248495,0.0196326039731502,0.0049950815737247,0.025968188419938,0.0059411898255348,0.0059260888956487,0.0055725802667438,0.0054342234507203,0.0056052086874842,0.0055760745890438,0.0103476513177156,0.0040366281755268,0.0038942138198763,0.0041765044443309,0.0077054481953382,0.0070658810436725,0.0063821389339864,0.0061785173602402,0.003718951717019,0.0032722074538469,0.0030313066672533,0.0028212738689035,0.0074068331159651,0.0145689351484179,0.0151242967694997,0.0075093023478984,0.0042083500884473,0.0233191158622503,0.005663207732141,0.0058434563688933,0.0063746478408575,0.0051121320575475,0.0061546880751848,0.0053297863341867,0.0062653077766299,0.0058983624912798,0.0046235062181949,0.0049033085815608,0.0045909499749541,0.0056551620364189,0.0078625502064824,0.0053232125937938,0.0128871127963066,0.0164253804832696,0.0085282931104302,0.0114068500697612,0.0127657931298017,0.0218804478645324,0.0029234844259917,0.003158576786518,0.0057692914269864,0.0049933022819459,0.0032762424089014,0.0037671758327633,0.0008148761116899,0.0027407223824411,0.0055963303893804,0.0269026570022106,0.0066667175851762,0.0068214465864002,0.0052092224359512,0.0065433513373136,0.0051071965135633,0.0026574789080768,0.0009555697324685,0.035687830299139,0.0052875559777021,0.007438616361469,0.003378831082955,0.0025496601592749,0.0030892777722328,0.0106929615139961,0.0054153194651007,0.0659990310668945,0.0047185337170958,0.0047515407204627,0.0059761414304375,0.0053290743380784,0.032415822148323,0.0049477512948215,0.019938837736845,0.0116283884271979,0.0195501316338777,0.0115526532754302,0.0045482320711016,0.0295648947358131,0.012264123186469,0.0254421010613441,0.0072097457014024,0.0050369524396955,0.0503339618444442,0.0169947538524866,0.0395022518932819,0.0067630624398589,0.0052302172407507,0.0849885866045951,0.0223432146012783,0.0291976630687713,0.006340563762933,0.0048931390047073,0.0509875379502773,0.0299198161810636,0.0722916722297668,0.0053079831413924,0.0065828403457999,0.0026847412809729,0.0026376128662377,0.0018116818973794,0.0023002342786639,0.0020050907041877,0.0077700586989521,0.007372380234301,0.0046786274760961,0.0062872455455362,0.0041183079592883,0.0067584472708404,0.0038813673891127,7.371371611952782e-05,0.0003639362403191,0.0059545319527387,0.0037160655483603,0.0044585606083273,0.0060117323882877,0.0063726948574185,0.0039972490631043,0.0051402412354946,0.0062327892519533,0.0061791301704943,0.0041928230784833,0.0050569321028888,0.0065779197029769,0.0060746190138161,0.0038690764922648,0.0053438525646924,0.0062286225147545,0.0061509758234024,0.0037858278956264,0.0048962654545903,0.0060540125705301,0.0065472777932882,0.0036027373280376,0.0046187252737581,0.0063891061581671,0.0059867645613849,0.0060921381227672,0.0047615864314138,0.0039131725206971,0.0032006681431084,0.0027803308330476,0.0017740082694217,0.0016972727607935,0.0024240724742412,0.0042622061446309,0.0042849057354032,0.0039071193896234,0.0035255495458841,0.003186423331499,0.0030484541784971,0.0024080539587885,0.0024023475125432,0.0158211942762136,0.0461229234933853,0.0443023853003978,0.0211328528821468,0.006021823734045,0.00618985760957,0.0331657156348228,0.0368002094328403,0.0059703211300075,0.0010307973716408,0.0383055992424488,0.0229047313332557,0.0050493706949055,0.0035875961184501,0.0188827086240053,0.0239544510841369,0.0055590909905731,0.0049712886102497,0.0145213734358549,0.0076169180683791,0.0172337424010038,0.0349988937377929,0.0291409939527511,0.0065680430270731,0.0084396051242947,0.0078119761310517,0.0025403806939721,0.0120484884828329,0.0185686219483613,0.0050250133499503,0.0032926062121987,0.0174569580703973,0.0533442385494709,0.0151608446612954,0.0066583771258592,0.0,0.0051809740252792,0.0522549077868461,0.0319843217730522,0.0018287748098373,0.0088536972180008,0.0089820204302668,0.0007701837457716
7,1024,0.0001,64,ICEH,4267585.0,5312193,0.7012382,0.00083940744,0.00075507554,1.0,1.0,0.7319819819819819,0.024618811905384,0.0127278193831443,0.1373908221721649,0.0004701172292698,0.0244964621961116,0.0020546459127217,0.0270946789532899,0.059547271579504,0.0005019432865083,0.0681519955396652,0.0617247745394706,0.0313151143491268,0.0004464888188522,0.0759661719202995,0.0036083066370338,0.000285783666186,0.0007318754214793,0.0301459953188896,0.000517776235938,0.0004727795021608,0.0024870596826076,0.008461819961667,0.0003281696990597,0.0482735633850097,0.0007204801077023,0.0240768659859895,0.0004552844911813,0.0003140197950415,0.0044056284241378,0.0023867636919021,0.119530588388443,0.0126070920377969,0.000412872293964,0.0039238636381924,0.0368652082979679,0.0549976676702499,0.0134074529632925,0.0223789159208536,0.0050022201612591,0.005056747701019,0.0075339917093515,0.0090183205902576,0.0076981335878372,0.0558854341506958,0.0089531177654862,0.0090157315135002,0.0446790307760238,0.0689094588160514,0.0449409261345863,0.0830461159348487,0.0915561467409133,0.0763465836644172,0.1673752814531326,0.0003521237231325,0.0003933151310775,0.0006114541902206,0.0017502640839666,0.0074121779762208,0.0079421047121286,0.0864540413022041,0.0285961050540208,0.0295239873230457,0.0635164454579353,0.0466501675546169,0.0573168732225894,0.0016731317155063,0.0049266149289906,0.033849723637104,0.0329070650041103,0.045200627297163,0.0359527133405208,0.0158298518508672,0.0875277817249298,0.0568899475038051,0.0103857209905982,0.0047975871711969,0.0236916597932577,0.0007374648703262,0.0004219055408611,0.0031318438705056,0.0042436397634446,0.010142927058041,0.0110534019768238,0.0006868413765914,0.0008790616411715,0.0006119096069596,0.0015935418196022,0.0116212358698248,0.0668004602193832,0.1539976000785827,0.1108211502432823,0.0847902074456214,0.024315295740962,0.0237776488065719,0.0977667719125747,0.1000996679067611,0.0848457515239715,0.0007677105022594,0.001121851382777,0.0366604477167129,0.0562190078198909,0.0011046205181628,0.0009182118810713,0.0001416577288182,0.0008524162694811,0.0973036140203476,0.2684974670410156,0.043823380023241,0.0276534352451562,0.0001927646371768,0.034403882920742,0.0001260867720702,0.0005058700917288,0.0050098989158868,0.2979394197463989,0.0064427913166582,0.0317032262682914,0.0001302251621382,0.0537658967077732,0.0152428932487964,0.0225323550403118,0.0826057121157646,0.1347641497850418,0.0030344079714268,0.034291747957468,0.0367247983813285,0.0303060095757246,0.1234144419431686,0.0025374677497893,0.0636842623353004,0.0664140284061431,0.0780888199806213,0.054099153727293,0.0272239949554204,0.1063289269804954,0.1030677855014801,0.1047444269061088,0.0365663282573223,0.0060100825503468,0.1261581033468246,0.1290788352489471,0.1230713129043579,0.0333644039928913,0.0119434399530291,0.1252873092889785,0.1092249527573585,0.1265416741371154,0.0366304814815521,0.0052713514305651,0.1264215260744094,0.0972018837928772,0.1190119460225105,0.0285138431936502,0.0741092935204505,0.0009465760085731,0.0008227528305724,0.0026123542338609,0.0015840638661757,0.0081385001540184,0.0636149272322654,0.0653837919235229,0.0572652295231819,0.0656228363513946,0.0636661946773529,0.0105833522975444,0.0010712763760238,7.7629360021092e-05,0.0001922315714182,0.0001518565986771,0.0001808476372389,0.0005065597360953,0.0006072807009331,9.610415872884914e-05,0.0002640801831148,0.0004047830589115,0.000647512031719,9.509558731224388e-05,0.0001757481222739,0.0005740397027693,0.0006217048503458,0.0001491701987106,0.00020419426437,0.0006740476237609,0.0010755532421171,0.0002752972359303,0.0002006174036068,0.000455156143289,0.000632366456557,0.0001153807388618,0.0002097372198477,0.0006538935704156,0.0011173882521688,0.0015462138690054,0.0083041517063975,0.0204426106065511,0.0257037561386823,0.0322983674705028,0.0373177714645862,0.0411336794495582,0.0337548479437828,0.0359840169548988,0.0343948565423488,0.0579985603690147,0.0660301819443702,0.0443176180124282,0.0382652655243873,0.0730269402265548,0.0187632292509078,0.0707558169960975,0.0126971472054719,0.1763408035039901,0.2922110557556152,0.1766047477722168,0.0002442012773826,0.0003008084313478,0.0621582902967929,0.122818037867546,0.048908207565546,0.0256070122122764,0.1965758353471756,0.0475414358079433,0.0537299662828445,0.1229167655110359,0.3609258234500885,0.0607543773949146,0.0471637845039367,0.1298242658376693,0.0486458353698253,0.0110806999728083,0.0167273003607988,0.1181070581078529,0.1386982202529907,0.0907027572393417,0.034497495740652,0.0134659353643655,0.0039709736593067,0.0142188044264912,0.1504396498203277,0.0066907601431012,0.2536126673221588,0.0154461665078997,0.3181064426898956,0.0555727258324623,0.0066743064671754,0.0,0.0065875868313014,0.1078273728489875,0.095776230096817,0.002915643621236,0.0105804447084665,0.0393101759254932,0.0059152138419449
8,1024,0.0001,64,SCARF,2129664.0,2125569,0.4020464,0.00085107936,0.00076391577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1024,0.0001,64,SUBTAB,1535744.0,2125569,0.30645433,0.00084600755,0.0007625123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
