,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,P1stFixation,P2stFixation,nextWordRegress,lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo
0,1024,0.0001,32,CLIP,22593.0,46242,0.5061644,0.5661915093557393,0.5257317376523589,0.4966666666666666,0.5417919799498747,0.5,40716712.0,34315.63671875,24513.24609375,244011.015625,40912.03125,215167.25,1488154.875,609945.9375,124832.6015625,1180661.25,13137.384765625,434641.5625,242361.359375,7134603.0,443711.90625,0.1202985793352127,0.518769383430481,0.0774471163749694,24.79237937927246,8.877792358398438
1,1024,0.0001,32,CONTROL,,46242,,,0.5146451176031619,,,,,,,,,,,,,,,,,,,,,,,
2,1024,0.0001,32,GMC,1069856.0,380418,0.8910328,0.5469583483043586,0.5424566761559935,0.5,0.5049167035235147,0.5,30526668.0,18884.1328125,15032.912109375,74052.265625,270105.21875,52564.2578125,145022.796875,114020.7421875,56842.35546875,8967.2119140625,9682.7353515625,59829.140625,63023.45703125,2966928.0,451050.125,0.1154051795601844,0.1854004561901092,0.0006255555199459,8.613666534423828,4.069645404815674
3,1024,0.0001,32,ICEH,373281.0,396930,0.7697582,0.5611923385202178,0.5252860617451148,0.6311893071467539,0.5,0.5678432137285492,38778444.0,2917.47705078125,24527.4375,48878.4765625,504812.15625,213356.828125,490695.21875,1125229.875,55543.6171875,1179234.375,300944.8125,1343340.375,49726.05859375,2944794.0,48681752.0,1.6596461534500122,2.3626692295074463,0.0038989959284663,21.717477798461918,3.697766065597534
4,1024,0.0001,32,MCN,25856.0,46242,0.5470877,0.5827367955556784,0.5470309001962356,0.5381069285324604,0.510235146690255,0.5127665106604264,33600480.0,36570.21875,30289.85546875,26514.07421875,40912.03125,29150.060546875,83886.875,94560.2734375,76825.2578125,12992.4716796875,13080.45703125,42876.33984375,26877.35546875,2957630.5,451330.8125,0.2550185024738312,0.4541685581207275,0.0018476009136065,21.710906982421875,7.069645404815674
5,1024,0.0001,32,SCARF,47232.0,46242,0.88826275,0.5420628230286615,0.5591988889195987,,,,,,,,,,,,,,,,,,,,,,,
6,1024,0.0001,32,SUBTAB,31872.0,46242,0.5284629,0.5673247008098173,0.5106098504740056,,,,,,,,,,,,,,,,,,,,,,,
7,1024,0.0001,64,CLIP,86145.0,180546,0.6703324,0.5870691799563307,0.5320126585777065,0.596442989634479,0.5470330237358101,0.5,40671616.0,38247.87890625,60165.85546875,72760.71875,40912.03125,77925.109375,1496317.0,1414640.875,78041.4375,820288.0,13379.357421875,170204.046875,237912.21875,65588392.0,58172044.0,1.596954107284546,0.2123518884181976,0.0685712173581123,21.989486694335938,13.22733211517334
8,1024,0.0001,64,CONTROL,,180546,,,0.5201556065338161,,,,,,,,,,,,,,,,,,,,,,,
9,1024,0.0001,64,GMC,1073984.0,455298,0.91680795,0.5630959619689893,0.5175091899063045,0.5,0.5017543859649123,0.5,33671032.0,15768.7138671875,8943.3662109375,24727.75,86129.984375,27692.583984375,60695.5859375,58847.13671875,51417.16796875,8941.2958984375,8472.9365234375,231648.65625,58088.65234375,2966928.0,451050.125,0.1124241277575492,0.1788284033536911,0.0009721625829115,9.72141933441162,4.069645404815674
10,1024,0.0001,64,ICEH,377409.0,471810,0.3639278,0.5501955446228683,0.5102436361626268,0.5,0.6282434026242076,0.5012935517420697,38585732.0,3891.26416015625,109955.7109375,123594.5546875,853532.0625,220582.265625,1311766.75,1040548.25,528692.625,1180661.25,1246534.125,1340569.125,141088.484375,601159936.0,85707856.0,7.836334705352783,2.3626692295074463,0.0193668045103549,30.896188735961918,39.20630645751953
11,1024,0.0001,64,MCN,92672.0,180546,0.5397429,0.5699020203974462,0.5647093778502529,0.4993016912165848,0.4975305911838419,0.5033866354654186,36982920.0,35281.015625,123192.5703125,13102.037109375,40912.03125,33225.125,81274.671875,91083.3984375,75142.015625,13177.6005859375,12800.2138671875,46626.23046875,16110.11328125,2953635.5,450632.1875,0.1849299818277359,0.1901113241910934,0.0014212977839633,18.720104217529297,6.492772579193115
12,1024,0.0001,64,SCARF,184576.0,180546,0.87833863,0.5259113899560544,0.4820313147784749,,,,,,,,,,,,,,,,,,,,,,,
13,1024,0.0001,64,SUBTAB,123136.0,180546,0.51936096,0.5907796909980376,0.5235309969320914,,,,,,,,,,,,,,,,,,,,,,,
14,1024,0.0001,128,CLIP,336129.0,713346,0.5347187,0.5807295265470828,0.5267025510627125,0.640911074740862,0.5474015922158337,0.6475104004160166,39801496.0,38696.9609375,27038.0234375,50329.0625,761481.25,212130.015625,1488901.25,126554.9453125,557121.1875,541391.25,853722.3125,1272993.25,244063.46875,268326128.0,443632.9375,0.668056070804596,0.1263317465782165,0.0193952601402997,20.33114242553711,12.248357772827148
15,1024,0.0001,128,CONTROL,,713346,,,0.5186458362123767,,,,,,,,,,,,,,,,,,,,,,,
16,1024,0.0001,128,GMC,1082240.0,746370,0.91456103,0.5605186423813604,0.5216791962632321,0.5,0.5,0.5,35833116.0,15300.3349609375,11156.060546875,9979.2958984375,21748.84375,22721.94921875,79590.0,70459.265625,53609.19921875,8984.47265625,8389.189453125,165743.796875,19712.9609375,2966928.0,451330.8125,0.1147993355989456,0.1847172826528549,0.0007051724242046,11.285151481628418,4.069645404815674
