,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Month,DayofMonth,CRSDepTime,CRSArrTime,Distance
0,4096,0.0001,32,CLIP,4737.0,9921,0.2218842,0.0186888817697763,0.0169657990336418,0.0770478036779712,0.0464591646092305,0.0256465356796979,0.0137609969824552,0.1177638992667197
1,4096,0.0001,32,CONTROL,,9921,,,0.016967300325632,,,,,
2,4096,0.0001,32,GMC,198848.0,66177,0.15922964,0.0187535546720027,0.0169807039201259,0.0936947796694967,0.038626359358755,0.0127057824283838,0.018432080745697,0.0240739677101373
3,4096,0.0001,32,ICEH,92961.0,98145,0.35999393,0.0187380015850067,0.0169420354068279,0.0833334792485079,0.0373826505178695,0.0163558311760425,0.0130943330004811,0.1558246463537216
4,4096,0.0001,32,MCN,8832.0,9921,0.14696066,0.0187524799257516,0.0169481206685304,0.0860119804234999,0.0456406002900815,0.0252569075673818,0.0172103662043809,0.07612706720829
5,4096,0.0001,32,SCARF,166848.0,159585,0.55310124,0.0186704825609922,0.0169622711837291,,,,,
6,4096,0.0001,32,SUBTAB,62048.0,62081,0.13285284,0.0188500247895717,0.0171574894338846,,,,,
7,4096,0.0001,64,CLIP,15617.0,36225,0.20172526,0.0187031477689742,0.016952808946371,0.0858912412652948,0.0456979866837309,0.0112034603953361,0.0146473310887813,0.1413961499929428
8,4096,0.0001,64,CONTROL,,36225,,,0.0169779043644666,,,,,
9,4096,0.0001,64,GMC,206080.0,88833,0.18771435,0.0186660382896661,0.0169571954756975,0.0820972999272525,0.0383027274417284,0.0127169145271181,0.0144649492576718,0.0235537383705377
10,4096,0.0001,64,ICEH,97089.0,117697,0.4757364,0.0187527630478143,0.0169299729168414,0.0878005666099795,0.0440667430818371,0.0234635137021541,0.0125689795240759,0.034181535243988
11,4096,0.0001,64,MCN,23808.0,36225,0.13505852,0.0186017267405986,0.0169479306787252,0.1064248732086372,0.0452709220790289,0.0163960997015237,0.0180038567632436,0.2196378856897353
12,4096,0.0001,64,SCARF,179200.0,166849,0.5672444,0.0187668148428201,0.0169829074293374,,,,,
13,4096,0.0001,64,SUBTAB,72384.0,72449,0.12587066,0.0188633557409048,0.0170904770493507,,,,,
14,4096,0.0001,128,CLIP,55809.0,137985,0.24473758,0.0187462605535983,0.0170033797621726,0.0878201108784534,0.0451540804882969,0.0127446008846163,0.0176899246871471,0.2336191534996032
15,4096,0.0001,128,CONTROL,,137985,,,0.0169920679181814,,,,,
16,4096,0.0001,128,GMC,226688.0,171009,0.26714292,0.0188038665801286,0.0169532261788845,0.0924285156955275,0.0318247646998208,0.0106428274884819,0.0130435461178421,0.021948417648673
17,4096,0.0001,128,ICEH,105345.0,187521,0.7423064,0.0186710432171821,0.0169149786233901,0.0899390269290348,0.0458010349130561,0.0181175861507654,0.010326231829822,0.0386541374027728
18,4096,0.0001,128,MCN,72192.0,137985,0.14388946,0.0187256783246993,0.0170221719890832,0.0949732403493057,0.0445718747739678,0.0117865167558193,0.0163149796426296,0.0753559321165084
19,4096,0.0001,128,SCARF,203904.0,187521,0.479487,0.0187551658600568,0.0169758927077054,,,,,
20,4096,0.0001,128,SUBTAB,105344.0,105473,0.22074637,0.0187898930162191,0.0171744562685489,,,,,
21,4096,0.0001778279410038,32,CLIP,4737.0,9921,0.21316762,0.0186063293367624,0.0169557146728038,0.0941689011329078,0.0472249264690279,0.0181997865438461,0.0653368979692459,0.3356318175792694
22,4096,0.0001778279410038,32,CONTROL,,9921,,,0.0169864762574434,,,,,
23,4096,0.0001778279410038,32,GMC,198848.0,66177,0.4650122,0.0189472027122974,0.0169693827629089,0.0818742472085082,0.0343565892717979,0.0123102301731705,0.0143976574763655,0.0278292205184697
24,4096,0.0001778279410038,32,ICEH,92961.0,98145,0.41253477,0.0187317039817571,0.0169434268027543,0.081893747036389,0.0469028420128255,0.0185587164014577,0.0185487121343612,0.0096275173127651
25,4096,0.0001778279410038,32,MCN,8832.0,9921,0.14535195,0.0186895988881587,0.0169639568775892,0.0942110793211911,0.0461322299005442,0.0265392269939184,0.0185394287109374,0.1803884506225585
26,4096,0.0001778279410038,32,SCARF,166848.0,159585,0.6140192,0.0187058430165052,0.01698331348598,,,,,
27,4096,0.0001778279410038,32,SUBTAB,62048.0,62081,0.13340248,0.0187991838902235,0.0171863082796335,,,,,
28,4096,0.0001778279410038,64,CLIP,15617.0,36225,0.19523124,0.018790578469634,0.0169574003666639,0.0823791883737313,0.0424422135837907,0.0127542670816183,0.0106793148443102,0.1846040338277816
29,4096,0.0001778279410038,64,CONTROL,,36225,,,0.0169643573462962,,,,,
30,4096,0.0001778279410038,64,GMC,206080.0,88833,0.21389315,0.0186884980648756,0.0169537030160426,0.0856840449383826,0.0269876100458938,0.0113908760249614,0.0157656967639922,0.0224699005484581
31,4096,0.0001778279410038,64,ICEH,97089.0,117697,0.65568924,0.0187623351812362,0.0169245135039091,0.087183725624102,0.034929486646199,0.0165597703307867,0.0141776381060481,0.0163921695202588
32,4096,0.0001778279410038,64,MCN,23808.0,36225,0.18282244,0.0186192207038402,0.0169711988419294,0.1007635103339967,0.0446665656329058,0.0162720773369073,0.0205694176256656,0.2290169149637222
33,4096,0.0001778279410038,64,SCARF,179200.0,166849,0.5200538,0.018654927611351,0.0169617887586355,,,,,
34,4096,0.0001778279410038,64,SUBTAB,72384.0,72449,0.116081595,0.018920637667179,0.017158793285489,,,,,
