,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude
160,1024,0.003,64,SUBTAB,50816.0,67201,0.6129019,0.08170561,0.1130452,,,,,,,,
161,1024,0.003,128,CLIP,134145.0,265473,0.50947374,0.1071972,0.121519,6.035983085632324,159.75,0.0122580165043473,0.0027282806113362,0.0091783441603183,0.0009006120380945,7.616456985473633,4.8990888595581055
162,1024,0.003,128,CONTROL,,265473,,,0.15191133,,,,,,,,
163,1024,0.003,128,GMC,432512.0,298497,0.55593145,0.24628042,0.16574436,3.461434841156006,211.875,0.0245092194527387,0.045607253909111,0.0721867531538009,0.0371663086116313,8.306782722473145,3.76222825050354
164,1024,0.003,128,ICEH,183681.0,315009,0.4702176,0.22095026,0.12340717,9.228710174560549,248.5625,0.1794368028640747,0.1605342179536819,0.0658880174160003,0.0624422244727611,22.316797256469727,4.410349845886231
165,1024,0.003,128,MCN,147200.0,265473,0.37504932,0.124380365,0.120522566,5.158336639404297,162.0625,0.1769175827503204,0.0531009137630462,0.0467967167496681,0.1419078558683395,6.652033805847168,4.410349845886231
166,1024,0.003,128,SCARF,281856.0,265473,0.6543202,0.3363331,0.15574753,,,,,,,,
167,1024,0.003,128,SUBTAB,199936.0,265473,0.4499433,0.097686306,0.12366005,,,,,,,,
168,1024,0.005,32,CLIP,8961.0,17217,0.56433,0.093483135,0.10874595,6.016419887542725,214.9375,0.0115316193550825,0.0044997683726251,0.0110348835587501,0.0020309532992541,11.656503677368164,4.278552532196045
169,1024,0.005,32,CONTROL,,17217,,,0.12446366,,,,,,,,
170,1024,0.005,32,GMC,420128.0,163041,0.5756907,0.27359316,0.13244759,3.461434841156006,295.3125,0.0427693724632263,0.0497233271598815,0.0697432681918144,0.0542596094310283,22.54309463500977,5.837484359741211
171,1024,0.005,32,ICEH,171297.0,179553,0.58214736,0.24359453,0.12929574,4.994947910308838,300.125,0.1448703557252884,0.1240594461560249,0.158795952796936,0.0688873901963234,18.15367889404297,9.930390357971191
172,1024,0.005,32,MCN,12224.0,17217,0.36298543,0.12950927,0.1182225,4.277406215667725,125.5625,0.0180405881255865,0.0166424494236707,0.042496420443058,0.0066431979648768,11.813522338867188,4.410349845886231
173,1024,0.005,32,SCARF,18240.0,17217,0.5676381,0.15685828,0.122405134,,,,,,,,
174,1024,0.005,32,SUBTAB,13120.0,17217,0.26363984,0.09039108,0.119138926,,,,,,,,
175,1024,0.005,64,CLIP,34305.0,67201,0.55485654,0.09004979,0.1258099,2.164425611495972,218.9375,0.0121704982593655,0.0027184598147869,0.0112015632912516,0.0009006120380945,11.656503677368164,4.467479705810547
176,1024,0.005,64,CONTROL,,67201,,,0.11917345,,,,,,,,
177,1024,0.005,64,GMC,424256.0,191809,0.5739764,0.26535654,0.14183642,3.461434841156006,234.375,0.0430516563355922,0.0524358972907066,0.0671477168798446,0.0420677065849304,13.842711448669434,2.935109138488769
178,1024,0.005,64,ICEH,175425.0,208321,0.6434123,0.19497159,0.25010476,6.294198036193848,156.375,0.0027022117283195,0.0009306971332989,0.0153233623132109,0.0017889700829982,22.316797256469727,9.474990844726562
179,1024,0.005,64,MCN,40832.0,67201,0.42302412,0.13070838,0.11750717,7.618235111236572,190.5625,0.1253231614828109,0.0683285295963287,0.1087691634893417,0.1483703255653381,9.48370361328125,10.05070686340332
180,1024,0.005,64,SCARF,71296.0,67201,0.6254482,0.24200374,0.117020436,,,,,,,,
181,1024,0.005,64,SUBTAB,50816.0,67201,0.6105419,0.080108605,0.107236184,,,,,,,,
182,1024,0.005,128,CLIP,134145.0,265473,0.49641407,0.095153704,0.13055189,11.136795997619627,193.5,0.0111044384539127,0.0027169287204742,0.0122391339391469,0.0009456495172344,11.656503677368164,1.9388906955718996
183,1024,0.005,128,CONTROL,,265473,,,0.12948215,,,,,,,,
184,1024,0.005,128,GMC,432512.0,298497,0.562846,0.28212577,0.18196353,3.461434841156006,254.125,0.0310321748256683,0.0514170005917549,0.0668003857135772,0.0437630675733089,7.106842994689941,3.8881101608276367
185,1024,0.005,128,ICEH,183681.0,315009,0.5124322,0.32879165,0.11304884,9.166267395019531,300.125,0.0475326292216777,0.067502312362194,0.0528293550014495,0.1082103550434112,9.48370361328125,4.306596755981445
186,1024,0.005,128,MCN,147200.0,265473,0.3253506,0.09819107,0.13000675,9.142406463623049,110.5625,0.1888063848018646,0.1622359007596969,0.0389073640108108,0.1351223289966583,22.316797256469727,9.769803047180176
187,1024,0.005,128,SCARF,281856.0,265473,0.6274261,0.22074357,0.15895317,,,,,,,,
188,1024,0.005,128,SUBTAB,199936.0,265473,0.47583032,0.09702875,0.1594601,,,,,,,,
189,1024,0.007,32,CLIP,8961.0,17217,0.5795855,0.09462828,0.107620575,11.716007232666016,175.9375,0.011430462822318,0.0009982218034565,0.0111924558877944,0.0008937556995078,10.497961044311523,4.29901123046875
190,1024,0.007,32,CONTROL,,17217,,,0.13085352,,,,,,,,
191,1024,0.007,32,GMC,420128.0,163041,0.5881771,0.27261624,0.14788052,3.46916127204895,281.4375,0.0278038531541824,0.0493939742445945,0.0669256597757339,0.0486147999763488,12.31560230255127,2.944655418395996
192,1024,0.007,32,ICEH,171297.0,179553,0.50158155,0.3415794,0.20494801,12.199782371520996,194.8125,0.0651723444461822,0.085663191974163,0.061020340770483,0.0581754446029663,9.48370361328125,10.05070686340332
193,1024,0.007,32,MCN,12224.0,17217,0.36191818,0.12720387,0.11959057,4.277406215667725,240.125,0.0827741175889968,0.0142753254622221,0.0307271312922239,0.012810849584639,11.813522338867188,2.263221263885498
194,1024,0.007,32,SCARF,18240.0,17217,0.5857549,0.25584608,0.13020083,,,,,,,,
195,1024,0.007,32,SUBTAB,13120.0,17217,0.3203459,0.09665551,0.10819112,,,,,,,,
