,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Precinct,Sector,Occurred_hour,Occurred_min
46,1024,0.0003,32,MCN,5504.0,6401,0.1969504,160191.97,147943.36,1.0,0.2346872082166199,0.987719298245614,0.986842105263158
47,1024,0.0003,32,SCARF,7424.0,6401,0.20788755,160649.0,148018.2,,,,
48,1024,0.0003,32,SUBTAB,4352.0,6401,0.16183521,159829.17,148007.5,,,,
49,1024,0.0003,64,CLIP,4481.0,20993,0.20457555,159648.69,147832.34,1.0,0.2812324929971989,0.9964912280701754,0.986842105263158
50,1024,0.0003,64,CONTROL,,20993,,,147684.66,,,,
51,1024,0.0003,64,GMC,108352.0,50241,0.20415467,159803.6,147588.7,1.0,0.2780578898225956,0.9964912280701754,0.986842105263158
52,1024,0.0003,64,ICEH,50241.0,66753,0.17462991,162450.1,148024.11,1.0,0.2543650793650793,0.9964912280701754,0.986842105263158
53,1024,0.0003,64,MCN,11008.0,20993,0.15310887,163560.78,147832.98,1.0,0.2583333333333333,0.9964912280701754,0.9473684210526316
54,1024,0.0003,64,SCARF,25088.0,20993,0.24959408,160556.28,148144.72,,,,
55,1024,0.0003,64,SUBTAB,12800.0,20993,0.16497855,162377.89,147577.7,,,,
56,1024,0.0003,128,CLIP,8961.0,74753,0.22310536,164185.28,147411.75,1.0,0.2851540616246498,0.9964912280701754,0.986842105263158
57,1024,0.0003,128,CONTROL,,74753,,,146966.23,,,,
58,1024,0.0003,128,GMC,116608.0,107777,0.2034826,159544.94,148141.12,1.0,0.2793650793650793,0.9964912280701754,0.986842105263158
59,1024,0.0003,128,ICEH,58497.0,124289,0.19835833,164671.48,148465.53,1.0,0.4087068160597572,0.9964912280701754,0.986842105263158
60,1024,0.0003,128,MCN,22016.0,74753,0.15241267,162581.28,147162.19,1.0,0.3050186741363211,0.987719298245614,0.986842105263158
61,1024,0.0003,128,SCARF,91136.0,74753,0.21546677,164159.78,147238.44,,,,
62,1024,0.0003,128,SUBTAB,41984.0,74753,0.14275461,160076.62,147328.95,,,,
63,1024,0.0005,32,CLIP,2241.0,6401,0.23398088,159073.36,148115.2,1.0,0.2703548085901027,0.9964912280701754,0.986842105263158
64,1024,0.0005,32,CONTROL,,6401,,,147756.62,,,,
65,1024,0.0005,32,GMC,104224.0,33761,0.20020784,158164.78,147754.08,1.0,0.3241363211951447,0.9964912280701754,0.986842105263158
66,1024,0.0005,32,ICEH,46113.0,50273,0.25330114,161910.23,148285.8,1.0,0.3484593837535014,0.9964912280701754,0.986842105263158
67,1024,0.0005,32,MCN,5504.0,6401,0.18795939,163171.17,147911.3,1.0,0.3927637721755369,0.9964912280701754,0.986842105263158
68,1024,0.0005,32,SCARF,7424.0,6401,0.23732731,161045.45,147964.39,,,,
69,1024,0.0005,32,SUBTAB,4352.0,6401,0.13362879,160110.69,147706.02,,,,
70,1024,0.0005,64,CLIP,4481.0,20993,0.21029562,160569.16,147225.73,1.0,0.313188608776844,0.9964912280701754,0.986842105263158
71,1024,0.0005,64,CONTROL,,20993,,,147079.83,,,,
72,1024,0.0005,64,GMC,108352.0,50241,0.20890626,162698.52,147893.05,1.0,0.3074696545284781,0.9964912280701754,0.986842105263158
73,1024,0.0005,64,ICEH,50241.0,66753,0.23098893,162330.55,148504.4,1.0,0.2476190476190476,0.9964912280701754,0.986842105263158
74,1024,0.0005,64,MCN,11008.0,20993,0.18798159,160392.56,147243.4,1.0,0.3030345471521942,0.9964912280701754,0.986842105263158
75,1024,0.0005,64,SCARF,25088.0,20993,0.3178208,160898.34,147252.12,,,,
76,1024,0.0005,64,SUBTAB,12800.0,20993,0.14939547,161200.33,147268.89,,,,
77,1024,0.0005,128,CLIP,8961.0,74753,0.23032627,161954.06,147155.9,1.0,0.2702147525676937,0.9964912280701754,0.986842105263158
78,1024,0.0005,128,CONTROL,,74753,,,147159.78,,,,
79,1024,0.0005,128,GMC,116608.0,107777,0.20161423,160118.92,147948.05,1.0,0.2780578898225957,0.9964912280701754,0.986842105263158
80,1024,0.0005,128,ICEH,58497.0,124289,0.18833601,163150.84,148593.77,1.0,0.2820728291316526,0.9964912280701754,0.986842105263158
81,1024,0.0005,128,MCN,22016.0,74753,0.18880801,162137.81,147064.86,1.0,0.2794351073762838,0.9964912280701754,0.986842105263158
82,1024,0.0005,128,SCARF,91136.0,74753,0.24956271,157149.94,147079.94,,,,
83,1024,0.0005,128,SUBTAB,41984.0,74753,0.16875833,161549.14,147188.19,,,,
84,1024,0.0007,32,CLIP,2241.0,6401,0.23401026,164437.27,148294.45,1.0,0.3943043884220354,0.9964912280701754,0.986842105263158
85,1024,0.0007,32,CONTROL,,6401,,,148046.03,,,,
86,1024,0.0007,32,GMC,104224.0,33761,0.17233588,158820.8,148139.06,1.0,0.2339402427637721,0.9964912280701754,0.986842105263158
87,1024,0.0007,32,ICEH,46113.0,50273,0.24160051,161797.69,147406.19,1.0,0.3755368814192343,0.9964912280701754,0.986842105263158
88,1024,0.0007,32,MCN,5504.0,6401,0.2002814,164561.14,147612.56,1.0,0.2292717086834733,0.9964912280701754,0.986842105263158
89,1024,0.0007,32,SCARF,7424.0,6401,0.25010487,158024.86,147442.4,,,,
90,1024,0.0007,32,SUBTAB,4352.0,6401,0.12311377,163931.1,147329.2,,,,
91,1024,0.0007,64,CLIP,4481.0,20993,0.18128088,160108.75,148086.02,1.0,0.2949579831932772,0.9964912280701754,0.986842105263158
92,1024,0.0007,64,CONTROL,,20993,,,147191.14,,,,
93,1024,0.0007,64,GMC,108352.0,50241,0.20397231,163994.0,148217.39,1.0,0.2290382819794584,0.9964912280701754,0.986842105263158
94,1024,0.0007,64,ICEH,50241.0,66753,0.23662904,162606.86,148358.42,1.0,0.3435340802987861,0.9964912280701754,0.986842105263158
95,1024,0.0007,64,MCN,11008.0,20993,0.19343156,161782.88,147140.03,1.0,0.3179271708683473,0.9964912280701754,0.986842105263158
96,1024,0.0007,64,SCARF,25088.0,20993,0.22619158,160457.83,148002.0,,,,
97,1024,0.0007,64,SUBTAB,12800.0,20993,0.16763428,163852.67,147025.75,,,,
98,1024,0.0007,128,CLIP,8961.0,74753,0.22328001,160668.05,147057.81,1.0,0.2642623716153127,0.9964912280701754,0.986842105263158
99,1024,0.0007,128,CONTROL,,74753,,,147165.86,,,,
100,1024,0.0007,128,GMC,116608.0,107777,0.2011349,159635.94,148111.81,1.0,0.2780578898225957,0.9964912280701754,0.986842105263158
101,1024,0.0007,128,ICEH,58497.0,124289,0.25886732,157572.48,148344.97,1.0,0.2595704948646125,0.9964912280701754,0.986842105263158
102,1024,0.0007,128,MCN,22016.0,74753,0.17140135,159292.42,147080.16,1.0,0.3119747899159663,0.9964912280701754,0.986842105263158
103,1024,0.0007,128,SCARF,91136.0,74753,0.26878792,159055.75,147031.1,,,,
104,1024,0.0007,128,SUBTAB,41984.0,74753,0.17822997,159069.52,146991.89,,,,
105,1024,0.001,32,CLIP,2241.0,6401,0.19271088,161916.16,147484.33,1.0,0.3618814192343603,0.9964912280701754,0.986842105263158
106,1024,0.001,32,CONTROL,,6401,,,147479.27,,,,
107,1024,0.001,32,GMC,104224.0,33761,0.17533426,159850.88,147479.9,1.0,0.3120448179271708,0.9964912280701754,0.986842105263158
108,1024,0.001,32,ICEH,46113.0,50273,0.2539583,163550.08,148264.39,1.0,0.3020774976657329,0.9964912280701754,0.986842105263158
109,1024,0.001,32,MCN,5504.0,6401,0.18029469,161514.02,147913.6,1.0,0.2567927170868347,0.9964912280701754,0.986842105263158
110,1024,0.001,32,SCARF,7424.0,6401,0.23336245,157902.64,147395.14,,,,
111,1024,0.001,32,SUBTAB,4352.0,6401,0.16927032,158512.7,147201.75,,,,
112,1024,0.001,64,CLIP,4481.0,20993,0.19927716,162081.38,147181.75,1.0,0.2639122315592903,0.9964912280701754,0.986842105263158
113,1024,0.001,64,CONTROL,,20993,,,147589.19,,,,
114,1024,0.001,64,GMC,108352.0,50241,0.20918652,161707.14,148204.45,1.0,0.2290382819794584,0.9964912280701754,0.986842105263158
115,1024,0.001,64,ICEH,50241.0,66753,0.32268536,161376.72,148553.88,1.0,0.3076330532212885,0.9964912280701754,0.986842105263158
116,1024,0.001,64,MCN,11008.0,20993,0.17589164,161051.48,147249.9,1.0,0.2509337068160597,0.9964912280701754,0.986842105263158
117,1024,0.001,64,SCARF,25088.0,20993,0.21259,161319.64,147368.02,,,,
118,1024,0.001,64,SUBTAB,12800.0,20993,0.16850622,161491.94,147123.31,,,,
119,1024,0.001,128,CLIP,8961.0,74753,0.23505953,157684.94,147007.88,1.0,0.282469654528478,0.9964912280701754,0.986842105263158
120,1024,0.001,128,CONTROL,,74753,,,147996.06,,,,
121,1024,0.001,128,GMC,116608.0,107777,0.1999653,163850.11,148226.53,1.0,0.245845004668534,0.9964912280701754,0.986842105263158
122,1024,0.001,128,ICEH,58497.0,124289,0.2600175,160312.42,148500.02,1.0,0.2710317460317459,0.9964912280701754,0.986842105263158
123,1024,0.001,128,MCN,22016.0,74753,0.1903984,161162.84,147146.42,1.0,0.273062558356676,0.9964912280701754,0.986842105263158
124,1024,0.001,128,SCARF,91136.0,74753,0.23244606,162407.89,147000.86,,,,
125,1024,0.001,128,SUBTAB,41984.0,74753,0.16586637,161101.06,148377.25,,,,
126,1024,0.002,32,CLIP,2241.0,6401,0.21623304,160989.3,147144.86,1.0,0.3211017740429505,0.9964912280701754,0.986842105263158
127,1024,0.002,32,CONTROL,,6401,,,147240.53,,,,
128,1024,0.002,32,GMC,104224.0,33761,0.19643463,158371.45,148387.97,1.0,0.2368814192343604,0.9964912280701754,0.986842105263158
129,1024,0.002,32,ICEH,46113.0,50273,0.42496574,161052.8,148289.94,1.0,0.3336134453781512,0.9964912280701754,0.986842105263158
130,1024,0.002,32,MCN,5504.0,6401,0.21134293,162824.08,147514.94,1.0,0.3257703081232492,0.9964912280701754,0.986842105263158
131,1024,0.002,32,SCARF,7424.0,6401,0.23813286,161299.1,148063.28,,,,
132,1024,0.002,32,SUBTAB,4352.0,6401,0.17896134,160542.0,147361.45,,,,
133,1024,0.002,64,CLIP,4481.0,20993,0.22582449,159706.08,146976.47,1.0,0.2852707749766572,0.9964912280701754,0.986842105263158
134,1024,0.002,64,CONTROL,,20993,,,147200.97,,,,
135,1024,0.002,64,GMC,108352.0,50241,0.20528358,158329.58,148135.14,1.0,0.2559990662931839,0.9964912280701754,0.986842105263158
136,1024,0.002,64,ICEH,50241.0,66753,0.32284397,160499.55,149067.14,1.0,0.3233426704014939,0.9964912280701754,0.986842105263158
137,1024,0.002,64,MCN,11008.0,20993,0.19507423,161789.88,147217.36,1.0,0.2810690943043883,0.9964912280701754,0.986842105263158
138,1024,0.002,64,SCARF,25088.0,20993,0.2569649,158798.47,147141.78,,,,
139,1024,0.002,64,SUBTAB,12800.0,20993,0.15066954,163173.48,148054.77,,,,
140,1024,0.002,128,CLIP,8961.0,74753,0.1964827,160753.6,147176.1,1.0,0.3387488328664799,0.9964912280701754,0.986842105263158
141,1024,0.002,128,CONTROL,,74753,,,147244.73,,,,
142,1024,0.002,128,GMC,116608.0,107777,0.20734863,161571.45,148425.62,1.0,0.3523809523809523,0.9964912280701754,0.986842105263158
143,1024,0.002,128,ICEH,58497.0,124289,0.39520004,159880.56,148913.36,1.0,0.2954481792717086,0.9964912280701754,0.986842105263158
144,1024,0.002,128,MCN,22016.0,74753,0.19758171,159790.7,148007.72,1.0,0.3246031746031745,0.9964912280701754,0.986842105263158
145,1024,0.002,128,SCARF,91136.0,74753,0.24032928,164654.31,147194.34,,,,
146,1024,0.002,128,SUBTAB,41984.0,74753,0.14885189,163375.86,147110.89,,,,
147,1024,0.003,32,CLIP,2241.0,6401,0.26698118,159522.78,147991.14,1.0,0.3490662931839402,0.9964912280701754,0.986842105263158
148,1024,0.003,32,CONTROL,,6401,,,147981.84,,,,
149,1024,0.003,32,GMC,104224.0,33761,0.19939189,160816.84,148052.53,0.977777777777778,0.2674369747899159,0.9964912280701754,0.986842105263158
150,1024,0.003,32,ICEH,46113.0,50273,0.35919362,158241.38,148742.14,1.0,0.3304388422035481,0.9964912280701754,0.986842105263158
151,1024,0.003,32,MCN,5504.0,6401,0.18821245,160541.08,147045.56,1.0,0.2788515406162464,0.9964912280701754,0.986842105263158
152,1024,0.003,32,SCARF,7424.0,6401,0.22649185,160026.19,147232.77,,,,
153,1024,0.003,32,SUBTAB,4352.0,6401,0.174073,157746.53,147093.7,,,,
154,1024,0.003,64,CLIP,4481.0,20993,0.2141103,160737.28,147084.89,1.0,0.2703314659197012,0.9964912280701754,0.986842105263158
155,1024,0.003,64,CONTROL,,20993,,,147151.95,,,,
156,1024,0.003,64,GMC,108352.0,50241,0.21099906,164184.5,147953.05,1.0,0.3283846872082166,0.9964912280701754,0.986842105263158
157,1024,0.003,64,ICEH,50241.0,66753,0.3964637,163162.48,148321.8,1.0,0.3104108309990663,0.9964912280701754,0.986842105263158
158,1024,0.003,64,MCN,11008.0,20993,0.1610159,159810.02,147501.83,1.0,0.3143790849673202,0.9964912280701754,0.986842105263158
159,1024,0.003,64,SCARF,25088.0,20993,0.23269044,161638.47,148042.38,,,,
160,1024,0.003,64,SUBTAB,12800.0,20993,0.14746955,159366.27,147248.9,,,,
161,1024,0.003,128,CLIP,8961.0,74753,0.21651581,161623.83,147075.39,1.0,0.2899159663865546,0.9964912280701754,0.986842105263158
162,1024,0.003,128,CONTROL,,74753,,,147584.73,,,,
163,1024,0.003,128,GMC,116608.0,107777,0.2119028,160458.58,148178.34,1.0,0.3251167133520074,0.9964912280701754,0.986842105263158
164,1024,0.003,128,ICEH,58497.0,124289,0.36156076,158959.62,148985.4,1.0,0.3492296918767507,0.9964912280701754,0.986842105263158
165,1024,0.003,128,MCN,22016.0,74753,0.15673192,159515.94,148016.95,1.0,0.3550653594771241,0.9964912280701754,0.986842105263158
166,1024,0.003,128,SCARF,91136.0,74753,0.2555466,157386.83,147039.05,,,,
167,1024,0.003,128,SUBTAB,41984.0,74753,0.15902677,162668.84,147730.3,,,,
168,1024,0.005,32,CLIP,2241.0,6401,0.2387236,161795.95,146998.56,1.0,0.2771241830065359,0.9964912280701754,0.986842105263158
169,1024,0.005,32,CONTROL,,6401,,,147098.94,,,,
170,1024,0.005,32,GMC,104224.0,33761,0.16928674,160839.8,148062.64,1.0,0.2788515406162464,0.9964912280701754,0.986842105263158
171,1024,0.005,32,ICEH,46113.0,50273,0.44223106,163942.98,148504.23,1.0,0.2925070028011204,0.9964912280701754,0.986842105263158
172,1024,0.005,32,MCN,5504.0,6401,0.20460889,160936.14,147440.19,1.0,0.3771942110177404,0.9964912280701754,0.986842105263158
173,1024,0.005,32,SCARF,7424.0,6401,0.23242603,157489.02,148030.42,,,,
174,1024,0.005,32,SUBTAB,4352.0,6401,0.15124519,157774.12,148014.58,,,,
175,1024,0.005,64,CLIP,4481.0,20993,0.24655843,163346.78,147293.94,1.0,0.3391456582633053,0.9964912280701754,0.986842105263158
176,1024,0.005,64,CONTROL,,20993,,,148058.78,,,,
177,1024,0.005,64,GMC,108352.0,50241,0.2009723,157440.58,148412.38,1.0,0.34796918767507,0.9964912280701754,0.986842105263158
178,1024,0.005,64,ICEH,50241.0,66753,0.40470198,161580.34,148482.14,1.0,0.2851540616246498,0.9964912280701754,0.986842105263158
179,1024,0.005,64,MCN,11008.0,20993,0.1611505,162831.3,147365.17,1.0,0.267016806722689,0.9964912280701754,0.986842105263158
180,1024,0.005,64,SCARF,25088.0,20993,0.24099576,156052.69,147382.23,,,,
181,1024,0.005,64,SUBTAB,12800.0,20993,0.17402129,159865.31,147348.05,,,,
182,1024,0.005,128,CLIP,8961.0,74753,0.24527818,161051.98,147296.73,1.0,0.2736461251167132,0.9964912280701754,0.986842105263158
183,1024,0.005,128,CONTROL,,74753,,,147296.52,,,,
184,1024,0.005,128,GMC,116608.0,107777,0.2112064,163989.42,148990.33,1.0,0.3004435107376283,0.9964912280701754,0.986842105263158
185,1024,0.005,128,ICEH,58497.0,124289,0.37091458,158346.02,148314.14,1.0,0.2962885154061624,0.9964912280701754,0.986842105263158
186,1024,0.005,128,MCN,22016.0,74753,0.16683313,163882.38,147122.6,1.0,0.273015873015873,0.9964912280701754,0.986842105263158
187,1024,0.005,128,SCARF,91136.0,74753,0.2657733,160825.67,147812.33,,,,
188,1024,0.005,128,SUBTAB,41984.0,74753,0.16360866,159718.64,147493.78,,,,
189,1024,0.007,32,CLIP,2241.0,6401,0.25255644,161007.52,147203.08,1.0,0.3681605975723623,0.9964912280701754,0.986842105263158
190,1024,0.007,32,CONTROL,,6401,,,147960.75,,,,
191,1024,0.007,32,GMC,104224.0,33761,0.20266066,161846.75,148530.89,1.0,0.2937441643323996,0.9964912280701754,0.986842105263158
192,1024,0.007,32,ICEH,46113.0,50273,0.43492034,160303.98,148708.55,1.0,0.3293650793650794,0.9964912280701754,0.986842105263158
193,1024,0.007,32,MCN,5504.0,6401,0.19114846,161479.83,147845.0,1.0,0.2290382819794583,0.9964912280701754,0.986842105263158
194,1024,0.007,32,SCARF,7424.0,6401,0.24836129,162802.28,147919.83,,,,
195,1024,0.007,32,SUBTAB,4352.0,6401,0.17420541,158123.81,147877.45,,,,
196,1024,0.007,64,CLIP,4481.0,20993,0.2486561,160344.94,147226.4,1.0,0.3779178338001867,0.9964912280701754,0.986842105263158
197,1024,0.007,64,CONTROL,,20993,,,147527.75,,,,
198,1024,0.007,64,GMC,108352.0,50241,0.19910231,161209.61,148936.7,1.0,0.3262371615312792,0.9964912280701754,0.986842105263158
199,1024,0.007,64,ICEH,50241.0,66753,0.41821617,160172.5,149435.0,1.0,0.3208683473389355,0.9964912280701754,0.986842105263158
200,1024,0.007,64,MCN,11008.0,20993,0.17253326,161621.31,148119.83,1.0,0.3316526610644257,0.9964912280701754,0.986842105263158
201,1024,0.007,64,SCARF,25088.0,20993,0.23765828,159724.1,148140.86,,,,
202,1024,0.007,64,SUBTAB,12800.0,20993,0.18930575,162340.5,147336.11,,,,
203,1024,0.007,128,CLIP,8961.0,74753,0.23107572,164942.5,147378.52,1.0,0.3320728291316526,0.9964912280701754,0.986842105263158
204,1024,0.007,128,CONTROL,,74753,,,147384.28,,,,
205,1024,0.007,128,GMC,116608.0,107777,0.19105923,157531.84,148198.97,0.977777777777778,0.2714985994397759,0.9964912280701754,0.986842105263158
206,1024,0.007,128,ICEH,58497.0,124289,0.42409545,160977.66,148940.86,1.0,0.3280112044817928,0.9964912280701754,0.986842105263158
207,1024,0.007,128,MCN,22016.0,74753,0.17703897,157201.0,147303.16,1.0,0.3684173669467787,0.9964912280701754,0.986842105263158
208,1024,0.007,128,SCARF,91136.0,74753,0.25511733,159407.05,147089.47,,,,
209,1024,0.007,128,SUBTAB,41984.0,74753,0.17792922,161302.73,147348.19,,,,
210,1024,0.01,32,CLIP,2241.0,6401,0.21701713,161405.73,148060.72,1.0,0.3607142857142856,0.9964912280701754,0.986842105263158
211,1024,0.01,32,CONTROL,,6401,,,147872.98,,,,
212,1024,0.01,32,GMC,104224.0,33761,0.20226634,163595.88,148392.9,1.0,0.2796918767507003,0.9964912280701754,0.986842105263158
213,1024,0.01,32,ICEH,46113.0,50273,0.3968926,161007.0,149063.17,1.0,0.3166900093370681,0.9964912280701754,0.986842105263158
214,1024,0.01,32,MCN,5504.0,6401,0.2011816,160418.11,147850.45,1.0,0.3358076563958917,0.9964912280701754,0.986842105263158
215,1024,0.01,32,SCARF,7424.0,6401,0.28284296,160475.62,148088.16,,,,
216,1024,0.01,32,SUBTAB,4352.0,6401,0.1469674,162957.14,147954.1,,,,
217,1024,0.01,64,CLIP,4481.0,20993,0.20515014,161826.56,148013.14,1.0,0.3715452847805788,0.9964912280701754,0.986842105263158
218,1024,0.01,64,CONTROL,,20993,,,148212.2,,,,
219,1024,0.01,64,GMC,108352.0,50241,0.17961478,160345.45,148181.53,1.0,0.2621848739495798,0.9964912280701754,0.986842105263158
220,1024,0.01,64,ICEH,50241.0,66753,0.44192278,159207.97,148670.27,1.0,0.3213585434173669,0.9964912280701754,0.986842105263158
221,1024,0.01,64,MCN,11008.0,20993,0.18939543,162103.78,148144.61,1.0,0.2269140989729224,0.9964912280701754,0.986842105263158
222,1024,0.01,64,SCARF,25088.0,20993,0.32609284,161278.72,148029.25,,,,
223,1024,0.01,64,SUBTAB,12800.0,20993,0.1820578,159473.53,148055.23,,,,
224,1024,0.01,128,CLIP,8961.0,74753,0.2347223,163217.02,147646.7,1.0,0.2572829131652661,0.9964912280701754,0.986842105263158
225,1024,0.01,128,CONTROL,,74753,,,147282.44,,,,
226,1024,0.01,128,GMC,116608.0,107777,0.20214763,161032.25,149006.38,1.0,0.296358543417367,0.9964912280701754,0.986842105263158
227,1024,0.01,128,ICEH,58497.0,124289,0.4128622,162473.92,149367.1,1.0,0.2548319327731092,0.9964912280701754,0.986842105263158
228,1024,0.01,128,MCN,22016.0,74753,0.17445639,161250.23,148411.3,1.0,0.3622549019607843,0.9964912280701754,0.986842105263158
229,1024,0.01,128,SCARF,91136.0,74753,0.22394943,159197.81,148230.33,,,,
230,1024,0.01,128,SUBTAB,41984.0,74753,0.20759797,162195.48,147598.78,,,,
