,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,city,area,animal,furniture,rooms,bathroom,parking_spaces,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL)
0,1024,0.0001,32,CLIP,24673.0,36001,0.16260137,0.0015608295,0.0020954283,0.1594202898550724,0.025,0.8888888888888888,0.5233766233766234,4.32608699798584,2.08695650100708,12.0,19.086647033691406,2.9814696311950684,16.309799194335938,2.530329942703247
1,1024,0.0001,32,CONTROL,,36001,,,0.00032893135,,,,,,,,,,,
2,1024,0.0001,32,GMC,570400.0,216673,0.34294626,0.00066960487,0.0006034507,0.2565217391304347,0.075,0.5,0.5311688311688312,0.8260869383811951,1.39130437374115,2.2826087474823,14.106937408447266,0.314297616481781,6.027389526367188,0.2789248526096344
3,1024,0.0001,32,ICEH,221857.0,233185,0.526718,0.000342252,0.00050499267,0.2666666666666666,0.0708333333333333,0.5444444444444444,0.5,1.2826087474822998,1.1739130020141602,2.32608699798584,15.60982894897461,0.0541158616542816,7.135379791259766,0.1326988339424133
4,1024,0.0001,32,MCN,27936.0,36001,0.18056427,0.0020636304,0.0012660391,0.1202898550724637,0.025,0.2888888888888888,0.487012987012987,8.065217018127441,14.65217399597168,17.413043975830078,25.306734085083008,2.8419554233551025,13.094780921936035,2.7326223850250244
5,1024,0.0001,32,SCARF,37024.0,36001,0.22734277,0.0016115461,0.0014366881,,,,,,,,,,,
6,1024,0.0001,32,SUBTAB,28832.0,36001,0.13139653,0.0015308385,0.0004400339,,,,,,,,,,,
7,1024,0.0001,64,CLIP,63681.0,108865,0.17236897,0.0013336658,0.00023181077,0.2608695652173913,0.0333333333333333,0.7888888888888889,0.5298701298701298,0.8695651888847351,1.43478262424469,3.08695650100708,15.54766082763672,1.6925727128982544,7.437203407287598,0.6999374628067017
8,1024,0.0001,64,CONTROL,,108865,,,0.00028544993,,,,,,,,,,,
9,1024,0.0001,64,GMC,574528.0,254657,0.35451102,0.0006555504,0.000112071895,0.2318840579710145,0.05,0.5,0.6077922077922078,0.760869562625885,1.45652174949646,2.2173912525177,14.24294376373291,0.3027874231338501,6.205574989318848,0.2641974091529846
10,1024,0.0001,64,ICEH,225985.0,271169,0.5083081,0.00041587432,0.00020821685,0.3333333333333333,0.1125,0.5,0.5285714285714286,2.17391300201416,1.1956521272659302,1.47826087474823,16.0626220703125,0.0784064456820488,7.062608242034912,0.1960925161838531
11,1024,0.0001,64,MCN,70208.0,108865,0.1789006,0.0020415764,0.00020403547,0.2130434782608695,0.025,0.4666666666666667,0.4857142857142857,5.5217390060424805,7.32608699798584,10.28260898590088,16.621112823486328,2.170451641082764,13.93387222290039,1.5617637634277344
12,1024,0.0001,64,SCARF,112960.0,108865,0.1957762,0.0019494892,0.00019389349,,,,,,,,,,,
13,1024,0.0001,64,SUBTAB,80192.0,108865,0.13316242,0.001343994,0.00061566295,,,,,,,,,,,
14,1024,0.0001,128,CLIP,184705.0,365185,0.16191326,0.0013672338,0.00012048945,0.3067632850241546,0.1083333333333333,0.7888888888888889,0.4649350649350649,1.13043475151062,0.8695651888847351,2.2826087474823,11.658934593200684,0.0718397051095962,7.322487831115723,0.0622808635234832
15,1024,0.0001,128,CONTROL,,365185,,,0.00015522506,,,,,,,,,,,
16,1024,0.0001,128,GMC,582784.0,398209,0.3537793,0.0006748746,9.549693e-05,0.2739130434782608,0.0416666666666666,0.9666666666666668,0.5909090909090909,0.8260869383811951,1.60869562625885,2.26086950302124,13.987756729125977,0.3150325417518616,6.094051361083984,0.271736592054367
17,1024,0.0001,128,ICEH,234241.0,414721,0.464913,0.0003177252,0.00017617788,0.4405797101449275,0.075,0.3888888888888889,0.5662337662337662,2.3043477535247803,2.26086950302124,1.8478261232376096,16.217348098754883,0.0634944662451744,7.835412502288818,0.1243468597531318
18,1024,0.0001,128,MCN,197760.0,365185,0.20825405,0.001748369,0.00022681868,0.2618357487922705,0.0333333333333333,0.8666666666666667,0.4831168831168831,3.73913049697876,4.89130449295044,7.978260993957519,14.587778091430664,1.3887956142425537,10.366070747375488,1.1242241859436035
19,1024,0.0001,128,SCARF,381568.0,365185,0.21610242,0.0016454405,0.00017354806,,,,,,,,,,,
20,1024,0.0001,128,SUBTAB,250496.0,365185,0.13550127,0.0012839517,0.00019132913,,,,,,,,,,,
21,1024,0.0002,32,CLIP,24673.0,36001,0.1400679,0.0016712323,0.00029390623,0.2768115942028985,0.025,0.7222222222222222,0.587012987012987,1.97826087474823,1.82608699798584,16.5,21.881317138671875,1.751630425453186,10.71860694885254,1.5523685216903689
22,1024,0.0002,32,CONTROL,,36001,,,0.00035893856,,,,,,,,,,,
23,1024,0.0002,32,GMC,570400.0,216673,0.3549608,0.0006425327,0.00013344636,0.2652173913043478,0.05,0.4888888888888889,0.5454545454545454,0.6739130616188049,1.2826087474822998,2.04347825050354,15.712080001831056,0.2999509871006012,6.691686153411865,0.2483302056789398
24,1024,0.0002,32,ICEH,221857.0,233185,0.52604616,0.00034716062,0.00019277635,0.3333333333333333,0.075,0.5333333333333333,0.5,1.7608696222305298,1.6956521272659302,1.7608696222305298,15.459832191467283,0.0312335491180419,7.280006885528564,0.0501457825303077
25,1024,0.0002,32,MCN,27936.0,36001,0.21666828,0.0018832269,0.00025788794,0.2521739130434782,0.0416666666666666,0.9222222222222224,0.5363636363636364,5.5652174949646,8.739130020141602,12.15217399597168,18.12748146057129,1.5980865955352783,11.765420913696287,1.3776201009750366
