,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
44,1024,0.0003,32,GMC,569888.0,216417,0.47636855,0.6447385,0.5743166,1.4599231481552124,0.0187780000269413,0.026812307536602,19.96711158752441,0.0013100645737722,325.9230651855469,2333.442626953125,7.838314195396379e-05,0.0299381557852029,0.0172615386545658,7.766610622406006
45,1024,0.0003,32,ICEH,221601.0,232929,0.36517736,0.5292308,0.53334785,9.601837158203123,0.0608961880207061,0.0410620011389255,42.126426696777344,0.0012324292911216,696.0811767578125,35465.1328125,5.586120823863894e-05,0.0498223304748535,0.1154284700751304,13.486041069030762
46,1024,0.0003,32,MCN,15584.0,23649,0.44770133,0.6110921,0.56586736,9.749792098999023,0.0782764628529548,0.8544743657112122,41.795658111572266,0.0032435737084597,8123.064453125,64040.84765625,5.993567538098432e-05,0.6553325653076172,0.0475169233977794,5.922417640686035
47,1024,0.0003,32,SCARF,24672.0,23649,0.4859683,0.67347693,0.55793816,,,,,,,,,,,
48,1024,0.0003,32,SUBTAB,16480.0,23649,0.4609815,0.630523,0.5683189,,,,,,,,,,,
49,1024,0.0003,64,CLIP,47169.0,92353,0.47460422,0.5534093,0.5551739,7.577591419219971,0.0333959273993968,0.2928078472614288,43.06440353393555,0.006101201288402,251.04808044433597,15655.4306640625,5.24756069353316e-05,0.0603083223104476,0.0462273843586444,3.833569288253784
50,1024,0.0003,64,CONTROL,,92353,,,0.541354,,,,,,,,,,,
51,1024,0.0003,64,GMC,574016.0,254401,0.48360676,0.6441231,0.54279137,1.8826498985290527,0.0194128081202507,0.0270232297480106,20.214889526367188,0.0013344783801585,317.1480712890625,2357.667724609375,4.574350896291435e-05,0.1808359175920486,0.0177287682890892,3.226161003112793
52,1024,0.0003,64,ICEH,225729.0,270913,0.36096728,0.55567306,0.53824717,11.921338081359863,0.046571884304285,0.0227010790258646,39.85202407836914,0.0011973431101068,993.1842041015624,31801.353515625,4.3067422666354105e-05,0.0930064767599105,0.0604590773582458,6.044265270233154
53,1024,0.0003,64,MCN,53696.0,92353,0.50143105,0.6431731,0.5383806,9.50232982635498,0.0391267724335193,0.610487699508667,28.478954315185547,0.0017318738391622,354.5442199707031,2704.119140625,5.586120823863894e-05,0.1992552727460861,0.027938924729824,12.161908149719238
54,1024,0.0003,64,SCARF,96448.0,92353,0.6576489,0.6498798,0.54511315,,,,,,,,,,,
55,1024,0.0003,64,SUBTAB,63680.0,92353,0.50112283,0.6236058,0.5524919,,,,,,,,,,,
56,1024,0.0003,128,CLIP,184449.0,364929,0.47088233,0.5834462,0.5495172,5.356626510620117,0.0362056158483028,0.2755392789840698,21.493337631225582,0.004949536640197,292.45538330078125,28071.236328125,4.717894262284972e-05,0.0853241756558418,0.0475436970591545,1.514932632446289
57,1024,0.0003,128,CONTROL,,364929,,,0.5192811,,,,,,,,,,,
58,1024,0.0003,128,GMC,582272.0,397953,0.53589815,0.6479846,0.53943104,5.907434463500977,0.0202528461813926,0.0252301525324583,20.458776473999023,0.0015231939032673,335.8830871582031,2126.178466796875,6.768471212126315e-05,0.235595628619194,0.0182138457894325,6.9674506187438965
