,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Lower_court_disagreement,Actions_taken,Year_of_decision
186,1024,0.005,128,MCN,47872.0,149761,0.35170645,0.009494266,24.610876,0.5046511627906977,0.5,0.5,0.5,0.5,0.2438423633575439,478.4901428222656
187,1024,0.005,128,SCARF,166144.0,149761,0.4864184,0.008913362,3.7285469,,,,,,,
188,1024,0.005,128,SUBTAB,67840.0,149761,0.4599519,0.0083203465,2.7927365,,,,,,,
189,1024,0.007,32,CLIP,2561.0,9793,0.5460367,0.008285911,0.30108854,0.5792645805430415,0.747583069298887,0.5140306122448979,0.5339773125319969,0.4807993861141694,8.975369453430176,250.97537231445312
190,1024,0.007,32,CONTROL,,9793,,,0.29737395,,,,,,,
191,1024,0.007,32,GMC,205088.0,62689,0.62773395,0.0055867746,62.882523,0.4767441860465116,0.5,0.5,0.5,0.5,0.4334975481033325,205.9310302734375
192,1024,0.007,32,ICEH,71969.0,79201,0.5052566,0.0061662644,2.9654007,0.5,0.5,0.5,0.5,0.5,24.33251190185547,390.05419921875
193,1024,0.007,32,MCN,5824.0,9793,0.3846343,0.008308313,0.4294623,0.5093023255813953,0.5,0.5,0.5,0.5,0.2438423633575439,478.4901428222656
194,1024,0.007,32,SCARF,10816.0,9793,0.70772773,0.021338608,0.33333555,,,,,,,
195,1024,0.007,32,SUBTAB,4672.0,9793,0.5012961,0.008124138,1.2215066,,,,,,,
196,1024,0.007,64,CLIP,9217.0,38017,0.59021556,0.006373556,0.8215081,0.5836235236819676,0.747583069298887,0.7831632653061225,0.5208686982997872,0.4915257064691555,3.701970338821411,346.6798095703125
197,1024,0.007,64,CONTROL,,38017,,,0.64327776,,,,,,,
198,1024,0.007,64,GMC,209216.0,88385,0.6277208,0.005573949,540.63226,0.5166443443321563,0.5,0.5,0.5,0.5,0.2438423633575439,111.583740234375
199,1024,0.007,64,ICEH,76097.0,104897,0.44032896,0.006342553,10.251723,0.5,0.5,0.5,0.5,0.5,0.2438423633575439,396.2044372558594
200,1024,0.007,64,MCN,15744.0,38017,0.4826989,0.008594141,5.144934,0.5,0.5,0.5,0.5053215854282865,0.5,0.2438423633575439,337.6280822753906
201,1024,0.007,64,SCARF,42112.0,38017,0.6513242,0.012128078,0.3048463,,,,,,,
