,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
37,1024,0.0002,128,GMC,532352.0,364930,0.98147,0.7559957394172623,0.6054150632215503,80191.015625,603.56787109375,15.634259223937988,322493.5625,5853932544.0,29.231481552124023,15.92746925354004,1.290123462677002,14.84876537322998,1.5524691343307495
38,1024,0.0002,128,ICEH,217217.0,381442,0.647286,0.6670961608942643,0.773261407366685,80183.8203125,921.44287109375,2.2669754028320312,2002461.375,15384707072.0,47.53703689575195,6.399691581726074,1.2793209552764893,3.1589505672454834,1.4305555820465088
39,1024,0.0002,128,MCN,180736.0,331906,0.7120761,0.5784027396005131,0.5453545904343046,149962.953125,922.0972290039062,16.134260177612305,322521.09375,78635272.0,36.68672943115234,16.34722137451172,1.5246913433074951,29.969135284423828,2.382715940475464
40,1024,0.0002,128,SCARF,348160.0,331906,,0.6473795125526847,0.6791964449331134,,,,,,,,,,
41,1024,0.0002,128,SUBTAB,233472.0,331906,0.90564805,0.5894264247755177,0.7351738592633315,,,,,,,,,,
42,1024,0.0003,32,CLIP,11201.0,21538,0.65793294,0.5953133589884552,0.6051516400952904,4896578.5,1222.0030517578125,2.847222328186035,1785799.5,12692732928.0,184.90432739257807,1.4320987462997437,18.557098388671875,0.5586419701576233,6.100308418273926
43,1024,0.0003,32,CONTROL,,21538,,,0.7079897379512552,,,,,,,,,,
44,1024,0.0003,32,GMC,519968.0,198658,0.9839932,0.7602219626168225,0.7443306761957119,80198.1015625,177.96604919433594,15.631173133850098,322485.90625,4820127744.0,26.33333396911621,14.189814567565918,1.0308642387390137,14.830246925354004,1.6975308656692505
45,1024,0.0003,32,ICEH,204833.0,215170,0.84099436,0.598067848634781,0.7740574033351659,80187.6640625,924.80712890625,12.643518447875977,322040.75,12212174848.0,74.12808990478516,3.442901134490967,1.3626543283462524,2.004629611968994,1.910493850708008
46,1024,0.0003,32,MCN,14464.0,21538,0.62809306,0.5703397013010811,0.7142660802638813,80206.828125,1848.9119873046875,1.2561728954315186,322523.8125,78635248.0,39.206790924072266,16.307098388671875,2.3441357612609863,14.847222328186035,1.9506173133850095
47,1024,0.0003,32,SCARF,22528.0,21538,,0.5870384368700752,0.6845622594832326,,,,,,,,,,
48,1024,0.0003,32,SUBTAB,15360.0,21538,0.622095,0.5832188015393073,0.7318467106468756,,,,,,,,,,
49,1024,0.0003,64,CLIP,42881.0,84034,0.82677495,0.5992589792926517,0.5728651273593549,2035400.25,597.668212890625,3.5941357612609863,2002462.25,15102913536.0,139.74691772460938,2.984567880630493,2.787037134170532,0.8055555820465088,7.962963104248047
50,1024,0.0003,64,CONTROL,,84034,,,0.5057895821880154,,,,,,,,,,
51,1024,0.0003,64,GMC,524096.0,233602,0.99638426,0.7630050852116548,0.7358610500274876,80197.71875,182.1172790527344,15.663579940795898,322486.1875,4636411904.0,26.220678329467773,13.896604537963867,1.0756173133850098,14.841049194335938,1.6589505672454834
52,1024,0.0003,64,ICEH,208961.0,250114,0.8834153,0.644172622319956,0.7646657962250321,86267.046875,923.7978515625,15.140432357788086,2002461.25,187200624.0,54.63271713256836,22.492284774780277,1.3518518209457395,7.81944465637207,8.379630088806152
53,1024,0.0003,64,MCN,49408.0,84034,0.65608484,0.5710612516034451,0.7297507788161994,80191.6328125,922.0972290039062,17.42438316345215,322508.15625,78635232.0,34.8487663269043,16.30864143371582,2.520061731338501,15.160493850708008,2.5756173133850098
54,1024,0.0003,64,SCARF,88064.0,84034,,0.6382398753894081,0.6484160252886201,,,,,,,,,,
55,1024,0.0003,64,SUBTAB,59392.0,84034,0.71149296,0.5690970313358988,0.6477631940626718,,,,,,,,,,
56,1024,0.0003,128,CLIP,167681.0,331906,0.6566884,0.5914650907091809,0.5037165567161443,13202801.0,564.83642578125,3.1712963581085205,2002461.625,15282163712.0,131.86727905273438,2.5308642387390137,2.115740776062012,0.8055555820465088,4.171296119689941
57,1024,0.0003,128,CONTROL,,331906,,,0.738266217702034,,,,,,,,,,
58,1024,0.0003,128,GMC,532352.0,364930,0.9978223,0.7682449147883452,0.7297507788161994,80197.5703125,183.8225250244141,15.63734531402588,322485.25,5017425408.0,25.35493850708008,15.932098388671877,1.1188271045684814,14.830246925354004,1.807098746299744
59,1024,0.0003,128,ICEH,217217.0,381442,,0.6249370075132857,0.7713945391240609,80206.7890625,1833.60498046875,31.60030937194824,2002461.375,15336087552.0,68.87808990478516,1.4490740299224854,1.356481432914734,3.2067902088165283,1.9953703880310056
60,1024,0.0003,128,MCN,180736.0,331906,0.62850654,0.5766045904343046,0.5429608759391606,80182.359375,1844.2947998046875,16.134260177612305,322509.8125,1763841536.0,1633.5323486328125,16.350309371948242,2.589506149291992,15.148148536682127,2.257715940475464
61,1024,0.0003,128,SCARF,348160.0,331906,0.99404585,0.727935449880887,0.759414513468939,,,,,,,,,,
62,1024,0.0003,128,SUBTAB,233472.0,331906,0.7006128,0.605827377680044,0.7128458860179585,,,,,,,,,,
63,1024,0.0005,32,CLIP,11201.0,21538,0.8568715,0.5876454553784131,0.5125641378046546,6850946.5,1010.7669677734376,3.890432119369507,1785798.875,14561011712.0,219.5154266357422,2.8719136714935303,2.8487653732299805,0.7762345671653748,6.046296119689941
64,1024,0.0005,32,CONTROL,,21538,,,0.5754707256734469,,,,,,,,,,
65,1024,0.0005,32,GMC,519968.0,198658,0.9975852,0.7620315649624336,0.7381860454462159,80197.03125,184.4583282470703,1.1512346267700195,322487.8125,6671475712.0,25.672840118408203,11.532407760620115,1.0231481790542605,0.2962962985038757,1.9058642387390137
