,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,lepton_pT,lepton_eta,lepton_phi,missing_energy_magnitude,missing_energy_phi,jet_1_pt,jet_1_eta,jet_1_phi,jet_2_pt,jet_2_eta,jet_2_phi,jet_3_pt,jet_3_eta,jet_3_phi,jet_4_pt,jet_4_eta,jet_4_phi,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb
0,4096,0.0001,32,CONTROL,,51554,,,0.6967685244617723,,,,,,,,,,,,,,,,,,,,,,,,
1,4096,0.0001,32,GMC,1203392.0,432290,0.5414353,0.5379702764093168,0.7174578223902068,0.0041220500133931,0.0599960200488567,0.1832866072654724,0.0050247488543391,0.1907458007335663,0.0027721894439309,0.0319984555244445,0.162989318370819,0.0015540469903498,0.0318895727396011,0.20175102353096,0.0010581597452983,0.0402402244508266,0.2017595171928405,0.002639312762767,0.0582341663539409,0.2073992788791656,0.0003020656004082,0.0003350682382006,0.0004986251005902,0.0012821714626625,0.0013420415343716,0.0005684565985575,0.0008635276462882
2,4096,0.0001,32,ICEH,439585.0,464258,0.1529073,0.6056883710753096,0.734372814988379,0.0119995502755045,0.096563123166561,0.186036691069603,0.0158784575760364,0.2203878611326217,0.0033384899143129,0.0639243200421332,0.1199468299746512,0.0026082957629114,0.057277351617813,0.1788784265518188,0.0009764780988916,0.0815841108560561,0.1713000386953354,0.002920317929238,0.1319849342107772,0.2086347937583923,0.002192735671997,0.0012055425904691,0.0044355005957186,0.006332335062325,0.0105990972369909,0.0003468276408966,0.0006037838174961
3,4096,0.0001,32,SCARF,824768.0,817538,0.14943331,0.5230926219993189,0.7384112957245943,,,,,,,,,,,,,,,,,,,,,,,,
4,4096,0.0001,32,SUBTAB,445536.0,445602,0.20153312,0.5103796833679148,0.6533697211431624,,,,,,,,,,,,,,,,,,,,,,,,
5,4096,0.0001,64,CONTROL,,201410,,,0.7132348770287362,,,,,,,,,,,,,,,,,,,,,,,,
6,4096,0.0001,64,GMC,1210624.0,513346,0.5062951,0.5414478998592853,0.7162841436185943,0.0044775884598493,0.0573299042880535,0.2137865275144576,0.0045835636556148,0.2062092423439025,0.0027380224782973,0.035401489585638,0.1769956946372985,0.0015467867488041,0.0426991507411002,0.2178760915994644,0.0010654545621946,0.0513526573777198,0.2184403538703918,0.002642496721819,0.0672327131032943,0.2292953580617904,0.0003092008118983,0.0003319683019071,0.000511695863679,0.0012028141645714,0.0013731862418353,0.0005865629645995,0.0009078068542294
7,4096,0.0001,64,ICEH,443713.0,542210,0.1888465,0.5927491596865948,0.7388452279677462,0.024829039350152,0.1683163493871688,0.1515502929687499,0.0313886441290378,0.2300372272729873,0.004964486695826,0.0521641820669173,0.1761491745710373,0.0196241959929466,0.0953970029950141,0.1776699274778366,0.0047046700492501,0.0929552465677261,0.2259333878755569,0.0089398808777332,0.0937782078981399,0.2295302152633667,0.0039551611989736,0.0033022628631442,0.0081411618739366,0.0068000652827322,0.0101268915459513,0.0010605776915326,0.0021038609556853
8,4096,0.0001,64,SCARF,837120.0,824834,0.18892491,0.515962031112911,0.7357581238960605,,,,,,,,,,,,,,,,,,,,,,,,
9,4096,0.0001,64,SUBTAB,492736.0,492866,0.20784035,0.5128171231714274,0.662107056868755,,,,,,,,,,,,,,,,,,,,,,,,
10,4096,0.0001,128,CONTROL,,796034,,,0.7266505211900651,,,,,,,,,,,,,,,,,,,,,,,,
11,4096,0.0001,128,GMC,1231232.0,829058,0.5183449,0.5423709171931583,0.7354426232878116,0.0041900388896465,0.0611097626388072,0.2090758979320526,0.0052807107567787,0.2061457484960556,0.0028140277136117,0.0362895503640174,0.172748938202858,0.0015233154408633,0.0360955819487571,0.1945518404245376,0.0011047800071537,0.0479974523186683,0.2121161520481109,0.0029338877648115,0.0702523738145827,0.2180031538009643,0.0002896729274652,0.0003381815913598,0.0005135062383487,0.001160743064247,0.0013602987164631,0.0005975929670967,0.0009407890029251
12,4096,0.0001,128,ICEH,451969.0,845570,0.25789264,0.6088030751032407,0.7411708976329769,0.0258227922022342,0.1727615892887115,0.0954311788082122,0.0233908742666244,0.1094290316104888,0.0062118317000567,0.0538345724344253,0.0563540123403072,0.0060530430637299,0.0573479533195495,0.0730093568563461,0.0041317422874271,0.1042865812778472,0.0910751968622207,0.0066826860420405,0.0544604212045669,0.1075938642024993,0.0027159536257386,0.0010879988549277,0.003629787126556,0.0107048219069838,0.0095420237630605,0.0013995568733662,0.0011905623832717
13,4096,0.0001,128,SCARF,861824.0,845570,0.26181996,0.5308458039627404,0.7382483180463209,,,,,,,,,,,,,,,,,,,,,,,,
14,4096,0.0001,128,SUBTAB,599424.0,599682,0.2174328,0.5115500132893237,0.6780871672472921,,,,,,,,,,,,,,,,,,,,,,,,
15,4096,0.0001778279410038,32,CONTROL,,51554,,,0.7072546904050258,,,,,,,,,,,,,,,,,,,,,,,,
