,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,LATITUDE,LONGITUDE,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,month_sold
186,1024,0.005,128,MCN,231040.0,431233,0.31782347,0.032890152,0.18392935,0.0394961573183536,0.0297653991729021,102468416.0,11728091.0,275707264.0,207324272.0,1134361728.0,459259008.0,4803726336.0,3423066112.0,97228168.0,1323.270263671875,43.14324188232422
187,1024,0.005,128,SCARF,447616.0,431233,0.34487218,0.06387915,146.8447,,,,,,,,,,,,,
188,1024,0.005,128,SUBTAB,316544.0,431233,0.38254192,0.049155276,1655.0181,,,,,,,,,,,,,
189,1024,0.007,32,CLIP,14561.0,27937,0.3447157,0.05483491,0.22356516,0.0759349167346954,0.0184150207787752,1179262464.0,2502536.75,276230368.0,419729216.0,1214690816.0,483802688.0,3594257152.0,1625250944.0,278847712.0,1134.337890625,33.37297439575195
190,1024,0.007,32,CONTROL,,27937,,,163.41937,,,,,,,,,,,,,
191,1024,0.007,32,GMC,669728.0,252001,0.58019024,0.17913215,0.5143572,0.0341302715241909,0.0098760817199945,272660544.0,994359.4375,275707264.0,67830880.0,582795968.0,357508064.0,1866174464.0,838959360.0,74212776.0,1089.7161865234375,17.002702713012695
192,1024,0.007,32,ICEH,255137.0,268513,0.8755006,0.07468636,215.59183,0.0296500343829393,0.0122211370617151,68903480.0,1251899.875,572551040.0,99196488.0,656663040.0,631678656.0,1744357248.0,568214016.0,80897176.0,558.767578125,29.437837600708008
193,1024,0.007,32,MCN,17824.0,27937,0.33664447,0.041966427,112.28134,0.066321462392807,0.0246856436133384,102468416.0,2259774.5,274272832.0,107806344.0,1254366080.0,1559514624.0,6372401664.0,3052039936.0,97228168.0,4118.62158203125,39.39729690551758
194,1024,0.007,32,SCARF,28960.0,27937,0.34553754,0.05327558,158.24268,,,,,,,,,,,,,
195,1024,0.007,32,SUBTAB,20768.0,27937,0.41897908,0.050809983,166.0926,,,,,,,,,,,,,
196,1024,0.007,64,CLIP,55745.0,109121,0.40955973,0.05457589,977.8241,0.0881141647696495,0.0422198921442031,833800000.0,2567318.25,1825164288.0,409079840.0,1207746816.0,656566016.0,1862802304.0,1658529408.0,348241536.0,1198.0999755859375,30.848648071289062
197,1024,0.007,64,CONTROL,,109121,,,33.78304,,,,,,,,,,,,,
198,1024,0.007,64,GMC,673856.0,296129,0.5806983,0.16780752,589.0314,0.0314302593469619,0.0111967576667666,556903424.0,2190421.0,275707264.0,74647288.0,475945088.0,376982464.0,1640391424.0,682776896.0,101345856.0,1020.6810913085938,15.762162208557127
199,1024,0.007,64,ICEH,259265.0,312641,0.64186573,0.06951449,192058.81,0.0445391982793808,0.0174351148307323,81237400.0,1447321.125,282412832.0,83174480.0,1110082560.0,1229046144.0,1614881024.0,942111232.0,106157272.0,462.421630859375,35.65675735473633
200,1024,0.007,64,MCN,62272.0,109121,0.26785687,0.03124135,0.09870127,0.0704779028892517,0.0327374748885631,102468416.0,2259774.5,296658880.0,421839616.0,1922565504.0,309813728.0,3803431680.0,1545225216.0,113627104.0,1346.9864501953125,42.99459457397461
201,1024,0.007,64,SCARF,113216.0,109121,0.37994462,0.053709943,198.42531,,,,,,,,,,,,,
202,1024,0.007,64,SUBTAB,80448.0,109121,0.3372366,0.046663795,5.682416,,,,,,,,,,,,,
203,1024,0.007,128,CLIP,217985.0,431233,0.35131454,0.056048825,1215.5393,0.0645231679081916,0.0152315758168697,689881728.0,2424366.0,2102202112.0,423020320.0,1018381824.0,422530464.0,1350650368.0,1609491584.0,230265920.0,1203.4378662109375,25.191892623901367
204,1024,0.007,128,CONTROL,,431233,,,190.25755,,,,,,,,,,,,,
205,1024,0.007,128,GMC,682112.0,464257,0.59388137,0.19348766,109.98117,0.0387782230973243,0.0129469996318221,182136336.0,1165235.75,275666464.0,105174744.0,701862144.0,272201696.0,1554748800.0,1154053504.0,68142992.0,1002.3648681640624,15.456756591796877
206,1024,0.007,128,ICEH,267521.0,480769,0.5899847,0.08673017,1061210.0,0.0448615923523902,0.0194266736507415,57223712.0,1148555.25,280044704.0,85496792.0,1307749632.0,564652672.0,2417272320.0,798050752.0,98736472.0,958.5134887695312,30.91351318359375
207,1024,0.007,128,MCN,231040.0,431233,0.31834045,0.040019926,162.83148,0.0769652500748634,0.0419985577464103,102468416.0,11868672.0,275707264.0,163446848.0,982074560.0,259768704.0,4554792448.0,1950257792.0,120982464.0,775.0054321289062,40.1135139465332
208,1024,0.007,128,SCARF,447616.0,431233,0.76146513,0.11063962,26.06783,,,,,,,,,,,,,
209,1024,0.007,128,SUBTAB,316544.0,431233,0.3548427,0.04657982,1303.4834,,,,,,,,,,,,,
210,1024,0.01,32,CLIP,14561.0,27937,0.32175222,0.053176347,163.54214,0.0881120562553405,0.0145972715690732,1025394752.0,2551688.25,291215808.0,410564928.0,915744384.0,514032512.0,3787287808.0,1643069696.0,341210496.0,1833.305419921875,33.57027053833008
211,1024,0.01,32,CONTROL,,27937,,,80.18852,,,,,,,,,,,,,
212,1024,0.01,32,GMC,669728.0,252001,0.61373484,0.18611121,0.13200228,0.0371971726417541,0.0112172998487949,161456784.0,1082001.875,275707264.0,78552416.0,753292416.0,412165376.0,1668366208.0,592642752.0,72370840.0,1128.87841796875,18.8270263671875
213,1024,0.01,32,ICEH,255137.0,268513,0.58988404,0.07763937,32442.691,0.046898253262043,0.0151599030941724,63296848.0,1306344.0,629286080.0,117838488.0,923172160.0,632480704.0,1412541568.0,910175040.0,77998272.0,366.0892028808594,36.75946044921875
214,1024,0.01,32,MCN,17824.0,27937,0.39782092,0.053624343,9.1121025,0.0762693434953689,0.0274469461292028,100478624.0,2974384.75,275707264.0,267620912.0,1008661888.0,560420800.0,3940476928.0,1839908992.0,182851536.0,1042.0162353515625,44.5405387878418
215,1024,0.01,32,SCARF,28960.0,27937,0.49276465,0.070021994,160.39189,,,,,,,,,,,,,
216,1024,0.01,32,SUBTAB,20768.0,27937,0.37012494,0.048842266,19.33833,,,,,,,,,,,,,
217,1024,0.01,64,CLIP,55745.0,109121,0.40671045,0.056523725,302.60123,0.0904930531978607,0.0133856208994984,776252288.0,2546374.5,344032800.0,391819936.0,1171570560.0,430821440.0,1672604416.0,1405517824.0,250003184.0,1208.2188720703125,28.54864883422852
218,1024,0.01,64,CONTROL,,109121,,,12.587871,,,,,,,,,,,,,
219,1024,0.01,64,GMC,673856.0,296129,0.61782575,0.19473052,54.37981,0.0313018523156642,0.0117558455094695,94424072.0,1767596.5,275707264.0,81109000.0,868598208.0,475157888.0,1976881280.0,751402560.0,56897180.0,1117.162109375,16.57567596435547
220,1024,0.01,64,ICEH,259265.0,312641,0.83166504,0.060191665,135004.66,0.0311591196805238,0.013129448518157,159239504.0,2302818.25,288854496.0,80103016.0,840631936.0,593227328.0,1996130176.0,885398208.0,77672824.0,809.2000122070312,25.44864845275879
221,1024,0.01,64,MCN,62272.0,109121,0.29334012,0.036102645,156.63588,0.087980218231678,0.0497926883399486,104137392.0,8800966.0,920279872.0,107806344.0,1959257472.0,293765600.0,6702336000.0,2259815168.0,97228168.0,2420.048583984375,40.45405578613281
222,1024,0.01,64,SCARF,113216.0,109121,0.48852196,0.09152985,10794.431,,,,,,,,,,,,,
223,1024,0.01,64,SUBTAB,80448.0,109121,0.39098832,0.049258914,158.18982,,,,,,,,,,,,,
224,1024,0.01,128,CLIP,217985.0,431233,0.3912417,0.0618169,35.870792,0.0624135211110115,0.0143555095419287,1152791552.0,2403551.25,2059360384.0,188447088.0,1253203840.0,536720128.0,4132009984.0,908363072.0,195592704.0,952.9161987304688,36.76486587524414
225,1024,0.01,128,CONTROL,,431233,,,161.09303,,,,,,,,,,,,,
226,1024,0.01,128,GMC,682112.0,464257,0.5766043,0.16799442,3807.4297,0.0376886092126369,0.0155035778880119,95824016.0,1695564.5,300036864.0,59569108.0,677231552.0,264191888.0,1650414720.0,1282455808.0,64215428.0,1044.0513916015625,15.537837982177734
227,1024,0.01,128,ICEH,267521.0,480769,0.8641893,0.07743324,211128.94,0.0330383777618408,0.0149207580834627,65796784.0,2730092.0,262031408.0,102771648.0,867736256.0,288328096.0,1949609600.0,968355136.0,108199320.0,613.4486694335938,34.83513641357422
228,1024,0.01,128,MCN,231040.0,431233,0.78635293,0.03994368,192.05557,0.0757761150598526,0.0274469461292028,109484840.0,4411249.0,276770336.0,172827472.0,1115050368.0,352708640.0,5377817088.0,1515325568.0,169882224.0,1276.07568359375,36.789188385009766
229,1024,0.01,128,SCARF,447616.0,431233,0.59946114,0.086097926,10917.407,,,,,,,,,,,,,
230,1024,0.01,128,SUBTAB,316544.0,431233,0.36239898,0.046897504,160.2572,,,,,,,,,,,,,
