,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54
0,1024,0.0001,16,CONTROL,,30290,,,0.752535277198672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1024,0.0001,16,GMC,2714384.0,937922,0.697617,0.6865162439193885,0.7754552013358043,0.0393626168370246,0.0692510455846786,0.0519890487194061,0.0632610395550727,0.0991384610533714,0.0868219509720802,0.0435658618807792,0.0011592188384383,0.0323596335947513,2568.607177734375,2169.332763671875,3562.034423828125,182.50070190429688,198.27865600585935,182.8851318359375,5.523643970489502,7.047408580780029,8.95767879486084,188.88172912597656,34.10231399536133,102.97186279296876,17.507898330688477,9.987713813781738,11.172981262207031,7.438442707061768,4.476739883422852,4.505793571472168,483.8406066894531,0.2069026082754135,46.15803909301758,342.3955993652344,0.0615102313458919,38.1008415222168,0.0640148296952247,52.480167388916016,9.37888526916504,3078.6611328125,0.0744776502251625,3220.7578125,372.439697265625,5.490054130554199,335.98406982421875,34.573482513427734,3030.435302734375,350.7906188964844,0.0465367957949638,0.0301327370107173,0.0017910683527588,10677.5439453125,15.40864372253418,405.7066040039063,37.026126861572266,0.0365258269011974,0.2414993196725845
2,1024,0.0001,16,ICEH,940561.0,954434,0.28713307,0.7049459259902711,0.7704150499961393,0.0234747417271137,0.0324817635118961,0.0372962206602096,0.1027251332998275,0.1798391640186309,0.0611240789294242,0.0221620071679353,0.0089187147095799,0.2724544405937195,319.3778381347656,124.8563232421875,138.36749267578125,47.74653625488281,38.8809928894043,73.47921752929688,8.319090843200684,9.855375289916992,12.669300079345703,6.646439075469971,24.922962188720703,36.18321228027344,9.671225547790527,64.19672393798828,26.019506454467773,10.156327247619627,57.116844177246094,40.070106506347656,1181.8544921875,0.1415567696094513,556.8662109375,1303.4200439453125,0.3800486028194427,200.94125366210935,0.1894929558038711,762.2923583984375,584.9364013671875,15176.119140625,0.3526166677474975,16942.50390625,1428.5067138671875,888.819580078125,1796.5552978515625,369.8952026367188,18212.52734375,1542.791748046875,0.0910743698477745,0.037928570061922,0.0250343456864357,15651.826171875,74.39277648925781,1548.747802734375,133.83450317382812,0.0569760538637638,0.1695408523082733
3,1024,0.0001,16,SCARF,30528.0,30290,0.33735502,0.6304397343834454,0.7518434869894217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1024,0.0001,16,SUBTAB,22336.0,30290,0.23276095,0.6313077899390009,0.7408964558721334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1024,0.0001,32,CONTROL,,115874,,,0.7417477414871438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1024,0.0001,32,GMC,2716448.0,981506,0.65905374,0.6841084906570921,0.7752768849895761,0.0322315879166126,0.0798375830054283,0.0506119690835475,0.0608125999569892,0.0921964272856712,0.0786118134856224,0.0450867488980293,0.001519210753031,0.0301535706967115,1882.7548828125,1616.4632568359375,2170.233154296875,164.7711639404297,196.47903442382807,231.24810791015625,5.606762409210205,7.181148529052734,9.210564613342283,100.31788635253906,38.87022399902344,104.664794921875,19.707521438598636,9.647483825683594,11.41048812866211,7.183192729949951,4.338046073913574,4.381726264953613,887.4951171875,0.2002916932106018,50.64713287353516,346.68414306640625,0.0680574998259544,37.39596557617188,0.0541285462677478,44.04965972900391,9.761347770690918,3554.665283203125,0.0791146010160446,6208.0546875,370.4721374511719,5.185428142547607,332.6488952636719,33.32622528076172,7270.19970703125,346.1836242675781,0.0469754971563816,0.0378069095313549,0.0017097227973863,11183.982421875,14.794377326965332,405.0419006347656,36.68989944458008,0.0354765094816684,0.2364702075719833
7,1024,0.0001,32,ICEH,942625.0,998018,0.2569962,0.7197029910817698,0.7785856304532468,0.0259542129933834,0.111506350338459,0.0960036739706993,0.2190735936164856,0.0851852819323539,0.1371949464082718,0.0520935431122779,0.0015576458536088,0.2026618719100952,372.0486145019531,270.5257568359375,260.3570251464844,149.2162322998047,32.84124755859375,67.30452728271484,6.308443069458008,14.665355682373049,31.786725997924805,9.403141021728516,8.181483268737793,10.90651512145996,6.759400367736816,61.407188415527344,7.106424808502197,3.489335060119629,54.11146926879883,46.851341247558594,2045.5985107421875,0.3188686668872833,686.2516479492188,1130.935791015625,0.2268465310335159,133.23806762695312,0.1903664767742157,549.89501953125,1290.767333984375,15867.19921875,0.2815893888473511,15717.7431640625,1291.15087890625,117.2053680419922,1527.742919921875,125.18521881103516,7722.123046875,1523.5562744140625,0.1337297260761261,0.2112785577774047,0.0138261225074529,16330.2255859375,294.3582458496094,1492.64990234375,128.33412170410156,0.4572283625602722,0.2869006395339966
8,1024,0.0001,32,SCARF,116864.0,115874,0.32496077,0.6300929947494402,0.7485429455254421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1024,0.0001,32,SUBTAB,84096.0,115874,0.23995827,0.626451504710061,0.7579146880549765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
