,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,day,date,period,nswprice,nswdemand,vicprice,vicdemand,transfer
0,1024,0.0001,32,CLIP,8065.0,16354,0.81795114,0.7722702601079061,0.7609278187373453,0.2166418687855469,0.0948128774762153,0.1461517065763473,0.003791831433773,0.0144498571753501,3.674841354950331e-05,0.0068369638174772,0.0180829241871833
1,1024,0.0001,32,CONTROL,,16354,,,0.7612754227717161,,,,,,,,
2,1024,0.0001,32,GMC,388384.0,147202,0.2533869,0.7934601749922567,0.7590947146603693,0.1996391254021561,0.0877910852432251,0.1239236816763877,0.0009321532561443,0.0138145061209797,5.5127861742221285e-06,0.0088555980473756,0.0129009438678622
3,1024,0.0001,32,ICEH,155425.0,163714,0.34582603,0.7675669205393407,0.7623701725982522,0.2057978453981831,0.0673418566584587,0.3146955072879791,0.0056254249066114,0.0112516218796372,0.0001604939607204,0.0090807303786277,0.0351530537009239
4,1024,0.0001,32,MCN,11328.0,16354,0.6156599,0.7584089744057932,0.7597168853055467,0.2341891692751475,0.1871890425682068,0.1598171144723892,0.0370994210243225,0.1298920214176178,0.000278114923276,0.0964452922344207,0.0942369028925895
5,1024,0.0001,32,SCARF,17344.0,16354,0.50155336,0.7171573023221843,0.7579413996404936,,,,,,,,
6,1024,0.0001,32,SUBTAB,12224.0,16354,0.78465515,0.7804238064129563,0.7646881640150025,,,,,,,,
7,1024,0.0001,64,CLIP,30465.0,63426,0.81757665,0.7715750520391643,0.7732661389036541,0.2272054831403124,0.0784549042582511,0.1737473905086517,0.0043942332267761,0.0094038620591163,6.773309723939747e-05,0.0033017366658896,0.0138150313869118
8,1024,0.0001,64,CONTROL,,63426,,,0.7652278294224498,,,,,,,,
9,1024,0.0001,64,GMC,392512.0,176002,0.2578894,0.7923827377401951,0.7658414790348781,0.223196393529518,0.0940090864896774,0.114616610109806,0.0009254365577362,0.0141644207760691,2.7513494842423825e-06,0.0088437534868717,0.0137986689805984
10,1024,0.0001,64,ICEH,159553.0,192514,0.2888997,0.7921812085529528,0.7944963596254533,0.2026320178867322,0.0802485346794128,0.2052912712097168,0.0147468885406851,0.0071165510453283,0.0001248519984073,0.0151146296411752,0.0207357704639434
11,1024,0.0001,64,MCN,36992.0,63426,0.54587156,0.7740227525099852,0.7716480894627287,0.2191229755654711,0.1163690388202667,0.1461388915777206,0.0069935568608343,0.0387403592467308,4.658428588300012e-05,0.0302347987890243,0.042980208992958
12,1024,0.0001,64,SCARF,67456.0,63426,0.47643864,0.7104700499224315,0.7637596419543191,,,,,,,,
