,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V13,V19,V22,V30,V33,V35,V36,V40,V41,V42,V43,V45,V47,V50,V51,V52,V59,V63,V72,V75
0,2048,0.0001,32,CONTROL,,584130,,,0.6457679035001664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2048,0.0001,32,GMC,4931520.0,2246178,0.09275216333333332,0.5769606087140302,0.650923444672007,0.016370285487932502,0.0025698182947571997,0.008608794621943099,0.0254107233389512,0.0012661920527795667,0.0028541364025775335,0.011143407392999701,0.020380640540640232,0.0027576022706102,0.1909899257384299,0.016617672118082936,0.015070389792302968,0.14280288947599307,0.5,0.125,0.2586442135290463,0.1666666666666666,0.09086988905876357,0.0055741678247634005,0.25,0.015958043158933566,0.004131367453552501,0.1111111111111111,0.13556761129641928,0.011177815390763601,0.028296235032680566,0.1909405010692181,0.006144920430634668,0.08441558441558439,0.03101832504871507,0.0231441833449532
2,2048,0.0001,32,ICEH,2246305.0,2278146,0.2554890566666667,0.6081954979723031,0.6529303626748868,0.025452040007922335,0.0033927968738952006,0.0083890960112152,0.03326866264095083,0.0014550899011082335,0.0024914147955746,0.005095738501574633,0.026095740978235197,0.0033405679676918334,0.2609401524850605,0.022048681154460834,0.028811621333551432,0.14663653685174483,0.6592083105347081,0.13439328715566012,0.2528196079403147,0.18497196603073573,0.09699008421172335,0.013835754350341166,0.2504275657596869,0.018444206932140533,0.004595877226869367,0.1091010755590779,0.16526830626981226,0.006196715271602267,0.0222386152941708,0.16124295337220454,0.006297531161907233,0.07751525617397446,0.031355050030981435,0.0431450609941036
3,2048,0.0001,32,SCARF,2746176.0,2738946,0.22172293,0.6155064140428328,0.6549838867001349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2048,0.0001,32,SUBTAB,2260448.0,2260514,0.19422457999999998,0.5965458661641297,0.6471779844135312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2048,0.0001,64,CONTROL,,1231746,,,0.6472615650151028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2048,0.0001,64,GMC,4938752.0,2348738,0.07281900833333334,0.5789639517827685,0.651049725021535,0.034514400416334336,0.0027490068721063333,0.0048666980618741335,0.013246598429728265,0.0005399618520457334,0.0027829686038703338,0.006153796194063733,0.01891338338166613,0.0036041794147385667,0.1841910784335082,0.04311294224798103,0.015061120233534,0.1428571428571428,0.5,0.125,0.253711070583925,0.1666666666666666,0.0909090909090909,0.0074202035886818335,0.25,0.0196705854357446,0.005413659092588834,0.1111111111111111,0.1263227513227513,0.0051753852392538,0.02379010215676487,0.19454191190363998,0.012588465218153932,0.08441558441558439,0.028224576107325334,0.026857710086387033
7,2048,0.0001,64,ICEH,2250433.0,2377602,0.23151776333333332,0.6044841379510463,0.6515024480951264,0.03909839902755203,0.0032754990858512335,0.0095644228671689,0.0594140395510546,0.0015471384502625668,0.009790058239844501,0.006522723839570367,0.046166652012179565,0.0069051545978232,0.3048590502313601,0.024187779812779767,0.05929622370991603,0.16753526666773874,0.6428730300229655,0.19219268000534473,0.27132665208559015,0.17403260118479172,0.10771518624840713,0.006781897293362434,0.2522425211753234,0.0189462041226747,0.0034464745167085997,0.106078764453307,0.1204725169000367,0.0061907568122526,0.027879527879527837,0.2157771982475131,0.006772078200649599,0.07295456797017126,0.01608527131782943,0.02503465003464997
8,2048,0.0001,64,SCARF,2758528.0,2746242,0.18480675666666668,0.6098515905821826,0.6510844073867105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2048,0.0001,64,SUBTAB,2315840.0,2315970,0.19743249333333335,0.596810661976214,0.647474702403987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
