,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,climbRate,Sgz,p,q,curPitch,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SeTime1,SeTime2,SeTime3,SeTime4,SeTime5,SeTime6,SeTime7,SeTime8,SeTime9,SeTime10,SeTime11,SeTime12,SeTime13,SeTime14,diffSeTime1,diffSeTime3,diffSeTime5,diffSeTime7,diffSeTime9,diffSeTime11,diffSeTime13,alpha,Se
0,1024,0.0001,32,CLIP,36961.0,70817,0.52140963,1.038242e-07,0.00010439151,347888.0,4139.8603515625,0.4362689554691314,0.1261712163686752,0.228931039571762,6.719743251800537,41.79772186279297,306.7378845214844,0.0011140940478071,15.110340118408203,0.0008675812860019,9.660112846177071e-05,0.0001041338982759,0.0001011965869111,9.596581367077306e-05,9.708545985631643e-05,9.708545985631643e-05,0.0012092137476429,0.0011771140852943,0.0012068434152752,0.0012065898627042,0.0001482250809203,0.0011048262240365,0.0001145868955063,9.980058166547678e-06,4.4871803766000085e-06,5.387465080275433e-06,5.0569810809975024e-06,1.5490031728404574e-05,2.9330489269341346e-05,4.452992016013013e-06,0.9934473037719728,0.0001145868955063
1,1024,0.0001,32,CONTROL,,70817,,,0.001054398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1024,0.0001,32,GMC,1668128.0,607841,0.45977122,5.241251e-08,1.5818923e-06,66994.8828125,621.544189453125,0.0908014252781868,0.0126977209001779,0.0884253531694412,0.8973219394683838,15.44444465637207,84.38176727294922,0.0001409116812283,1.149686574935913,2.7977212084806524e-05,0.0001186723820865,0.0001236125390278,0.0001945926051121,0.0001504473038949,6.247008423088118e-05,4.8962967412080616e-05,5.992022852296941e-05,7.082051888573915e-05,6.333333294605836e-05,0.0001497037155786,0.0001204814907396,0.0001350142701994,0.0002561965957283,8.424502993875649e-06,6.034188118064776e-06,9.079773008124905e-06,9.361824595544022e-06,8.789174898993224e-06,1.4549858860846143e-05,6.783476237615105e-06,0.0310541298240423,3.736467260750942e-05
3,1024,0.0001,32,ICEH,590497.0,624353,0.31107152,5.747498e-08,5.250453e-07,74408.7578125,768.5811767578125,0.2013182491064071,0.0042555551044642,0.0427236445248127,1.1235041618347168,65.1680908203125,104.4188003540039,0.001107350573875,1.1730200052261353,2.5168090360239148e-05,8.610542136011645e-05,0.0001354302075924,0.0001059914720826,9.447864431422204e-05,0.0001628490135772,3.2102561817737296e-05,6.254700565477833e-05,0.0002011738106375,9.449573553865775e-05,4.252422149875201e-05,4.384900603326969e-05,0.0001572051551192,5.056124791735783e-05,9.863249033514876e-06,6.658120128122391e-06,1.6176638382603414e-05,1.0159546945942566e-05,1.207122750201961e-05,1.7051283066393808e-05,6.886039955134038e-06,0.027094017714262,2.27151012950344e-05
4,1024,0.0001,32,MCN,40224.0,70817,0.5420648,1.02640215e-07,0.0001345238,84056.703125,742.6752319335938,0.3567592799663543,0.0501937307417392,0.8928195834159851,8.322905540466309,73.24786376953125,101.68660736083984,0.0013850885443389,4.6138176918029785,0.0005699259927496,0.0004089231078978,0.0001177606682176,0.0005877607036381,0.0001584273559274,0.0003208461857866,0.0008272394770756,0.000546068418771,0.0002599515719339,0.0003575100272428,0.0005566069157794,0.0007793247932568,0.0001259943092009,0.0001240199489984,1.0105414730787745e-05,6.339031642710324e-06,1.2925926967000125e-05,1.0022794413089288e-05,1.5148151760513429e-05,5.398861503635999e-06,6.1595446823048405e-06,0.062421653419733,0.0010819032322615
5,1024,0.0001,32,SCARF,71840.0,70817,0.3898474,1.2209796e-07,9.3982635e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1024,0.0001,32,SUBTAB,52384.0,70817,0.5339054,1.0291476e-07,0.0009085014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1024,0.0001,64,CLIP,141505.0,276801,0.5773709,1.09955856e-07,0.00014604926,306185.8125,795.646728515625,0.3289324641227722,0.0190452989190816,0.0695433020591735,0.9058974385261536,51.95441436767578,131.39601135253906,0.0009799032704904,15.891165733337402,0.0001685413299128,7.506267138523981e-05,0.0001069145364454,0.0002481709525454,0.0001948034332599,0.0002648461959324,7.87948738434352e-05,0.0001148945957538,0.0002508575562387,0.0003419544373173,0.000351336231688,0.000110190900159,0.0004010826814919,0.0001527606946183,1.485755365138175e-05,6.296296305663418e-06,1.097151016438147e-05,6.980057605687762e-06,5.165243237570394e-06,1.519943089078879e-05,5.96011432207888e-06,0.0111680934205651,0.000130390326376
8,1024,0.0001,64,CONTROL,,276801,,,4.753265e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1024,0.0001,64,GMC,1672256.0,713409,0.5247229,6.647876e-08,2.3961895e-06,67367.25,609.5327758789062,0.0903697982430458,0.0127623928710818,0.0884418711066246,0.903133988380432,16.418804168701172,94.60398864746094,0.0004067122936248,1.178176760673523,0.0003176581521984,0.0001396581355948,0.0002599344879854,0.0003286467690486,0.0001324871846009,0.0002337834885111,0.0001826381776481,0.0001398490130668,0.0001752307725837,0.0002605413610581,0.0002402051759418,0.000230279227253,0.0002142251032637,0.0002538689877837,8.267807061201893e-06,5.977208274998702e-06,1.1806268958025612e-05,7.336182989092776e-06,1.0344730071665252e-05,1.7569800547789782e-05,6.259258952923119e-06,0.0310541298240423,0.0001549942971905
