,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Total_Discharges,Average_Covered_Charges,Average_Medicare_Payments
47,4096,0.0003,32,SCARF,7520.0,6497,0.9488086,0.04293721,0.0076950686,,,
48,4096,0.0003,32,SUBTAB,5472.0,6497,0.787227,0.016164638,0.00702639,,,
49,4096,0.0003,64,CLIP,12865.0,25281,0.79038954,0.026856694,0.007665536,601989.1875,0.1007105410099029,0.0515911392867565
50,4096,0.0003,64,CONTROL,,25281,,,0.0069629117,,,
51,4096,0.0003,64,GMC,174656.0,87489,0.27365813,0.02352271,0.0077554807,7462.4443359375,0.0529651269316673,0.0387393496930599
52,4096,0.0003,64,ICEH,91585.0,104001,0.70062906,0.018450486,0.0077778148,1017441.4375,0.050170924514532,0.0342233031988143
53,4096,0.0003,64,MCN,39040.0,25281,0.79047465,0.020945407,0.006974951,126488.4765625,0.3729017972946167,0.0814353972673416
54,4096,0.0003,64,SCARF,29376.0,25281,0.9499245,0.053190414,0.0073984647,,,
55,4096,0.0003,64,SUBTAB,21184.0,25281,0.78591263,0.021039339,0.007763,,,
56,4096,0.0003,128,CLIP,50305.0,99713,0.7933842,0.021223878,0.0069263335,337487.125,0.1179362162947654,0.0626124143600463
57,4096,0.0003,128,CONTROL,,99713,,,0.006978805,,,
58,4096,0.0003,128,GMC,182912.0,132737,0.65438324,0.022309313,0.0075888224,3760.692626953125,0.048900730907917,0.0370707996189594
59,4096,0.0003,128,ICEH,99841.0,149249,0.40711206,0.014565165,0.0070052072,3033.500732421875,0.0571997873485088,0.0337965041399002
60,4096,0.0003,128,MCN,102656.0,99713,0.7987015,0.022313,0.0068307095,2428.44580078125,0.4733088314533233,1.229333758354187
61,4096,0.0003,128,SCARF,116096.0,99713,0.9509088,0.047513016,0.007488563,,,
62,4096,0.0003,128,SUBTAB,83328.0,99713,0.7840789,0.019594043,0.0070330855,,,
63,4096,0.0005,32,CLIP,3361.0,6497,0.80163276,0.024947928,0.0075906566,433018.96875,0.0911742374300956,0.0590022578835487
64,4096,0.0005,32,CONTROL,,6497,,,0.008444589,,,
65,4096,0.0005,32,GMC,170528.0,74081,0.20835315,0.024722457,0.006966788,3258.865234375,0.0469842925667762,0.0343470424413681
66,4096,0.0005,32,ICEH,87457.0,90593,0.76769525,0.03285201,0.006956504,3326.507080078125,0.0763814374804496,0.0479233488440513
