,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Local_Authority_(District),Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Age_of_Vehicle,Longitude,Latitude,Police_Force,Number_of_Vehicles,Age_of_Casualty,Age_Band_of_Casualty,Casualty_IMD_Decile
42,4096,0.0003,64,ICEH,294465.0,405250,0.23532426,0.6467058094535114,0.7845974948402933,0.1027743354693987,0.2429946181595833,0.1093547239797087,0.6087962962962963,0.18507693300784,0.1556562297144148,0.4798725259979872,0.2670821051447783,0.0890479440250356,0.6973477940338783,0.1377685425953442,0.0812725685445162,0.5427137336816497,0.1772880086154422,0.2714154674751031,0.1836412270467187,12.468341827392578,1.0676716566085815,0.4049432873725891,497.0120544433594,2.350604295730591,7.699385643005371,365.8412170410156,329.72662353515625,14.161139488220217,0.5045226216316223,15.939363479614258
43,4096,0.0003,64,SCARF,196352.0,192322,0.16028641,0.7071590790824128,0.7731927416656126,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4096,0.0003,64,SUBTAB,126720.0,192322,0.34449056,0.6810117828648101,0.7748861021758031,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4096,0.0005,16,CONTROL,,18898,,,0.762305176038466,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4096,0.0005,16,GMC,967440.0,278722,0.21188696,0.6765050572331163,0.7556720748185497,0.0709781670826785,0.0666666666666666,0.0550339071465832,0.1666666666666666,0.1,0.0909090909090909,0.5,0.2967742478454909,0.0059931506849315,0.5795127469524912,0.0779475303763185,0.0663036303630363,0.5947061507058076,0.1111111111111111,0.1,0.0625,191.35243225097656,2.045896053314209,0.0722523778676986,25.0301513671875,1.266372561454773,10.073586463928224,367.112548828125,5.747738838195801,336.10015869140625,4.086431980133057,10.014070510864258
47,4096,0.0005,16,ICEH,288273.0,295234,0.22662805,0.6265251836919643,0.775403161631316,0.0835727969348659,0.1768253968253968,0.0889574177574776,0.3055555555555555,0.2,0.1139898451430179,0.455090573633009,0.4098418688738546,0.0542535850755028,0.6837353367912724,0.0637520661701996,0.1029464414445294,0.5440026330276135,0.1759259259259259,0.1784707050645481,0.0932477678571428,49.004356384277344,0.5061976313591003,0.0922841131687164,671.1571044921875,1.19648015499115,7.699385643005371,398.919921875,591.1028442382812,20.918258666992188,3.3061976432800293,22.536348342895508
48,4096,0.0005,16,SCARF,19136.0,18898,0.23396383,0.6699586583001228,0.766240210967559,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4096,0.0005,16,SUBTAB,14784.0,18898,0.32744828,0.6299308303084936,0.7610224785485893,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4096,0.0005,32,CONTROL,,57250,,,0.770069281772025,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4096,0.0005,32,GMC,969504.0,301570,0.19094358,0.6926517129906125,0.7725656511637962,0.0726286255516864,0.0666666666666666,0.0552512606503216,0.1666666666666666,0.1,0.0909090909090909,0.5,0.3022736563173284,0.0034246575342465,0.5440126937558434,0.1390013620604259,0.0666666666666666,0.5904692392867117,0.1111111111111111,0.1,0.0625,177.8087158203125,2.035845994949341,0.0724050104618072,28.79564476013184,1.2359733581542969,9.681519508361816,585.4566040039062,5.809715270996094,282.2964782714844,4.685427188873291,9.542378425598145
52,4096,0.0005,32,ICEH,290337.0,318082,0.28630057,0.6443832609346555,0.7739357714582156,0.1684546187585385,0.2553488833811709,0.0713577116670423,0.255129179331307,0.1533333333333333,0.1641942867292344,0.5,0.2632963988919667,0.0888604505400277,0.7789714592923245,0.1064974662251167,0.1205999830752306,0.616486102517451,0.1132247758796431,0.1119960668633235,0.2305443159026803,10.516247749328612,0.8958123922348022,0.3960770666599273,382.065673828125,5.55668306350708,7.699385643005371,403.9654846191406,372.7055358886719,19.20502471923828,28.910888671875,15.283416748046877
53,4096,0.0005,32,SCARF,58240.0,57250,0.19784379,0.6932577803894318,0.7726143741664011,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4096,0.0005,32,SUBTAB,40832.0,57250,0.33599997,0.6962194920831125,0.7678043586512551,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4096,0.0005,64,CONTROL,,192322,,,0.7699205028892757,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4096,0.0005,64,GMC,973632.0,388738,0.20079611,0.6939497334885382,0.7755104547106642,0.1268144878260899,0.0666666666666666,0.0552512606503216,0.1666666666666666,0.1,0.0909090909090909,0.5,0.2836697349184364,0.0051369863013698,0.5513255851395871,0.0787052258859979,0.0666666666666666,0.5884044409441183,0.1111111111111111,0.1,0.0625,181.69949340820312,1.9892797470092771,0.0729596018791198,25.59832572937012,1.118889093399048,10.401144981384276,339.9085388183594,5.748073577880859,302.778564453125,4.24388599395752,9.862311363220217
57,4096,0.0005,64,ICEH,294465.0,405250,0.2515996,0.6398248181493584,0.7818889410152253,0.296994100622452,0.2691463249404747,0.0904781222891805,0.4262073623775751,0.1750140056022409,0.1361363236367896,0.4772727272727273,0.4395176696379951,0.103306896166138,0.7149502352421672,0.1980227236202881,0.1818478493920122,0.6300766828881044,0.3729476284122301,0.1434202343936857,0.2233834106292814,18.510217666625977,0.478391945362091,0.1087556630373001,534.8231201171875,2.010549783706665,7.699385643005371,746.9943237304688,220.0690155029297,9.56381893157959,0.4308207631111145,15.920268058776855
58,4096,0.0005,64,SCARF,196352.0,192322,0.17992193,0.7058150735488375,0.7756708739558499,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4096,0.0005,64,SUBTAB,126720.0,192322,0.30520585,0.7071380559794156,0.7724564367041282,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4096,0.0007,16,CONTROL,,18898,,,0.764906997186779,,,,,,,,,,,,,,,,,,,,,,,,,,,
