,Imputation,Clustering,Supervised learning,Transfer learning
Scarf,,0.7607250504834893,0.0010475830708580824,5.398769924466001e-06
SubTab,,0.0012805927451596333,0.030149566019063663,4.200540178608911e-08
CLIP,0.18476039286060736,0.0013623585483715545,0.10919272515998088,0.00120215026124819
GMC,0.2752034857992174,0.22304577736342462,0.01034050713987308,3.54590686836449e-05
MCN,0.0017877688398404326,0.0005990214532077063,0.3232988531869189,0.0014498180432406256
