,p-value,statistic
Imputation,0.06506738468515433,1.5280715100997995
Clustering,0.00648772721615326,2.5515014222796246
Supervised learning,0.0030025465278400412,2.831611565240992
Transfer learning,4.414828563201702e-10,6.920814691952586
